asset_type,source_asset_type,logical_name,expected_path,resolved_path,required_for_execution,commit_safe,exists,is_path_like,readiness_status,notes,next_manual_check
raster_tile,global_raster_reference,building_dsm_path,data/rasters/v10/dsm_buildings_2m_augmented_reviewed_heightqa.tif,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/data/rasters/v10/dsm_buildings_2m_augmented_reviewed_heightqa.tif,yes,no,no,yes,missing_but_expected_local,Raster reference only; do not copy or commit.,Regenerate or locate the required raster input locally; do not copy or commit raster files: data/rasters/v10/dsm_buildings_2m_augmented_reviewed_heightqa.tif
qgis_algorithm_manual_check,qgis_algorithm_manual_check,solweig_algorithm_id_hint,umep:Outdoor Thermal Comfort: SOLWEIG,,yes,yes,no,no,manual_check_required,Must be verified inside QGIS/UMEP before execution; not checked by this package.,Open QGIS/UMEP manually and confirm the algorithm id is available: umep:Outdoor Thermal Comfort: SOLWEIG
local_output_root,local_output_root,manual_local_raw_output_root,C:/OpenHeat-local/solweig/b85_f1_tiles,C:/OpenHeat-local/solweig/b85_f1_tiles,yes,no,no,yes,missing_but_expected_local,Manual QGIS output root should remain outside the Git worktree by default.,Create or confirm this local-only output root outside Git before manual QGIS execution: C:/OpenHeat-local/solweig/b85_f1_tiles
cell_geometry,cell_geometry,TP_0037_focus_cell,data/solweig/v12_n24_tiles/TP_0037/focus_cell.geojson,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/data/solweig/v12_n24_tiles/TP_0037/focus_cell.geojson,yes,no,no,yes,missing_but_expected_local,Existing N24 tile focus mask location if retained locally.,Regenerate or locate the focus-cell geometry/vector reference locally: data/solweig/v12_n24_tiles/TP_0037/focus_cell.geojson
raster_tile,raster_tile,TP_0037_dsm_buildings,data/solweig/v12_n24_tiles/TP_0037/dsm_buildings_tile.tif,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/data/solweig/v12_n24_tiles/TP_0037/dsm_buildings_tile.tif,yes,no,no,yes,missing_but_expected_local,Raster path documented only; missing/untracked is non-fatal for this package.,Regenerate or locate the required raster input locally; do not copy or commit raster files: data/solweig/v12_n24_tiles/TP_0037/dsm_buildings_tile.tif
raster_tile,raster_tile,TP_0037_dem,data/solweig/v12_n24_tiles/TP_0037/dsm_dem_flat_tile.tif,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/data/solweig/v12_n24_tiles/TP_0037/dsm_dem_flat_tile.tif,yes,no,no,yes,missing_but_expected_local,Raster path documented only; missing/untracked is non-fatal for this package.,Regenerate or locate the required raster input locally; do not copy or commit raster files: data/solweig/v12_n24_tiles/TP_0037/dsm_dem_flat_tile.tif
raster_tile,raster_tile,TP_0037_vegetation_base,data/solweig/v12_n24_tiles/TP_0037/dsm_vegetation_tile_base.tif,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/data/solweig/v12_n24_tiles/TP_0037/dsm_vegetation_tile_base.tif,yes,no,no,yes,missing_but_expected_local,Raster path documented only; missing/untracked is non-fatal for this package.,Regenerate or locate the required raster input locally; do not copy or commit raster files: data/solweig/v12_n24_tiles/TP_0037/dsm_vegetation_tile_base.tif
raster_tile,raster_tile,TP_0037_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0037/dsm_vegetation_tile_overhead_as_canopy.tif,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/data/solweig/v12_n24_tiles/TP_0037/dsm_vegetation_tile_overhead_as_canopy.tif,yes,no,no,yes,missing_but_expected_local,Raster path documented only; missing/untracked is non-fatal for this package.,Regenerate or locate the required raster input locally; do not copy or commit raster files: data/solweig/v12_n24_tiles/TP_0037/dsm_vegetation_tile_overhead_as_canopy.tif
raster_tile,raster_tile,TP_0037_wall_height,data/solweig/v12_n24_tiles/TP_0037/wall_height.tif,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/data/solweig/v12_n24_tiles/TP_0037/wall_height.tif,yes,no,no,yes,missing_but_expected_local,Raster path documented only; missing/untracked is non-fatal for this package.,Regenerate or locate the required raster input locally; do not copy or commit raster files: data/solweig/v12_n24_tiles/TP_0037/wall_height.tif
raster_tile,raster_tile,TP_0037_wall_aspect,data/solweig/v12_n24_tiles/TP_0037/wall_aspect.tif,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/data/solweig/v12_n24_tiles/TP_0037/wall_aspect.tif,yes,no,no,yes,missing_but_expected_local,Raster path documented only; missing/untracked is non-fatal for this package.,Regenerate or locate the required raster input locally; do not copy or commit raster files: data/solweig/v12_n24_tiles/TP_0037/wall_aspect.tif
