asset_type,logical_name,original_expected_path,candidate_match_count,candidate_root_aliases,selected_root_alias,remap_status,notes
raster_tile,building_dsm_path,data/rasters/v10/dsm_buildings_2m_augmented_reviewed_heightqa.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
qgis_algorithm_manual_check,solweig_algorithm_id_hint,umep:Outdoor Thermal Comfort: SOLWEIG,0,,,manual_check_required,Existence discovery only; no asset copy/open.
local_output_root,manual_local_raw_output_root,C:/OpenHeat-local/solweig/b85_f1_tiles,0,openheat_local_solweig,,local_output_root_needs_create,Existence discovery only; no asset copy/open.
cell_geometry,TP_0037_focus_cell,data/solweig/v12_n24_tiles/TP_0037/focus_cell.geojson,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0037_dsm_buildings,data/solweig/v12_n24_tiles/TP_0037/dsm_buildings_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0037_dem,data/solweig/v12_n24_tiles/TP_0037/dsm_dem_flat_tile.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0037_vegetation_base,data/solweig/v12_n24_tiles/TP_0037/dsm_vegetation_tile_base.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0037_vegetation_overhead,data/solweig/v12_n24_tiles/TP_0037/dsm_vegetation_tile_overhead_as_canopy.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0037_wall_height,data/solweig/v12_n24_tiles/TP_0037/wall_height.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
raster_tile,TP_0037_wall_aspect,data/solweig/v12_n24_tiles/TP_0037/wall_aspect.tif,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
svf_zip,TP_0037_svf_base,data/solweig/v12_n24_tiles/TP_0037/svf_base/svfs.zip,1,original_project,original_project,recovered_by_root_remap,Existence discovery only; no asset copy/open.
