source_alias,source_kind,path_display,path_exists,matched_rows,matched_hours,usable_for_template,usable_for_weather,selected,notes
b8_worktree_project,template_root:project_worktree,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid,yes,,"10,12,13,15,16",yes,no,yes,Current B8 project subdirectory.
original_project,template_root:project_worktree,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid,yes,,"10,12,13,15,16",yes,no,no,Original project read-only candidate.
openheat_local_solweig,template_root:local_solweig_asset_root,C:/OpenHeat-local/solweig,yes,,,no,no,no,Local-only SOLWEIG root.
a_worktree_project,template_root:project_worktree,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_al1h/06-openheat_grid,yes,,"10,12,13,15,16",yes,no,no,Optional A worktree read-only candidate.
b8_worktree_project_fd02_existing_met,existing_fd02_met_forcing_discovery,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid,yes,0,,no,no,no,Exact normalized FD02 paths plus h16 typo path checked; files are not copied.
original_project_fd02_existing_met,existing_fd02_met_forcing_discovery,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid,yes,0,,no,no,no,Exact normalized FD02 paths plus h16 typo path checked; files are not copied.
openheat_local_solweig_fd02_existing_met,existing_fd02_met_forcing_discovery,C:/OpenHeat-local/solweig,yes,0,,no,no,no,Exact normalized FD02 paths plus h16 typo path checked; files are not copied.
a_worktree_project_fd02_existing_met,existing_fd02_met_forcing_discovery,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_al1h/06-openheat_grid,yes,0,,no,no,no,Exact normalized FD02 paths plus h16 typo path checked; files are not copied.
b85_f2c_local_met_output_root,local_generated_met_forcing_root,C:/OpenHeat-local/solweig/met_forcing/b85_f2c,yes,5,"h10,h12,h13,h15,h16",no,no,no,Local-only generated/recovered target root; generated text files are not commit-safe.
v09_historical_forecast_by_station_hourly,station_hourly_forecast,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/data/calibration/v09_historical_forecast_by_station_hourly.csv,yes,5,"10,12,13,15,16",no,yes,yes,all target station-hours and required weather fields present
v09_station_weather_pairs,station_weather_pairs_optional,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/data/calibration/v09_station_weather_pairs.csv,no,,,no,no,no,station_weather_pairs_optional
v09_wbgt_station_pairs,wbgt_station_pairs_read_only,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/data/calibration/v09_wbgt_station_pairs.csv,yes,0,,no,no,no,"missing target station-hours: [10, 12, 13, 15, 16]"
v11_l1h_residual_weather_merge,residual_weather_merge_optional,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/outputs/v11_systema_l1_high_tail/weather_regime_merge_full_period/residual_weather_merge_full_period.csv,no,,,no,no,no,residual_weather_merge_optional
