cell_id,hour_sgt,scenario,fd01_forcing_day_id,fd02_forcing_day_id,contrast_direction,mean_difference_c,p50_difference_c,p90_difference_c,p95_difference_c,max_difference_c,notes
TP_0037,10,base,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-10.784873,-6.812608,-17.254004,-17.588094,-16.713930,FD02 - FD01 Tmrt contrast; not WBGT.
TP_0037,10,overhead_as_canopy,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-10.467633,-6.621584,-16.938410,-17.319257,-16.692045,FD02 - FD01 Tmrt contrast; not WBGT.
TP_0037,12,base,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-7.182938,-10.981156,-9.796514,-9.230456,-8.860791,FD02 - FD01 Tmrt contrast; not WBGT.
TP_0037,12,overhead_as_canopy,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-6.985330,-10.948605,-10.179315,-9.602551,-8.873944,FD02 - FD01 Tmrt contrast; not WBGT.
TP_0037,13,base,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-2.762284,-4.480753,-3.523607,-3.238369,-3.032562,FD02 - FD01 Tmrt contrast; not WBGT.
TP_0037,13,overhead_as_canopy,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-2.696902,-4.462780,-3.677609,-3.424673,-3.037296,FD02 - FD01 Tmrt contrast; not WBGT.
TP_0037,15,base,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-10.354416,-13.752046,-16.601463,-16.465171,-16.438301,FD02 - FD01 Tmrt contrast; not WBGT.
TP_0037,15,overhead_as_canopy,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-10.033638,-6.798500,-16.599957,-16.549199,-16.446671,FD02 - FD01 Tmrt contrast; not WBGT.
TP_0037,16,base,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-2.746357,-2.141336,-4.136387,-4.158676,-4.180283,FD02 - FD01 Tmrt contrast; not WBGT.
TP_0037,16,overhead_as_canopy,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-2.683543,-2.079277,-4.121621,-4.147953,-4.181511,FD02 - FD01 Tmrt contrast; not WBGT.
TP_0059,10,base,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-15.461468,-17.474902,-17.697744,-17.715464,-17.124332,FD02 - FD01 Tmrt contrast; not WBGT.
TP_0059,10,overhead_as_canopy,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-13.497639,-16.356024,-17.629314,-17.649084,-17.124332,FD02 - FD01 Tmrt contrast; not WBGT.
TP_0059,12,base,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-8.655870,-9.416264,-9.086996,-9.057286,-8.911995,FD02 - FD01 Tmrt contrast; not WBGT.
TP_0059,12,overhead_as_canopy,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-7.793117,-9.977696,-9.205299,-9.151794,-8.830745,FD02 - FD01 Tmrt contrast; not WBGT.
TP_0059,13,base,FD01_high_shortwave_hot_20260507,FD02_humid_hot_cloudy_or_diffuse_20260508,FD02_minus_FD01,-3.130138,-3.353094,-3.158425,-3.138901,-3.009247,FD02 - FD01 Tmrt contrast; not WBGT.
