record_type,cell_id,hour_sgt,forcing_day_id,scenario,metric,value,status,details
spearman_by_hour,,10,,,spearman_delta_tmrt_p90_fd01_fd02,0.657072,PASS,Spearman correlation between FD01 and FD02 delta_tmrt_p90_c ranks by hour.
rank_drift_by_cell_hour,TP_0037,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=5; FD02_rank=7; sign_stable=True
rank_drift_by_cell_hour,TP_0059,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,6,WARN,FD01_rank=11; FD02_rank=5; sign_stable=True
rank_drift_by_cell_hour,TP_0088,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=10; FD02_rank=8; sign_stable=True
rank_drift_by_cell_hour,TP_0098,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,14,WARN,FD01_rank=9; FD02_rank=23; sign_stable=False
rank_drift_by_cell_hour,TP_0115,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=20; FD02_rank=18; sign_stable=True
rank_drift_by_cell_hour,TP_0141,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,3,PASS,FD01_rank=3; FD02_rank=6; sign_stable=True
rank_drift_by_cell_hour,TP_0154,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=13; FD02_rank=15; sign_stable=True
rank_drift_by_cell_hour,TP_0254,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=14; FD02_rank=16; sign_stable=True
rank_drift_by_cell_hour,TP_0301,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=20; FD02_rank=18; sign_stable=True
rank_drift_by_cell_hour,TP_0326,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=20; FD02_rank=22; sign_stable=False
rank_drift_by_cell_hour,TP_0366,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,4,PASS,FD01_rank=17; FD02_rank=13; sign_stable=True
rank_drift_by_cell_hour,TP_0409,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,16,WARN,FD01_rank=8; FD02_rank=24; sign_stable=False
rank_drift_by_cell_hour,TP_0433,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,8,WARN,FD01_rank=2; FD02_rank=10; sign_stable=True
rank_drift_by_cell_hour,TP_0492,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=20; FD02_rank=18; sign_stable=True
rank_drift_by_cell_hour,TP_0542,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=4; FD02_rank=3; sign_stable=True
rank_drift_by_cell_hour,TP_0565,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,4,PASS,FD01_rank=18; FD02_rank=14; sign_stable=True
rank_drift_by_cell_hour,TP_0575,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,3,PASS,FD01_rank=7; FD02_rank=4; sign_stable=True
rank_drift_by_cell_hour,TP_0627,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,4,PASS,FD01_rank=15; FD02_rank=11; sign_stable=True
rank_drift_by_cell_hour,TP_0676,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,4,PASS,FD01_rank=16; FD02_rank=12; sign_stable=True
rank_drift_by_cell_hour,TP_0773,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,4,PASS,FD01_rank=6; FD02_rank=2; sign_stable=True
rank_drift_by_cell_hour,TP_0835,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,3,PASS,FD01_rank=12; FD02_rank=9; sign_stable=True
rank_drift_by_cell_hour,TP_0857,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=1; FD02_rank=1; sign_stable=True
rank_drift_by_cell_hour,TP_0960,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=19; FD02_rank=17; sign_stable=True
rank_drift_by_cell_hour,TP_0986,10,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=20; FD02_rank=18; sign_stable=True
sign_stability_by_hour,,10,FD01_vs_FD02,overhead_as_canopy_minus_base,sign_stability_fraction,0.875000,WARN,21/24 cells have stable delta sign.
top_k_overlap_by_hour,,10,FD01_vs_FD02,overhead_as_canopy_minus_base,top5,0.400000,WARN,overlap=2/5; FD01_top=TP_0037;TP_0141;TP_0433;TP_0542;TP_0857; FD02_top=TP_0059;TP_0542;TP_0575;TP_0773;TP_0857
top_k_overlap_by_hour,,10,FD01_vs_FD02,overhead_as_canopy_minus_base,top10pct,0.333333,WARN,overlap=1/3; FD01_top=TP_0141;TP_0433;TP_0857; FD02_top=TP_0542;TP_0773;TP_0857
top_k_overlap_by_hour,,10,FD01_vs_FD02,overhead_as_canopy_minus_base,top20pct,0.400000,WARN,overlap=2/5; FD01_top=TP_0037;TP_0141;TP_0433;TP_0542;TP_0857; FD02_top=TP_0059;TP_0542;TP_0575;TP_0773;TP_0857
spearman_by_hour,,12,,,spearman_delta_tmrt_p90_fd01_fd02,0.920276,PASS,Spearman correlation between FD01 and FD02 delta_tmrt_p90_c ranks by hour.
rank_drift_by_cell_hour,TP_0037,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,5,PASS,FD01_rank=10; FD02_rank=5; sign_stable=True
rank_drift_by_cell_hour,TP_0059,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=11; FD02_rank=10; sign_stable=True
rank_drift_by_cell_hour,TP_0088,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=9; FD02_rank=11; sign_stable=True
rank_drift_by_cell_hour,TP_0098,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=8; FD02_rank=8; sign_stable=True
rank_drift_by_cell_hour,TP_0115,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0141,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=2; FD02_rank=3; sign_stable=True
rank_drift_by_cell_hour,TP_0154,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,7,WARN,FD01_rank=6; FD02_rank=13; sign_stable=True
rank_drift_by_cell_hour,TP_0254,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=15; FD02_rank=14; sign_stable=True
rank_drift_by_cell_hour,TP_0301,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0326,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0366,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=18; FD02_rank=16; sign_stable=True
rank_drift_by_cell_hour,TP_0409,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,5,PASS,FD01_rank=4; FD02_rank=9; sign_stable=True
rank_drift_by_cell_hour,TP_0433,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=3; FD02_rank=2; sign_stable=True
rank_drift_by_cell_hour,TP_0492,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0542,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=5; FD02_rank=4; sign_stable=True
rank_drift_by_cell_hour,TP_0565,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=16; FD02_rank=18; sign_stable=True
rank_drift_by_cell_hour,TP_0575,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,6,WARN,FD01_rank=13; FD02_rank=7; sign_stable=True
rank_drift_by_cell_hour,TP_0627,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=14; FD02_rank=15; sign_stable=True
rank_drift_by_cell_hour,TP_0676,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=17; FD02_rank=17; sign_stable=True
rank_drift_by_cell_hour,TP_0773,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=7; FD02_rank=6; sign_stable=True
rank_drift_by_cell_hour,TP_0835,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=12; FD02_rank=12; sign_stable=True
rank_drift_by_cell_hour,TP_0857,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=1; FD02_rank=1; sign_stable=True
rank_drift_by_cell_hour,TP_0960,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=19; FD02_rank=19; sign_stable=True
rank_drift_by_cell_hour,TP_0986,12,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
sign_stability_by_hour,,12,FD01_vs_FD02,overhead_as_canopy_minus_base,sign_stability_fraction,1.000000,PASS,24/24 cells have stable delta sign.
top_k_overlap_by_hour,,12,FD01_vs_FD02,overhead_as_canopy_minus_base,top5,0.800000,WARN,overlap=4/5; FD01_top=TP_0141;TP_0409;TP_0433;TP_0542;TP_0857; FD02_top=TP_0037;TP_0141;TP_0433;TP_0542;TP_0857
top_k_overlap_by_hour,,12,FD01_vs_FD02,overhead_as_canopy_minus_base,top10pct,1.000000,PASS,overlap=3/3; FD01_top=TP_0141;TP_0433;TP_0857; FD02_top=TP_0141;TP_0433;TP_0857
top_k_overlap_by_hour,,12,FD01_vs_FD02,overhead_as_canopy_minus_base,top20pct,0.800000,WARN,overlap=4/5; FD01_top=TP_0141;TP_0409;TP_0433;TP_0542;TP_0857; FD02_top=TP_0037;TP_0141;TP_0433;TP_0542;TP_0857
spearman_by_hour,,13,,,spearman_delta_tmrt_p90_fd01_fd02,0.967903,PASS,Spearman correlation between FD01 and FD02 delta_tmrt_p90_c ranks by hour.
rank_drift_by_cell_hour,TP_0037,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=7; FD02_rank=5; sign_stable=True
rank_drift_by_cell_hour,TP_0059,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=12; FD02_rank=11; sign_stable=True
rank_drift_by_cell_hour,TP_0088,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,1,PASS,FD01_rank=11; FD02_rank=12; sign_stable=True
rank_drift_by_cell_hour,TP_0098,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,3,PASS,FD01_rank=6; FD02_rank=9; sign_stable=True
rank_drift_by_cell_hour,TP_0115,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=20; FD02_rank=20; sign_stable=True
rank_drift_by_cell_hour,TP_0141,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=2; FD02_rank=2; sign_stable=True
rank_drift_by_cell_hour,TP_0154,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,2,PASS,FD01_rank=8; FD02_rank=10; sign_stable=True
rank_drift_by_cell_hour,TP_0254,13,FD01_vs_FD02,overhead_as_canopy_minus_base,rank_drift,0,PASS,FD01_rank=15; FD02_rank=15; sign_stable=True
