check_name,status,value,details
all_3000_rasters_opened,PASS,3000/3000,All expected local Tmrt rasters must open for content QA.
TP_0005:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0005:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0005:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0005:same_transform,PASS,"(29000.0, 2.0, 0.0, 34400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0005:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0005:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0006:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0006:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0006:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0006:same_transform,PASS,"(29100.0, 2.0, 0.0, 34400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0006:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0006:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0018:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0018:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0018:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0018:same_transform,PASS,"(30300.0, 2.0, 0.0, 34400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0018:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0018:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0020:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0020:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0020:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0020:same_transform,PASS,"(30500.0, 2.0, 0.0, 34400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0020:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0020:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0023:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0023:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0023:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0023:same_transform,PASS,"(30800.0, 2.0, 0.0, 34400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0023:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0023:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0028:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0028:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0028:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0028:same_transform,PASS,"(31300.0, 2.0, 0.0, 34400.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0028:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0028:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0037:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0037:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0037:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0037:same_transform,PASS,"(29300.0, 2.0, 0.0, 34500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0037:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0037:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0040:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0040:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0040:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0040:same_transform,PASS,"(29600.0, 2.0, 0.0, 34500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0040:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0040:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0041:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0041:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0041:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0041:same_transform,PASS,"(29700.0, 2.0, 0.0, 34500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0041:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0041:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0049:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0049:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0049:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0049:same_transform,PASS,"(30500.0, 2.0, 0.0, 34500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0049:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0049:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0050:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0050:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0050:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0050:same_transform,PASS,"(30600.0, 2.0, 0.0, 34500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0050:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0050:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0053:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0053:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0053:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0053:same_transform,PASS,"(30900.0, 2.0, 0.0, 34500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0053:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0053:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0056:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0056:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0056:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0056:same_transform,PASS,"(31200.0, 2.0, 0.0, 34500.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0056:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0056:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0059:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0059:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0059:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0059:same_transform,PASS,"(28600.0, 2.0, 0.0, 34600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0059:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0059:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0060:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0060:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0060:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0060:same_transform,PASS,"(28700.0, 2.0, 0.0, 34600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0060:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0060:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0065:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0065:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0065:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0065:same_transform,PASS,"(29200.0, 2.0, 0.0, 34600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0065:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0065:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0066:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0066:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0066:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0066:same_transform,PASS,"(29300.0, 2.0, 0.0, 34600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0066:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0066:same_dtype,PASS,float32,Rasters within each cell must share dtype.
TP_0081:opened_raster_count,PASS,20/20,Each N150 cell must have 20 rasters.
TP_0081:same_crs,PASS,EPSG:3414,Rasters within each cell must share crs.
TP_0081:same_shape,PASS,150x150,Rasters within each cell must share shape.
TP_0081:same_transform,PASS,"(30800.0, 2.0, 0.0, 34600.0, 0.0, -2.0)",Rasters within each cell must share transform.
TP_0081:same_nodata,PASS,-9999.0,Rasters within each cell must share nodata.
TP_0081:same_dtype,PASS,float32,Rasters within each cell must share dtype.
