cell_id,forcing_day_id,hour_sgt,base_tmrt_p90_c,overhead_tmrt_p90_c,delta_tmrt_mean_c,delta_tmrt_p50_c,delta_tmrt_p90_c,delta_tmrt_p95_c,within_slice_rank,rank_direction,label_source,legacy_single_forcing_comparison_source,notes
TP_0005,FD01_high_shortwave_hot_20260507,10,46.155393,46.155393,-0.088529,-0.222050,0.000000,0.000000,101,most_negative_delta_rank_1,b85_f5_n150_multiforcing_raster_qa,metadata_only_not_merged,"overhead_as_canopy - base; SOLWEIG Tmrt label only, not WBGT/risk/B9."
TP_0005,FD01_high_shortwave_hot_20260507,12,62.035019,62.035019,-0.119473,-0.078188,0.000000,0.000000,103,most_negative_delta_rank_1,b85_f5_n150_multiforcing_raster_qa,metadata_only_not_merged,"overhead_as_canopy - base; SOLWEIG Tmrt label only, not WBGT/risk/B9."
TP_0005,FD01_high_shortwave_hot_20260507,13,62.182663,62.182663,-0.121312,-0.094883,0.000000,0.000000,100,most_negative_delta_rank_1,b85_f5_n150_multiforcing_raster_qa,metadata_only_not_merged,"overhead_as_canopy - base; SOLWEIG Tmrt label only, not WBGT/risk/B9."
TP_0005,FD01_high_shortwave_hot_20260507,15,60.324390,60.324390,-0.121798,-0.175770,0.000000,0.000000,100,most_negative_delta_rank_1,b85_f5_n150_multiforcing_raster_qa,metadata_only_not_merged,"overhead_as_canopy - base; SOLWEIG Tmrt label only, not WBGT/risk/B9."
TP_0005,FD01_high_shortwave_hot_20260507,16,51.329224,51.329224,-0.124313,-4.577310,0.000000,0.000000,99,most_negative_delta_rank_1,b85_f5_n150_multiforcing_raster_qa,metadata_only_not_merged,"overhead_as_canopy - base; SOLWEIG Tmrt label only, not WBGT/risk/B9."
TP_0005,FD02_humid_hot_cloudy_or_diffuse_20260508,10,28.504099,28.504099,0.000469,0.000487,0.000000,0.000000,94,most_negative_delta_rank_1,b85_f5_n150_multiforcing_raster_qa,metadata_only_not_merged,"overhead_as_canopy - base; SOLWEIG Tmrt label only, not WBGT/risk/B9."
TP_0005,FD02_humid_hot_cloudy_or_diffuse_20260508,12,52.930650,52.930650,-0.090277,-0.106926,0.000000,0.000000,102,most_negative_delta_rank_1,b85_f5_n150_multiforcing_raster_qa,metadata_only_not_merged,"overhead_as_canopy - base; SOLWEIG Tmrt label only, not WBGT/risk/B9."
TP_0005,FD02_humid_hot_cloudy_or_diffuse_20260508,13,59.013194,59.013194,-0.111432,-0.115892,0.000000,0.000000,102,most_negative_delta_rank_1,b85_f5_n150_multiforcing_raster_qa,metadata_only_not_merged,"overhead_as_canopy - base; SOLWEIG Tmrt label only, not WBGT/risk/B9."
TP_0005,FD02_humid_hot_cloudy_or_diffuse_20260508,15,43.883475,43.883475,-0.053665,-0.067433,0.000000,0.000000,101,most_negative_delta_rank_1,b85_f5_n150_multiforcing_raster_qa,metadata_only_not_merged,"overhead_as_canopy - base; SOLWEIG Tmrt label only, not WBGT/risk/B9."
TP_0005,FD02_humid_hot_cloudy_or_diffuse_20260508,16,47.170020,47.170020,-0.104071,-3.877502,0.000000,0.000000,97,most_negative_delta_rank_1,b85_f5_n150_multiforcing_raster_qa,metadata_only_not_merged,"overhead_as_canopy - base; SOLWEIG Tmrt label only, not WBGT/risk/B9."
TP_0006,FD01_high_shortwave_hot_20260507,10,45.344444,45.344444,-0.033077,-0.031437,0.000000,0.000000,101,most_negative_delta_rank_1,b85_f5_n150_multiforcing_raster_qa,metadata_only_not_merged,"overhead_as_canopy - base; SOLWEIG Tmrt label only, not WBGT/risk/B9."
TP_0006,FD01_high_shortwave_hot_20260507,12,61.641605,61.641418,-0.050436,-0.014626,-0.000187,0.000000,102,most_negative_delta_rank_1,b85_f5_n150_multiforcing_raster_qa,metadata_only_not_merged,"overhead_as_canopy - base; SOLWEIG Tmrt label only, not WBGT/risk/B9."
TP_0006,FD01_high_shortwave_hot_20260507,13,61.566867,61.566867,-0.051860,-0.014397,0.000000,0.000000,100,most_negative_delta_rank_1,b85_f5_n150_multiforcing_raster_qa,metadata_only_not_merged,"overhead_as_canopy - base; SOLWEIG Tmrt label only, not WBGT/risk/B9."
TP_0006,FD01_high_shortwave_hot_20260507,15,59.599573,59.599573,-0.051178,-0.118168,0.000000,0.000000,100,most_negative_delta_rank_1,b85_f5_n150_multiforcing_raster_qa,metadata_only_not_merged,"overhead_as_canopy - base; SOLWEIG Tmrt label only, not WBGT/risk/B9."
