record_type,cell_id,hour_sgt,metric,value,status,details
h10_caveat,,10,f4_h10_caveat_retained,caveated,WARN,F4 found h10 weaker; h10 is retained for sensitivity review and is not anchor evidence.
anchor_inclusion_summary,,,f4_anchor_cells_included,20,PASS,TP_0037;TP_0059;TP_0098;TP_0115;TP_0141;TP_0154;TP_0301;TP_0326;TP_0366;TP_0409;TP_0433;TP_0492;TP_0542;TP_0565;TP_0575;TP_0676;TP_0773;TP_0857;TP_0960;TP_0986
spearman_by_hour,,10,spearman_delta_tmrt_p90_fd01_fd02,0.793386,PASS,Spearman correlation between FD01 and FD02 delta_tmrt_p90_c ranks by hour.
sign_stability_by_hour,,10,sign_stability_fraction,0.880000,WARN,132/150 cells have stable delta sign.
top_k_overlap_by_hour,,10,top5,0.800000,WARN,overlap=4/5; FD01_top=TP_0403;TP_0745;TP_0746;TP_0857;TP_0947; FD02_top=TP_0718;TP_0745;TP_0746;TP_0857;TP_0947
top_k_overlap_by_hour,,10,top10pct,0.733333,WARN,overlap=11/15; FD01_top=TP_0141;TP_0403;TP_0430;TP_0433;TP_0552;TP_0600;TP_0718;TP_0745;TP_0746;TP_0857;TP_0871;TP_0889;TP_0890;TP_0947;TP_0948; FD02_top=TP_0060;TP_0403;TP_0430;TP_0542;TP_0552;TP_0575;TP_0600;TP_0718;TP_0745;TP_0746;TP_0773;TP_0857;TP_0889;TP_0890;TP_0947
top_k_overlap_by_hour,,10,top20pct,0.800000,WARN,overlap=24/30; FD01_top=TP_0037;TP_0060;TP_0065;TP_0066;TP_0089;TP_0098;TP_0141;TP_0257;TP_0285;TP_0380;TP_0403;TP_0409;TP_0430;TP_0433;TP_0542;TP_0552;TP_0575;TP_0600;TP_0718;TP_0745;TP_0746;TP_0773;TP_0857;TP_0864;TP_0871;TP_0889;TP_0890;TP_0892;TP_0947;TP_0948; FD02_top=TP_0037;TP_0059;TP_0060;TP_0065;TP_0088;TP_0089;TP_0141;TP_0257;TP_0285;TP_0403;TP_0430;TP_0542;TP_0543;TP_0552;TP_0575;TP_0600;TP_0718;TP_0745;TP_0746;TP_0747;TP_0772;TP_0773;TP_0808;TP_0857;TP_0864;TP_0871;TP_0889;TP_0890;TP_0947;TP_0948
f4_anchor_role_comparison,TP_0037;TP_0141;TP_0433;TP_0542;TP_0857,10,robust_priority_anchor,n=5;fd01_median=-0.784488;fd02_median=-0.130893,PASS,F4 role cells compared when present in N150 F5 pairwise labels.
f4_anchor_role_comparison,TP_0115;TP_0301;TP_0326;TP_0366;TP_0492;TP_0565;TP_0676;TP_0960;TP_0986,10,neutral_boundary,n=9;fd01_median=0.000000;fd02_median=0.000000,PASS,F4 role cells compared when present in N150 F5 pairwise labels.
f4_anchor_role_comparison,TP_0059;TP_0098;TP_0154;TP_0326;TP_0409;TP_0575;TP_0773,10,unstable_review,n=7;fd01_median=-0.288849;fd02_median=-0.004693,PASS,F4 role cells compared when present in N150 F5 pairwise labels.
spearman_by_hour,,12,spearman_delta_tmrt_p90_fd01_fd02,0.981633,PASS,Spearman correlation between FD01 and FD02 delta_tmrt_p90_c ranks by hour.
sign_stability_by_hour,,12,sign_stability_fraction,0.980000,WARN,147/150 cells have stable delta sign.
top_k_overlap_by_hour,,12,top5,0.800000,WARN,overlap=4/5; FD01_top=TP_0745;TP_0746;TP_0857;TP_0947;TP_0948; FD02_top=TP_0403;TP_0745;TP_0746;TP_0857;TP_0947
top_k_overlap_by_hour,,12,top10pct,0.933333,WARN,overlap=14/15; FD01_top=TP_0141;TP_0403;TP_0409;TP_0430;TP_0433;TP_0552;TP_0600;TP_0718;TP_0745;TP_0746;TP_0857;TP_0889;TP_0890;TP_0947;TP_0948; FD02_top=TP_0141;TP_0403;TP_0430;TP_0433;TP_0552;TP_0600;TP_0718;TP_0745;TP_0746;TP_0857;TP_0871;TP_0889;TP_0890;TP_0947;TP_0948
top_k_overlap_by_hour,,12,top20pct,0.833333,WARN,overlap=25/30; FD01_top=TP_0060;TP_0066;TP_0089;TP_0098;TP_0126;TP_0141;TP_0154;TP_0226;TP_0257;TP_0380;TP_0403;TP_0409;TP_0430;TP_0433;TP_0542;TP_0543;TP_0552;TP_0600;TP_0718;TP_0745;TP_0746;TP_0773;TP_0857;TP_0864;TP_0871;TP_0889;TP_0890;TP_0892;TP_0947;TP_0948; FD02_top=TP_0037;TP_0060;TP_0065;TP_0066;TP_0098;TP_0126;TP_0141;TP_0257;TP_0380;TP_0381;TP_0403;TP_0430;TP_0433;TP_0542;TP_0552;TP_0575;TP_0600;TP_0718;TP_0745;TP_0746;TP_0772;TP_0773;TP_0857;TP_0864;TP_0871;TP_0889;TP_0890;TP_0892;TP_0947;TP_0948
f4_anchor_role_comparison,TP_0037;TP_0141;TP_0433;TP_0542;TP_0857,12,robust_priority_anchor,n=5;fd01_median=-0.476264;fd02_median=-0.938083,PASS,F4 role cells compared when present in N150 F5 pairwise labels.
f4_anchor_role_comparison,TP_0115;TP_0301;TP_0326;TP_0366;TP_0492;TP_0565;TP_0676;TP_0960;TP_0986,12,neutral_boundary,n=9;fd01_median=0.000000;fd02_median=0.000000,PASS,F4 role cells compared when present in N150 F5 pairwise labels.
