scan_root,path,exists,suffix,size_bytes,read_status,columns,column_count,has_cell_id,has_hour,has_scenario,has_primary_target,has_tmrt_p90,has_m_rad,has_feature_keywords,filename_mentions_n150,filename_mentions_surrogate
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_execution_package/b85_f1_execution_readme.md,True,.md,2186,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_execution_package/b85_f1_expected_aggregation_contract.csv,True,.csv,2530,READABLE_HEADER,contract_section|field_or_artifact|required|dtype_or_artifact_type|grouping_or_formula|notes,6,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_execution_package/b85_f1_expected_run_log_schema.csv,True,.csv,1038,READABLE_HEADER,column_name|dtype|required|allowed_values_or_format|description,5,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_execution_package/b85_f1_manifest_validation.csv,True,.csv,2845,READABLE_HEADER,section|check_name|status|expected|observed|detail,6,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_execution_package/b85_f1_qgis_parameter_contract.csv,True,.csv,2861,READABLE_HEADER,contract_section|parameter_name|qgis_parameter_key|required|expected_value_or_template|source|notes,7,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_execution_package/b85_f1_required_asset_inventory.csv,True,.csv,43234,READABLE_HEADER,asset_type|logical_name|expected_path|exists|required_for_execution|commit_safe|notes,7,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_execution_package/B8_5_F1_STATUS.md,True,.md,2761,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2_asset_readiness/b85_f2_asset_readiness_by_asset.csv,True,.csv,93218,READABLE_HEADER,asset_type|source_asset_type|logical_name|expected_path|resolved_path|required_for_execution|commit_safe|exists|is_path_like|readiness_status|notes,11,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2_asset_readiness/b85_f2_asset_readiness_by_run.csv,True,.csv,453422,READABLE_HEADER,run_id|cell_id|forcing_day_id|date|hour_sgt|scenario|expected_output_group|cell_assets_ready|scenario_inputs_ready|svf_ready|met_forcing_ready|manual_check_status|run_readiness|missing_cell_assets|missing_scenario_inputs|missing_svf_assets|missing_met_forcing|expected_tmrt_path|qgis_solweig_executed,19,True,True,True,False,False,False,True,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2_asset_readiness/b85_f2_asset_readiness_summary.csv,True,.csv,989,READABLE_HEADER,decision_status|manifest_status|manifest_rows|ready_run_count|total_run_count|run_readiness_counts|asset_readiness_counts|missing_asset_count|missing_asset_summary|local_output_root_status|local_output_root_inside_git|skeleton_status|skeleton_detail|qgis_solweig_executed|rasters_created_or_copied|is_b9|is_local_wbgt|is_risk|next_recommended_action,19,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2_asset_readiness/b85_f2_dry_run_simulation_log.csv,True,.csv,426848,READABLE_HEADER,run_id|cell_id|forcing_day_id|date|hour_sgt|scenario|dry_run_status|run_readiness|qgis_solweig_executed|output_tmrt_path|notes,11,True,True,True,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2_asset_readiness/b85_f2_local_output_root_check.csv,True,.csv,532,READABLE_HEADER,configured_output_root|resolved_output_root|project_root|git_root|exists|parent_exists|inside_git_worktree|can_be_created_by_human|status|notes,10,False,False,False,False,False,False,True,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2_asset_readiness/b85_f2_manual_execution_checklist.md,True,.md,13393,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2_asset_readiness/b85_f2_missing_assets.csv,True,.csv,116711,READABLE_HEADER,asset_type|source_asset_type|logical_name|expected_path|resolved_path|required_for_execution|commit_safe|exists|is_path_like|readiness_status|notes|next_manual_check,12,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2_asset_readiness/B8_5_F2A_STATUS.md,True,.md,2498,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2b_asset_recovery/b85_f2b_asset_recovery_by_missing_asset.csv,True,.csv,44339,READABLE_HEADER,asset_type|logical_name|original_expected_path|candidate_match_count|candidate_root_aliases|selected_root_alias|remap_status|notes,8,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2b_asset_recovery/b85_f2b_asset_remap_table.csv,True,.csv,66154,READABLE_HEADER,asset_type|logical_name|original_expected_path|selected_root_alias|selected_relative_path|selected_path_exists|remap_status|commit_safe|can_use_for_manual_execution|notes,10,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2b_asset_recovery/b85_f2b_local_output_root_plan.csv,True,.csv,386,READABLE_HEADER,local_output_root_alias|local_output_root_display|exists|parent_exists|inside_git_worktree|create_local_output_root|human_command_if_missing|notes,8,False,False,False,False,False,False,True,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2b_asset_recovery/b85_f2b_manual_remap_checklist.md,True,.md,1050,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2b_asset_recovery/b85_f2b_met_forcing_recovery_plan.csv,True,.csv,1336,READABLE_HEADER,logical_name|original_expected_path|selected_root_alias|selected_relative_path|remap_status|action|notes,7,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2b_asset_recovery/b85_f2b_missing_after_remap.csv,True,.csv,1519,READABLE_HEADER,asset_type|logical_name|original_expected_path|selected_root_alias|selected_relative_path|selected_path_exists|remap_status|commit_safe|can_use_for_manual_execution|notes,10,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2b_asset_recovery/b85_f2b_readiness_delta_summary.csv,True,.csv,576,READABLE_HEADER,decision_status|f2a_ready_runs|f2b_ready_runs_strict|f2b_ready_runs_if_output_root_created|f2b_ready_runs_if_qgis_check_passes|f2b_ready_runs_if_output_root_created_and_qgis_check_passes|missing_asset_count_before|missing_asset_count_after|recovered_asset_count_by_type|still_missing_by_type|selected_root_aliases|local_output_root_action|qgis_solweig_executed,13,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2b_asset_recovery/b85_f2b_root_candidate_inventory.csv,True,.csv,751,READABLE_HEADER,root_alias|root_kind|root_path_display|root_exists|root_parent_exists|commit_safe_to_reference|matched_missing_assets|matched_file_assets|selected_missing_assets|notes,10,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2b_asset_recovery/b85_f2b_run_readiness_after_remap.csv,True,.csv,149259,READABLE_HEADER,run_id|cell_id|forcing_day_id|date|hour_sgt|scenario|expected_output_group|ready_for_manual_qgis_after_remap|blocked_missing_cell_asset|blocked_missing_met_forcing|blocked_missing_svf|blocked_missing_raster|blocked_local_output_root|blocked_manual_check_required|partial_manual_check_only|ready_if_qgis_manual_check_passes|ready_if_output_root_created|ready_if_output_root_created_and_qgis_manual_check_passes|run_readiness_after_remap|qgis_solweig_executed,20,True,True,True,False,False,False,True,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2b_asset_recovery/B8_5_F2B_STATUS.md,True,.md,2229,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2c_met_forcing/b85_f2c_fd02_weather_rows.csv,True,.csv,3314,READABLE_HEADER,forcing_day_id|date|hour_sgt|station_id|weather_source_alias|weather_source_path|time_sgt|n_source_rows|temperature_2m|relative_humidity_2m|wind_speed_10m|shortwave_radiation|shortwave_3h_mean|cloud_cover|direct_radiation|diffuse_radiation|precipitation|rain_written|generated_iy|generated_day_of_year|generated_hour_sgt|generated_U|generated_RH|generated_Tair|generated_kdown|generated_fcld|generated_Kdiff|generated_Kdir|local_output_path_display|notes,30,False,True,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2c_met_forcing/b85_f2c_generated_met_forcing_manifest.csv,True,.csv,1980,READABLE_HEADER,forcing_day_id|date|hour_sgt|station_id|local_output_path_display|file_exists|file_size_bytes|sha256|template_source_alias|weather_source_alias|schema_status|validation_status|commit_safe|notes,14,False,True,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2c_met_forcing/b85_f2c_met_forcing_validation.csv,True,.csv,1031,READABLE_HEADER,hour_sgt|path_display|file_exists|line_count|expected_line_count|header_matches|column_count_matches|data_row_count_matches|duplicate_rows|required_fields_present|date_hour_matches|validation_status|notes,13,False,True,False,False,False,False,False,False,True
outputs/v12_surrogate,outputs/v12_surrogate/b8_5_f2c_met_forcing/b85_f2c_next_remap_roots.yaml,True,.yaml,1838,TEXT_OR_CONFIG,,0,False,False,False,False,False,False,False,False,True
