cell_id,split_family,n_rows,true_neutral_fraction,pred_neutral_fraction,neutral_boundary_classification_accuracy,mean_true_delta_tmrt_p90_c,mean_pred_delta_tmrt_p90_c,MAE,spurious_promotion_flag,claim_boundary
TP_0115,cell_group_holdout,10,1.0,0.2,0.2,0.0,-0.06792379787037935,0.06792379787037935,True,Neutral cells should not be spuriously promoted by the surrogate.
TP_0115,forcing_day_holdout,10,1.0,1.0,1.0,0.0,-0.0020154762121511243,0.017560248655496873,False,Neutral cells should not be spuriously promoted by the surrogate.
TP_0115,hour_holdout,10,1.0,1.0,1.0,0.0,-0.0006069109663554886,0.006246471938871533,False,Neutral cells should not be spuriously promoted by the surrogate.
TP_0115,random_split,2,1.0,1.0,1.0,0.0,-0.005705323669142372,0.005705323669142372,False,Neutral cells should not be spuriously promoted by the surrogate.
TP_0115,spatial_holdout,10,1.0,0.0,0.0,0.0,-0.059111809484981535,0.059111809484981535,True,Neutral cells should not be spuriously promoted by the surrogate.
TP_0301,cell_group_holdout,10,1.0,0.0,0.0,0.0,-0.11361539486208042,0.11361539486208042,True,Neutral cells should not be spuriously promoted by the surrogate.
TP_0301,forcing_day_holdout,10,1.0,0.9,0.9,0.0,0.020340733395478875,0.021376567974064307,False,Neutral cells should not be spuriously promoted by the surrogate.
TP_0301,hour_holdout,10,1.0,1.0,1.0,0.0,-0.005486006081563638,0.008030270462795506,False,Neutral cells should not be spuriously promoted by the surrogate.
TP_0301,random_split,2,1.0,1.0,1.0,0.0,0.0015164427751589468,0.006919496871319779,False,Neutral cells should not be spuriously promoted by the surrogate.
TP_0301,spatial_holdout,10,1.0,0.0,0.0,0.0,-0.19714980047879124,0.19714980047879124,True,Neutral cells should not be spuriously promoted by the surrogate.
TP_0301,typology_holdout,10,1.0,0.0,0.0,0.0,-0.1506165410677339,0.1506165410677339,True,Neutral cells should not be spuriously promoted by the surrogate.
TP_0326,cell_group_holdout,10,1.0,0.0,0.0,0.0002966,-0.24701284970123685,0.24730944970123683,True,Neutral cells should not be spuriously promoted by the surrogate.
TP_0326,forcing_day_holdout,10,1.0,1.0,1.0,0.0002966,-0.0002674021829467254,0.009232053629988126,False,Neutral cells should not be spuriously promoted by the surrogate.
TP_0326,hour_holdout,10,1.0,1.0,1.0,0.0002966,-0.0041785315964208035,0.004475131596420804,False,Neutral cells should not be spuriously promoted by the surrogate.
TP_0326,random_split,2,1.0,1.0,1.0,0.0,0.0033674143576680584,0.008652926990500655,False,Neutral cells should not be spuriously promoted by the surrogate.
TP_0326,spatial_holdout,10,1.0,0.0,0.0,0.0002966,-0.20519854768248358,0.20549514768248361,True,Neutral cells should not be spuriously promoted by the surrogate.
TP_0366,cell_group_holdout,10,1.0,0.0,0.0,-0.0208258,-0.09515946777782491,0.07433366777782492,True,Neutral cells should not be spuriously promoted by the surrogate.
TP_0366,forcing_day_holdout,10,1.0,0.1,0.1,-0.0208258,-0.07277265503876824,0.051946855038768246,True,Neutral cells should not be spuriously promoted by the surrogate.
TP_0366,hour_holdout,10,1.0,1.0,1.0,-0.0208258,-0.01356971456418681,0.009804268847909445,False,Neutral cells should not be spuriously promoted by the surrogate.
