source_table,source_path,column_name,dataset_column,dtype,non_null_count,missing_fraction,unique_count,classification,predictor_allowed,feature_group_hint,rejection_reason,leakage_guard,claim_boundary
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,svf_or_open_sky,svf_or_open_sky,float64,981,0.0,981,safe,True,built_canyon_svf,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,shade_fraction,shade_fraction,float64,981,0.0,975,safe,True,overhead_shade,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,building_density,building_density,float64,981,0.0,895,safe,True,built_canyon_svf,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,building_height_or_canyon_proxy,building_height_or_canyon_proxy,float64,981,0.0,77,safe,True,built_canyon_svf,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,road_or_hardscape_fraction,road_or_hardscape_fraction,float64,981,0.0,715,safe,True,road_hardscape,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,tree_or_gvi_fraction,tree_or_gvi_fraction,float64,981,0.0,165,safe,True,vegetation_water,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,grass_fraction,grass_fraction,float64,981,0.0,50,safe,True,vegetation_water,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,water_edge_or_water_fraction,water_edge_or_water_fraction,float64,981,0.0,127,safe,True,vegetation_water,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,overhead_fraction,overhead_fraction,float64,981,0.0,396,safe,True,overhead_shade,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_sampling_feature_matrix,outputs/v12_systemb_n150_sample_design/n150_sampling_feature_matrix.csv,impervious_or_built_fraction,impervious_or_built_fraction,float64,981,0.0,906,safe,True,road_hardscape,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,typology_label,cu__typology_label,object,986,0.0,22,safe,True,typology_context,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,svf,cu__svf,float64,986,0.0,986,safe,True,built_canyon_svf,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,shade_fraction_base_v10,cu__shade_fraction_base_v10,float64,986,0.0,980,safe,True,overhead_shade,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,shade_fraction_overhead_sens,cu__shade_fraction_overhead_sens,float64,986,0.0,969,safe,True,overhead_shade,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,building_density,cu__building_density,float64,986,0.0,899,safe,True,built_canyon_svf,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,mean_building_height,cu__mean_building_height,float64,986,0.0,622,safe,True,built_canyon_svf,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
n150_candidate_universe,outputs/v12_systemb_n150_sample_design/n150_candidate_universe.csv,building_height_p90,cu__building_height_p90,float64,986,0.0,77,safe,True,built_canyon_svf,,PASS,"Feature audit only; no observed truth, causal feature importance, WBGT, risk, B9, or AOI-wide prediction."
