split_family,metric,mean,std,min,max,n_seeds,selected_feature_set,selected_threshold_c,selected_classifier,selected_regressor,claim_boundary
overall,neutral_accuracy,0.7613228364970219,1.1102230246251565e-16,0.761322836497022,0.761322836497022,10,full_safe_compact,0.05,logistic_regression,ridge,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
overall,false_promotion_rate,0.19369195090624328,2.7755575615628914e-17,0.19369195090624325,0.19369195090624325,10,full_safe_compact,0.05,logistic_regression,ridge,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
overall,Spearman,0.4659865785729396,0.0,0.4659865785729396,0.4659865785729396,10,full_safe_compact,0.05,logistic_regression,ridge,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
overall,top10pct_overlap,0.6454648526077097,1.1102230246251565e-16,0.6454648526077098,0.6454648526077098,10,full_safe_compact,0.05,logistic_regression,ridge,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
overall,anchor_MAE,0.5049941550786844,1.1102230246251565e-16,0.5049941550786845,0.5049941550786845,10,full_safe_compact,0.05,logistic_regression,ridge,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
cell_group_holdout,neutral_accuracy,0.7386666666666668,1.1102230246251565e-16,0.7386666666666667,0.7386666666666667,10,full_safe_compact,0.05,logistic_regression,ridge,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
cell_group_holdout,false_promotion_rate,0.21715597606256928,0.0,0.21715597606256928,0.21715597606256928,10,full_safe_compact,0.05,logistic_regression,ridge,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
cell_group_holdout,Spearman,0.4622651471678124,0.0,0.4622651471678124,0.4622651471678124,10,full_safe_compact,0.05,logistic_regression,ridge,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
cell_group_holdout,top10pct_overlap,0.5999999999999999,1.1102230246251565e-16,0.6,0.6,10,full_safe_compact,0.05,logistic_regression,ridge,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
cell_group_holdout,anchor_MAE,0.687636451824229,0.0,0.687636451824229,0.687636451824229,10,full_safe_compact,0.05,logistic_regression,ridge,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
spatial_holdout,neutral_accuracy,0.6670253759398497,0.0,0.6670253759398497,0.6670253759398497,10,full_safe_compact,0.05,logistic_regression,ridge,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
spatial_holdout,false_promotion_rate,0.23778357459564953,0.0,0.23778357459564953,0.23778357459564953,10,full_safe_compact,0.05,logistic_regression,ridge,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
spatial_holdout,Spearman,0.17204802809965009,2.7755575615628914e-17,0.17204802809965006,0.17204802809965006,10,full_safe_compact,0.05,logistic_regression,ridge,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
spatial_holdout,top10pct_overlap,0.3125,0.0,0.3125,0.3125,10,full_safe_compact,0.05,logistic_regression,ridge,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
