feature_set,neutral_threshold_c,classifier,regressor,n_folds,neutral_accuracy,balanced_accuracy,false_promotion_rate,false_neutral_rate,Spearman,top10pct_overlap,robust_anchor_MAE,spatial_Spearman,typology_Spearman,claim_boundary
minimal_physics_interpretable,0.03,random_forest_classifier,random_forest_regressor,14,0.7161950911913317,0.6518828069444211,0.2467457624578611,0.35315829496636614,0.4742829080307751,0.24149659863945577,0.7146957535266466,0.4441910703785449,0.43921116496871493,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
minimal_physics_interpretable,0.03,random_forest_classifier,hist_gradient_boosting_regressor,14,0.7161950911913317,0.6518828069444211,0.2467457624578611,0.35315829496636614,0.4710195795444593,0.320578231292517,0.6737609880578247,0.4464191550161623,0.4607349172254258,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
minimal_physics_interpretable,0.03,random_forest_classifier,ridge,14,0.7161950911913317,0.6518828069444211,0.2467457624578611,0.35315829496636614,0.4380058638794552,0.17346938775510204,0.6706874928664732,0.4256778060962938,0.41850827913219046,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
minimal_physics_interpretable,0.03,random_forest_classifier,elasticnet,14,0.7161950911913317,0.6518828069444211,0.2467457624578611,0.35315829496636614,0.43546243568568305,0.17346938775510204,0.668656192624817,0.42612572457300796,0.41353484469886503,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
baseline_plus_interactions,0.03,random_forest_classifier,random_forest_regressor,14,0.6891089651578374,0.6341838348336849,0.25919075767529576,0.37934681156313943,0.4263962009023459,0.23129251700680273,0.6975920036817531,0.3503465963980222,0.40893856851137533,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
baseline_plus_interactions,0.03,random_forest_classifier,hist_gradient_boosting_regressor,14,0.6891089651578374,0.6341838348336849,0.25919075767529576,0.37934681156313943,0.406088738951685,0.15561224489795916,0.6698412477616811,0.35477846982653727,0.3985624740230128,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
baseline_plus_interactions,0.03,random_forest_classifier,elasticnet,14,0.6891089651578374,0.6341838348336849,0.25919075767529576,0.37934681156313943,0.383484674561449,0.3401360544217687,0.7052396385418047,0.3358878711670541,0.4340573143871076,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
baseline_plus_interactions,0.03,random_forest_classifier,ridge,14,0.6891089651578374,0.6341838348336849,0.25919075767529576,0.37934681156313943,0.38313674116993507,0.3401360544217687,0.7018021163015563,0.3371472551041965,0.4342950430758511,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86b_baseline_features,0.03,random_forest_classifier,random_forest_regressor,14,0.6888614321584247,0.6434410227408296,0.27245988066114485,0.346709427850638,0.4322566706418863,0.22534013605442177,0.7106923703582521,0.3655545411476165,0.4050854975782651,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86b_baseline_features,0.03,random_forest_classifier,hist_gradient_boosting_regressor,14,0.6888614321584247,0.6434410227408296,0.27245988066114485,0.346709427850638,0.40807524315669197,0.17346938775510204,0.6831578422677312,0.36426322640541847,0.3854460251878749,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
