feature_variant,split_family,n_folds,MAE,Spearman,top10pct_overlap,neutral_accuracy,false_promotion_rate,false_neutral_rate,anchor_MAE,feature_count,coordinate_dependent,distance_dependent,Spearman_delta_vs_b86d,top10_delta_vs_b86d,variant_decision,claim_boundary
b86d_selected_existing_oof,cell_group_holdout,5,0.17413139255118598,0.4622651471678124,0.6,0.7386666666666667,0.21715597606256926,0.28686287992034415,0.6876364518242288,,False,False,0.0,0.0,B86D_SELECTED_BASELINE,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e_refit_full_safe_compact,cell_group_holdout,5,0.17413139255118598,0.4622651471678124,0.6,0.7346666666666667,0.18243723780838944,0.3511599656432264,0.7251890173141268,53.0,False,False,0.0,0.0,DIAGNOSTIC_ONLY,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
coordinate_context_diagnostic,cell_group_holdout,5,0.21914338224131277,0.3947483574278559,0.26666666666666666,0.708,0.1674109916674681,0.45048080201431223,0.771157686808146,68.0,True,False,-0.0675167897399565,-0.3333333333333333,DIAGNOSTIC_ONLY_COORDINATE_DEPENDENT,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
safe_physical_engineered,cell_group_holdout,5,0.18385448375599575,0.38020837531624424,0.4666666666666666,0.704,0.1712488727524814,0.44994224388852827,0.7855126766350885,66.0,False,False,-0.08205677185156818,-0.13333333333333336,DIAGNOSTIC_ONLY,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
safe_physical_plus_distance_diagnostic,cell_group_holdout,5,0.19866683120984024,0.31462804603182376,0.39999999999999997,0.6973333333333334,0.1835925380013801,0.46000341929939437,0.9168416760525788,68.0,False,True,-0.14763710113598866,-0.2,DIAGNOSTIC_ONLY_DISTANCE_DEPENDENT,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86d_selected_existing_oof,spatial_holdout,4,0.2242909026811976,0.17204802809965006,0.3125,0.6670253759398497,0.23778357459564947,0.4464787727465376,0.7713387020422191,,False,False,0.0,0.0,B86D_SELECTED_BASELINE,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
b86e_refit_full_safe_compact,spatial_holdout,4,0.22429090268119767,0.17204802809965006,0.3125,0.6483152560455192,0.22315534778485213,0.4963844369932871,0.7845480324932561,53.0,False,False,0.0,0.0,DIAGNOSTIC_ONLY,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
coordinate_context_diagnostic,spatial_holdout,4,0.2631849118999588,0.2081795988266447,0.125,0.6547382391790286,0.23528058576900784,0.4260239787129322,0.9336488646457698,68.0,True,False,0.03613157072699463,-0.1875,DIAGNOSTIC_ONLY_COORDINATE_DEPENDENT,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
safe_physical_engineered,spatial_holdout,4,0.24306688679126243,0.17615979783983715,0.25,0.6477157843934159,0.2211411029812956,0.5088010387186743,0.983299240908074,66.0,False,False,0.004111769740187093,-0.0625,DIAGNOSTIC_ONLY,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
safe_physical_plus_distance_diagnostic,spatial_holdout,4,0.23673612148440967,0.18875661810760794,0.1875,0.6556836770981508,0.19153716392610085,0.5117135696512312,1.00146959118769,68.0,False,True,0.01670859000795788,-0.125,DIAGNOSTIC_ONLY_DISTANCE_DEPENDENT,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
