cell_id,selected_priority_rank,rationale,priority_score,coverage_gap,similar_reference_cells,expected_role,spatial_bin,typology,nearest_anchor_cell,nearest_neutral_cell,nearest_n150_distance,nearest_n150_distance_percentile,sampling_boundary,claim_boundary
TP_0968,1,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,123.48438006977005,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0438|TP_0226|TP_0293,typology_gap_fill,west_north,residential,TP_0141,TP_0676,24.829120906322128,0.9434416365824309,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0939,2,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,121.28078550065149,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0936|TP_0454|TP_0908,typology_gap_fill,west_north,transport,TP_0141,TP_0676,19.11915952702996,0.9097472924187726,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0122,3,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,119.0417593627674,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0676|TP_0018|TP_0286,typology_gap_fill,west_south,transport,TP_0542,TP_0676,24.121849124128925,0.9398315282791817,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0127,4,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,118.91751728027324,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0670|TP_0569|TP_0669,typology_gap_fill,west_south,transport,TP_0542,TP_0676,28.451145598107676,0.9566787003610109,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0681,5,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,118.8879149777007,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0293|TP_0676|TP_0226,typology_gap_fill,west_north,residential,TP_0141,TP_0676,21.193802927250225,0.924187725631769,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0673,6,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast,118.14501640955284,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast,TP_0711|TP_0986|TP_0565,typology_gap_fill,west_north,civic_institutional,TP_0857,TP_0986,26.375726661850766,0.9518652226233454,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0410,7,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,118.05400786041918,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0438|TP_0082|TP_0226,typology_gap_fill,west_south,residential,TP_0141,TP_0676,34.68888762377093,0.9759326113116726,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0171,8,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,116.16070192816093,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0711|TP_0960|TP_0565,typology_gap_fill,east_south,transport,TP_0141,TP_0960,20.077946621023163,0.9169675090252708,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0169,9,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.19601431886998,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0183|TP_0936|TP_0454,typology_gap_fill,east_south,transport,TP_0141,TP_0676,19.03171359787162,0.9061371841155235,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0972,10,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0745|TP_0569|TP_0600,typology_gap_fill,west_north,transport,TP_0037,TP_0676,72.48821118511384,0.9915764139590855,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0830,11,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0254|TP_0082|TP_0409,typology_gap_fill,east_north,water,TP_0542,TP_0115,53.97913856423513,0.9891696750902527,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
TP_0431,12,weak_spatial_bin; weak_typology_spatial_bin; sparse_feature_space; high_overhead_or_shade_svf_contrast; problem_typology,115.0,weak_spatial_bin|weak_typology_spatial_bin|sparse_feature_space|high_overhead_or_shade_svf_contrast|problem_typology,TP_0569|TP_0745|TP_0822,typology_gap_fill,east_south,transport,TP_0542,TP_0115,40.00453949547356,0.9843561973525873,candidate_design_only_not_N300_run_ready,"SOLWEIG-derived compact Tmrt-delta surrogate diagnostic only; not WBGT, risk, observed truth, causal feature importance, B9, AOI-wide prediction, or System A/B coupling."
