gate_level,split_family,n_rows_total,n_rows_retained,n_rows_abstained,retained_coverage_fraction,abstained_fraction,n_cells_total,n_cells_retained,MAE_retained,Spearman_retained,top10pct_overlap_retained,neutral_false_promotion_rate_retained,anchor_underprediction_rate_retained,anchor_underprediction_mae_retained,anchors_retained,anchors_abstained,known_neutral_cells_retained,known_neutral_cells_abstained,improves_safety_enough_for_future_dry_run_preflight,diagnostic_boundary,claim_boundary,baseline_MAE,baseline_Spearman,baseline_top10pct_overlap,baseline_neutral_false_promotion_rate,MAE_delta_vs_baseline,Spearman_delta_vs_baseline,top10_delta_vs_baseline,false_promotion_delta_vs_baseline,topk_screening_suitability,scope_status,status_boundary
baseline_no_gate,overall,7310,7310,0,1.0,0.0,150,150,0.1937300671196799,0.4502710006504292,0.6666666666666666,0.1801358631998126,0.6666666666666666,0.5483384275686425,5,0,9,0,False,diagnostic_only_no_aoi_prediction,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.1937300671196799,0.4502710006504292,0.6666666666666666,0.1801358631998126,0.0,0.0,0.0,0.0,weak_diagnostic_screening_candidate,SCOPE_LIMITED_DIAGNOSTIC_ONLY,diagnostic_only_not_production
moderate_gate,overall,7310,4120,3190,0.5636114911080712,0.4363885088919289,150,83,0.1114147457238148,0.6032020480408548,0.6666666666666666,0.0133595284872298,,,0,5,0,9,False,diagnostic_only_no_aoi_prediction,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.1937300671196799,0.4502710006504292,0.6666666666666666,0.1801358631998126,-0.08231532139586512,0.15293104739042557,0.0,-0.1667763347125828,diagnostic_screening_candidate_only,SCOPE_LIMITED_DIAGNOSTIC_ONLY,diagnostic_only_not_production
strict_gate,overall,7310,0,7310,0.0,1.0,150,0,,,,,,,0,5,0,9,False,diagnostic_only_no_aoi_prediction,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.1937300671196799,0.4502710006504292,0.6666666666666666,0.1801358631998126,,,,,not_suitable_for_screening,NOT_READY,diagnostic_only_not_production
baseline_no_gate,spatial_holdout,1500,1500,0,1.0,0.0,150,150,0.2247676174804954,0.1896226791313032,0.4,0.2356321839080459,0.98,0.8619719789919074,5,0,9,0,False,diagnostic_only_no_aoi_prediction,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.2247676174804954,0.1896226791313032,0.4,0.2356321839080459,0.0,0.0,0.0,0.0,not_suitable_for_screening,SCOPE_LIMITED_DIAGNOSTIC_ONLY,diagnostic_only_not_production
moderate_gate,spatial_holdout,1500,830,670,0.5533333333333333,0.4466666666666666,150,83,0.1236729426714305,0.353084057294378,0.5555555555555556,0.0157170923379174,,,0,5,0,9,False,diagnostic_only_no_aoi_prediction,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.2247676174804954,0.1896226791313032,0.4,0.2356321839080459,-0.1010946748090649,0.16346137816307477,0.15555555555555556,-0.2199150915701285,weak_diagnostic_screening_candidate,SCOPE_LIMITED_DIAGNOSTIC_ONLY,diagnostic_only_not_production
strict_gate,spatial_holdout,1500,0,1500,0.0,1.0,150,0,,,,,,,0,5,0,9,False,diagnostic_only_no_aoi_prediction,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.2247676174804954,0.1896226791313032,0.4,0.2356321839080459,,,,,not_suitable_for_screening,NOT_READY,diagnostic_only_not_production
baseline_no_gate,cell_group_holdout,1500,1500,0,1.0,0.0,150,150,0.174131392551186,0.4545217446058262,0.5333333333333333,0.1862068965517241,0.7,0.7251890173141269,5,0,9,0,False,diagnostic_only_no_aoi_prediction,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.174131392551186,0.4545217446058262,0.5333333333333333,0.1862068965517241,0.0,0.0,0.0,0.0,weak_diagnostic_screening_candidate,SCOPE_LIMITED_DIAGNOSTIC_ONLY,diagnostic_only_not_production
moderate_gate,cell_group_holdout,1500,830,670,0.5533333333333333,0.4466666666666666,150,83,0.1035578048550055,0.6336349725640811,0.6666666666666666,0.0275049115913556,,,0,5,0,9,False,diagnostic_only_no_aoi_prediction,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.174131392551186,0.4545217446058262,0.5333333333333333,0.1862068965517241,-0.07057358769618051,0.1791132279582549,0.1333333333333333,-0.1587019849603685,diagnostic_screening_candidate_only,SCOPE_LIMITED_DIAGNOSTIC_ONLY,diagnostic_only_not_production
strict_gate,cell_group_holdout,1500,0,1500,0.0,1.0,150,0,,,,,,,0,5,0,9,False,diagnostic_only_no_aoi_prediction,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.174131392551186,0.4545217446058262,0.5333333333333333,0.1862068965517241,,,,,not_suitable_for_screening,NOT_READY,diagnostic_only_not_production
baseline_no_gate,typology_holdout,1310,1310,0,1.0,0.0,131,131,0.4246212449969414,0.2501992153386325,0.3571428571428571,0.2877059569074778,0.0,0.9415101314893268,1,0,3,0,False,diagnostic_only_no_aoi_prediction,"SOLWEIG-derived compact Tmrt-delta surrogate closure diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.4246212449969414,0.2501992153386325,0.3571428571428571,0.2877059569074778,0.0,0.0,0.0,0.0,not_suitable_for_screening,SCOPE_LIMITED_DIAGNOSTIC_ONLY,diagnostic_only_not_production
