cell_id,n_rows,mean_true_delta_tmrt_p90_c,mean_pred_delta_tmrt_p90_c,MAE,false_promotion_rate,false_neutral_rate,feature_set,classifier,regressor,true_rank,pred_rank,abs_rank_error,split_family,diagnostic_role,b86d_n_rows,b86d_mean_true_delta_tmrt_p90_c,b86d_mean_pred_delta_tmrt_p90_c,b86d_MAE,b86d_false_promotion_rate,b86d_false_neutral_rate,b86d_true_rank,b86d_pred_rank,b86d_abs_rank_error,MAE_delta_vs_b86d,MAE_improvement_vs_b86d,false_promotion_delta_vs_b86d,rank_error_delta_vs_b86d,feature_set_model_responsible,claim_boundary
TP_0037,10,-0.3974283,0.7231873401794239,1.1206156401794238,0.0,0.0,b86g_proxy_features_only,logistic_regression,ridge,5.0,5.0,0.0,cell_group_holdout,anchor_reference,10,-0.3974283,0.0,0.3974283,0.0,1.0,20.0,65.0,45.0,0.7231873401794238,-0.7231873401794238,0.0,-45.0,b86g_proxy_features_only|logistic_regression|ridge,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0141,10,-0.8131812,-0.34999058281027184,0.4863653771892772,0.0,0.0,b86g_proxy_features_only,logistic_regression,ridge,2.0,3.0,1.0,cell_group_holdout,anchor_reference,10,-0.8131812,-0.7279874377691525,0.18389409881657656,0.0,0.0,8.0,11.0,3.0,0.3024712783727006,-0.3024712783727006,0.0,-2.0,b86g_proxy_features_only|logistic_regression|ridge,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0433,10,-0.807315,-0.8059550012529455,0.2036602136300108,0.0,0.0,b86g_proxy_features_only,logistic_regression,ridge,3.0,2.0,1.0,cell_group_holdout,anchor_reference,10,-0.807315,-0.5695870756257064,0.32679041523805397,0.0,0.0,9.0,17.0,8.0,-0.12313020160804317,0.12313020160804317,0.0,-7.0,b86g_proxy_features_only|logistic_regression|ridge,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0542,10,-0.49458450000000004,-0.2587515349870744,0.23583296501292553,0.0,0.0,b86g_proxy_features_only,logistic_regression,ridge,4.0,4.0,0.0,cell_group_holdout,anchor_reference,10,-0.49458450000000004,-0.6875815172357872,0.19299701723578716,0.0,0.0,18.0,13.0,5.0,0.04283594777713837,-0.04283594777713837,0.0,-5.0,b86g_proxy_features_only|logistic_regression|ridge,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0857,10,-2.5391688,-1.057443271348991,1.5787331033276426,0.0,0.0,b86g_proxy_features_only,logistic_regression,ridge,1.0,1.0,0.0,cell_group_holdout,anchor_reference,10,-2.5391688,-0.0143335447197837,2.5248352552802165,0.0,0.0,1.0,64.0,63.0,-0.9461021519525739,0.9461021519525739,0.0,-63.0,b86g_proxy_features_only|logistic_regression|ridge,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0037,10,-0.3974283,-0.14465528285477064,0.25277301714522926,0.0,0.0,b86g_proxy_features_only,logistic_regression,ridge,5.0,5.0,0.0,forcing_day_holdout,anchor_reference,10,-0.3974283,-0.36909263690194105,0.10262615183012225,0.0,0.0,20.0,28.0,8.0,0.15014686531510701,-0.15014686531510701,0.0,-8.0,b86g_proxy_features_only|logistic_regression|ridge,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0141,10,-0.8131812,-0.35183041739470833,0.49156624766772755,0.0,0.0,b86g_proxy_features_only,logistic_regression,ridge,2.0,4.0,2.0,forcing_day_holdout,anchor_reference,10,-0.8131812,-0.6684496664537519,0.23376182000308457,0.0,0.0,8.0,11.0,3.0,0.25780442766464295,-0.25780442766464295,0.0,-1.0,b86g_proxy_features_only|logistic_regression|ridge,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0433,10,-0.807315,-0.8387980512631774,0.19154524214830257,0.0,0.0,b86g_proxy_features_only,logistic_regression,ridge,3.0,2.0,1.0,forcing_day_holdout,anchor_reference,10,-0.807315,-0.7820614040087912,0.20096759250682905,0.0,0.0,9.0,7.0,2.0,-0.009422350358526482,0.009422350358526482,0.0,-1.0,b86g_proxy_features_only|logistic_regression|ridge,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0542,10,-0.49458450000000004,-0.39315453291821967,0.10657487103928524,0.0,0.0,b86g_proxy_features_only,logistic_regression,ridge,4.0,3.0,1.0,forcing_day_holdout,anchor_reference,10,-0.49458450000000004,-0.5400753104268672,0.09981228158036223,0.0,0.0,18.0,14.0,4.0,0.00676258945892301,-0.00676258945892301,0.0,-3.0,b86g_proxy_features_only|logistic_regression|ridge,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
TP_0857,10,-2.5391688,-1.2702321770513898,1.4171553060919697,0.0,0.0,b86g_proxy_features_only,logistic_regression,ridge,1.0,1.0,0.0,forcing_day_holdout,anchor_reference,10,-2.5391688,-2.282893107723128,0.6346720608294937,0.0,0.0,1.0,1.0,0.0,0.782483245262476,-0.782483245262476,0.0,0.0,b86g_proxy_features_only|logistic_regression|ridge,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling."
