typology_label,n_rows,n_cells,claim_boundary,MAE,RMSE,R2,Spearman,Pearson,Spearman_observed_vs_predicted,Pearson_observed_vs_predicted,bias,p90_abs_error,sign_accuracy,top5_overlap,top10pct_overlap,top20pct_overlap,accuracy,balanced_accuracy,precision_neutral,recall_neutral,precision_meaningful_cooling,recall_meaningful_cooling,neutral_accuracy,false_promotion_rate,false_neutral_rate,true_neutral_count,true_meaningful_cooling_count,true_other_warming_or_weak_positive_count,confusion_matrix_json,present_labels
civic_institutional,1350,27,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.12443732229797667,0.23560190750136373,-4.001549936681113,0.46254584510608976,0.6354714538964367,0.46254584510608976,0.6354714538964367,-0.08959057085990595,0.4713082609072548,0.845925925925926,0.6,0.3333333333333333,0.8333333333333334,0.845925925925926,0.8139685603971318,0.9012474012474012,0.8846938775510204,0.7087628865979382,0.7432432432432432,0.8846938775510204,0.11530612244897959,0.25675675675675674,980,370,0,"{""meaningful_cooling"": {""meaningful_cooling"": 275, ""neutral"": 95, ""other_warming_or_weak_positive"": 0}, ""neutral"": {""meaningful_cooling"": 113, ""neutral"": 867, ""other_warming_or_weak_positive"": 0}, ""other_warming_or_weak_positive"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}}",neutral|meaningful_cooling
clean_confident_hot_anchor_null_control,40,1,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.0,0.0,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,40,0,0,"{""meaningful_cooling"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}, ""neutral"": {""meaningful_cooling"": 0, ""neutral"": 40, ""other_warming_or_weak_positive"": 0}, ""other_warming_or_weak_positive"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}}",neutral
commercial,400,8,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.1506784108128195,0.2658955921154741,0.08879985339254959,0.408666477594004,0.46086780901690244,0.408666477594004,0.46086780901690244,0.019182434210812303,0.54055,0.77,0.8,1.0,0.5,0.77,0.7266666666666667,0.8714285714285714,0.8133333333333334,0.5333333333333333,0.64,0.8133333333333334,0.18666666666666668,0.36,300,100,0,"{""meaningful_cooling"": {""meaningful_cooling"": 64, ""neutral"": 36, ""other_warming_or_weak_positive"": 0}, ""neutral"": {""meaningful_cooling"": 56, ""neutral"": 244, ""other_warming_or_weak_positive"": 0}, ""other_warming_or_weak_positive"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}}",neutral|meaningful_cooling
confident_hot_anchor,40,1,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.24153650950107544,0.2975770402335641,-3854.615358557035,-0.3705104042017241,-0.2582959178519175,-0.3705104042017241,-0.2582959178519175,-0.2298953095010754,0.43371457616202536,0.35,1.0,1.0,1.0,0.35,0.35,1.0,0.35,0.0,0.0,0.35,0.65,,40,0,0,"{""meaningful_cooling"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}, ""neutral"": {""meaningful_cooling"": 26, ""neutral"": 14, ""other_warming_or_weak_positive"": 0}, ""other_warming_or_weak_positive"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}}",neutral|meaningful_cooling
dense_shaded_low_svf,40,1,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.0,0.0,,,,,,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,,40,0,0,"{""meaningful_cooling"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}, ""neutral"": {""meaningful_cooling"": 0, ""neutral"": 40, ""other_warming_or_weak_positive"": 0}, ""other_warming_or_weak_positive"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}}",neutral
exposed_bus_stop_waiting_node,40,1,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.05376948701407712,0.08310291658981084,-196.1193858449841,0.061497769066506947,0.13828360675432935,0.061497769066506947,0.13828360675432935,-0.022530787014077118,0.1537439480563086,0.75,1.0,1.0,1.0,0.75,0.75,1.0,0.75,0.0,0.0,0.75,0.25,,40,0,0,"{""meaningful_cooling"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}, ""neutral"": {""meaningful_cooling"": 10, ""neutral"": 30, ""other_warming_or_weak_positive"": 0}, ""other_warming_or_weak_positive"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}}",neutral|meaningful_cooling
grass_or_park_open,40,1,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.23148104202911474,0.24159534970790622,-22.809470660370543,0.30974075774034854,0.4621142286114994,0.30974075774034854,0.4621142286114994,-0.23148104202911474,0.3156192566828969,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,0.0,0,40,0,"{""meaningful_cooling"": {""meaningful_cooling"": 40, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}, ""neutral"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}, ""other_warming_or_weak_positive"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}}",meaningful_cooling
hdb_canyon,40,1,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",1.5325284474425707,1.629473516418199,-2.9817201575802494,0.06677724009749293,0.12245857689243793,0.06677724009749293,0.12245857689243793,1.4118633516156192,2.1357044797919187,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,0.0,0,40,0,"{""meaningful_cooling"": {""meaningful_cooling"": 40, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}, ""neutral"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}, ""other_warming_or_weak_positive"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}}",meaningful_cooling
open_paved_high_svf,40,1,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.24474511218250208,0.2661091981210569,-40.38550911358307,0.22145898269620537,0.2917677178454519,0.22145898269620537,0.2917677178454519,-0.24474511218250208,0.39037492844371324,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,,,0.0,0,40,0,"{""meaningful_cooling"": {""meaningful_cooling"": 40, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}, ""neutral"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}, ""other_warming_or_weak_positive"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}}",meaningful_cooling
other,160,4,"SOLWEIG-derived compact Tmrt-delta feature-upgraded surrogate diagnostic only; not WBGT, risk, hazard_score, observed truth, causal feature importance, B9, AOI-wide prediction, Tmrt-to-WBGT conversion, or System A/B coupling.",0.3296692402685027,0.44288788404179474,-3.0483085524072333,0.102388085980501,-0.011173938243904844,0.102388085980501,-0.011173938243904844,0.32966794026850266,0.608601,0.38125,1.0,1.0,1.0,0.45,0.6333333333333333,0.3125,1.0,1.0,0.26666666666666666,1.0,0.0,0.7333333333333333,40,120,0,"{""meaningful_cooling"": {""meaningful_cooling"": 32, ""neutral"": 88, ""other_warming_or_weak_positive"": 0}, ""neutral"": {""meaningful_cooling"": 0, ""neutral"": 40, ""other_warming_or_weak_positive"": 0}, ""other_warming_or_weak_positive"": {""meaningful_cooling"": 0, ""neutral"": 0, ""other_warming_or_weak_positive"": 0}}",neutral|meaningful_cooling
