cell_id,ped_access_shade_frac,ped_access_shade_length_m,ped_access_denominator_m,ped_access_shade_frac_proxy,ped_access_shade_length_m_proxy,ped_access_source_status,ped_access_proxy_method,shade_corridor_continuity_idx,max_connected_shade_length_m,shade_gap_count,shade_corridor_source_status,overhead_patch_count,overhead_total_area_m2,overhead_mean_patch_area_m2,overhead_edge_density,overhead_total_area_proxy,overhead_shape_source_status,sunlit_hot_pocket_proxy_frac,open_high_svf_low_shade_frac,hot_pocket_proxy_method,water_edge_contact_frac,park_edge_contact_frac,hardscape_edge_contact_frac,boundary_edge_source_status,neighbourhood_shade_mean,neighbourhood_overhead_frac,neighbourhood_open_frac,neighbourhood_context_radius_m,neighbourhood_context_source_status,tree_building_overlap_proxy,tree_near_tall_building_frac,tree_building_interaction_method,canyon_axis_orientation_deg,height_roughness_iqr_m,height_asymmetry_idx,canyon_source_status,typology_geometry_class,typology_shade_interaction,typology_support_count,feature_version
TP_0005,,,,0.0137183998396749,45.72799946558325,COMPACT_VECTOR_DERIVED_PROXY,"max(pedestrian_shelter_fraction, covered_walkway_or_bridge_area / cell_area); length proxy uses 3m/4m type widths",,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,2.0,137.18399839674976,68.59199919837488,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,0.035771543826711,0.035771543826711,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),0.0,0.0,0.0233886337246692,COMPACT_PROXY_ONLY,0.4351289194811922,0.0078737844064596,0.7367906422730751,250.0,CENTROID_RADIUS_CONTEXT,0.0,0.0,compact tree fraction times compact building density/height proxy,,0.5,0.0399999968000002,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,residential|shade_high|overhead_low|open_mid|built_mid,0.1990538950310908,511,b86g_v0_1
TP_0006,,,,0.0,,COMPACT_VECTOR_DERIVED_PROXY,"max(pedestrian_shelter_fraction, covered_walkway_or_bridge_area / cell_area); length proxy uses 3m/4m type widths",,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,0.0755620621407728,0.0755620621407728,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),0.0,0.0,0.0052474822666447,COMPACT_PROXY_ONLY,0.499862144480558,0.0265885086627775,0.6814790055713664,250.0,CENTROID_RADIUS_CONTEXT,0.0,0.0,compact tree fraction times compact building density/height proxy,,0.0,0.0,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,civic_institutional|shade_mid|overhead_low|open_mid|built_high,0.0808439186273516,132,b86g_v0_1
TP_0018,,,,0.0420701551084649,140.07643336502164,COMPACT_VECTOR_DERIVED_PROXY,"max(pedestrian_shelter_fraction, covered_walkway_or_bridge_area / cell_area); length proxy uses 3m/4m type widths",,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,4.0,441.1559845555251,110.28899613888127,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,0.1589399094350528,0.1589399094350528,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),0.0,0.0,0.0299961502559522,COMPACT_PROXY_ONLY,0.502459234386347,0.0162030473394524,0.7786998367529709,250.0,CENTROID_RADIUS_CONTEXT,0.0039004387838443,0.0066788335339572,compact tree fraction times compact building density/height proxy,,7.900000095367432,0.6583332864195122,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,transport|shade_mid|overhead_mid|open_high|built_low,0.0496235035741102,182,b86g_v0_1
TP_0020,,,,0.0,,COMPACT_VECTOR_DERIVED_PROXY,"max(pedestrian_shelter_fraction, covered_walkway_or_bridge_area / cell_area); length proxy uses 3m/4m type widths",,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,0.0583305035712463,0.0583305035712463,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),0.0943931039838471,0.0,0.0803865545107955,COMPACT_PROXY_ONLY,0.52626813729687,0.0104036807029183,0.7998551222902434,250.0,CENTROID_RADIUS_CONTEXT,0.0,0.0,compact tree fraction times compact building density/height proxy,,2.299999237060547,0.0425925776753327,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,residential|shade_high|overhead_low|open_high|built_mid,0.1037957183858167,511,b86g_v0_1
TP_0023,,,,0.0410145402018562,136.71513400618758,COMPACT_VECTOR_DERIVED_PROXY,"max(pedestrian_shelter_fraction, covered_walkway_or_bridge_area / cell_area); length proxy uses 3m/4m type widths",,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,3.0,410.1454020185628,136.71513400618758,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,0.0805422860191437,0.0805422860191437,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),0.0,0.0,0.1777087959264806,COMPACT_PROXY_ONLY,0.6044804157876349,0.0216306643526304,0.8316943381850556,250.0,CENTROID_RADIUS_CONTEXT,0.0,0.0,compact tree fraction times compact building density/height proxy,,0.0,0.0,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,residential|shade_high|overhead_mid|open_high|built_low,0.1241534840182734,511,b86g_v0_1
TP_0028,,,,0.0,,COMPACT_VECTOR_DERIVED_PROXY,"max(pedestrian_shelter_fraction, covered_walkway_or_bridge_area / cell_area); length proxy uses 3m/4m type widths",,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,0.3374084757872527,0.3374084757872527,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),0.0,0.0,0.3217532437387226,COMPACT_PROXY_ONLY,0.386787582983404,0.0,0.7373316674970255,250.0,CENTROID_RADIUS_CONTEXT,0.0,0.0,compact tree fraction times compact building density/height proxy,,24.0,0.7999999733333342,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,residential|shade_low|overhead_low|open_mid|built_mid,-0.3648260290807347,511,b86g_v0_1
TP_0037,,,,0.21788816348543,726.2938782847667,COMPACT_VECTOR_DERIVED_PROXY,"max(pedestrian_shelter_fraction, covered_walkway_or_bridge_area / cell_area); length proxy uses 3m/4m type widths",,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,2.0,2178.8816348543,1089.44081742715,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,0.0500748527783979,0.0500748527783979,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),0.0,0.0,0.2124919572906303,COMPACT_PROXY_ONLY,0.5913915653872146,0.0186177380444092,0.7680043677142034,250.0,CENTROID_RADIUS_CONTEXT,0.0,0.0,compact tree fraction times compact building density/height proxy,,48.0,0.7999999866666669,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,other|shade_high|overhead_high|open_mid|built_high,-0.0568634448176634,26,b86g_v0_1
TP_0040,,,,0.0,,COMPACT_VECTOR_DERIVED_PROXY,"max(pedestrian_shelter_fraction, covered_walkway_or_bridge_area / cell_area); length proxy uses 3m/4m type widths",,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,0.2824059676435085,0.2824059676435085,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),0.0,0.0,0.1673633700932788,COMPACT_PROXY_ONLY,0.494347358700293,0.0085159066450481,0.7749750949225264,250.0,CENTROID_RADIUS_CONTEXT,0.0,0.0,compact tree fraction times compact building density/height proxy,,36.0,0.5999999900000001,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,residential|shade_mid|overhead_low|open_high|built_mid,-0.2199710846057727,511,b86g_v0_1
TP_0041,,,,0.0,,COMPACT_VECTOR_DERIVED_PROXY,"max(pedestrian_shelter_fraction, covered_walkway_or_bridge_area / cell_area); length proxy uses 3m/4m type widths",,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,0.2870190767807054,0.2870190767807054,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),0.0,0.0,0.1701278977362911,COMPACT_PROXY_ONLY,0.4510913776541178,0.0095388530159293,0.7705010425988131,250.0,CENTROID_RADIUS_CONTEXT,0.0,0.0,compact tree fraction times compact building density/height proxy,,21.0,0.6999999766666675,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,residential|shade_low|overhead_low|open_mid|built_mid,-0.2821074616569524,511,b86g_v0_1
TP_0049,,,,0.0,,COMPACT_VECTOR_DERIVED_PROXY,"max(pedestrian_shelter_fraction, covered_walkway_or_bridge_area / cell_area); length proxy uses 3m/4m type widths",,,,NOT_AVAILABLE_REQUIRES_PEDESTRIAN_SHADE_NETWORK,0.0,0.0,,,,COMPACT_VECTOR_DERIVED_NO_PERIMETER,0.2280021493619958,0.2280021493619958,compact open_pixel_fraction * compact svf/open_sky * (1 - compact shade_fraction),0.0646744679180083,0.0,0.0,COMPACT_PROXY_ONLY,0.5388847392128787,0.0247104180092444,0.8269285374858502,250.0,CENTROID_RADIUS_CONTEXT,0.0,0.0,compact tree fraction times compact building density/height proxy,,22.399999618530277,0.5530863966776266,LIMITED_COMPACT_HEIGHT_PROXY_NO_AXIS,residential|shade_mid|overhead_low|open_mid|built_mid,-0.2087275088614921,511,b86g_v0_1
