cell_id,tree_building_overlap_proxy,tree_near_tall_building_frac,interaction_method,feature_version
TP_0002,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0003,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0005,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0006,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0010,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0018,0.0039004387838443427,0.0066788335339572,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0020,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0023,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0024,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0028,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0037,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0040,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0041,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0042,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0045,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0049,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0050,0.0014798014927140735,0.003549294581489078,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0052,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0053,0.057917766258354375,0.1902686145146088,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0056,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0059,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0060,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0063,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0065,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0066,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0067,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0074,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0081,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0082,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0083,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0085,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0088,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0089,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0090,0.0160823933760496,0.2497266052179347,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0097,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0098,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0099,0.004668577036343812,0.0146810598626104,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0102,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0103,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0104,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0108,0.0013167499999840481,0.002515625,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0110,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0112,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0114,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0115,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0116,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0117,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0119,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0122,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0123,9.168749999952117e-05,0.0053059895833333336,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0126,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0127,7.663098679521115e-05,0.00478943667474021,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0133,0.024118432873522385,0.008730127729385565,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0135,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0136,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0139,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0141,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0146,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0153,0.02887008387706809,0.037591255048151605,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0154,0.02078384790729083,0.09803701843193323,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0159,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0160,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0162,0.015670473688442602,0.00516382041573294,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0165,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0166,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0168,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0169,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0170,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0171,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0183,0.007781838074381683,0.011618083921014929,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0192,0.025200251314910105,0.0864309947070452,compact tree fraction times compact building density/height proxy,b86g_v0_1
TP_0196,0.0,0.0,compact tree fraction times compact building density/height proxy,b86g_v0_1
