cell_id,selected_priority_rank,primary_role,spatial_bin,typology,nearest_anchor_cell,nearest_neutral_cell,nearest_n150_distance_percentile,water_fraction,dynamic_world_water_fraction,water_edge_contact_frac,ped_access_shade_frac_proxy,pedestrian_shelter_fraction,hardscape_edge_contact_frac,road_fraction,land_use_hint,land_use_raw,manual_decision,pure_water_or_river_risk,outside_pedestrian_relevance_risk,west_south_review,residential_transport_concentration,park_commercial_undercoverage_context,anchor_shortfall_context,neutral_diversity_context,sparse_ood_risk,connected_shade_corridor_source_missing,feature_coverage_missing,hard_invalid_metadata,qa_focus_flags,candidate_status,auto_recommended_action,sampling_boundary,claim_boundary
TP_0972,1,typology_gap_fill,west_north,transport,TP_0037,TP_0676,0.9915764139590856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,transport,TRANSPORT FACILITIES,not_reviewed,False,False,False,True,False,True,True,p95_or_higher,True,False,False,residential_transport_concentration|anchor_shortfall_context|neutral_diversity_context|sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0830,2,typology_gap_fill,east_north,water,TP_0542,TP_0115,0.9891696750902528,0.2954643628509719,0.2954643628509719,0.2954643628509719,0.0922053318447442,0.0922053318435987,0.0,0.0,water,WATERBODY,exclude,True,False,False,False,False,False,True,p95_or_higher,True,False,False,pure_water_or_river_risk|neutral_diversity_context|sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_replacement_required,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0431,3,typology_gap_fill,east_south,transport,TP_0542,TP_0115,0.9843561973525872,0.1186672395609546,0.1186672395609546,0.1186672395609546,0.0172172384129475,0.0172172384129012,0.6462787834026795,0.6462787834026795,transport,ROAD,not_reviewed,False,False,False,True,False,False,True,p95_or_higher,True,False,False,residential_transport_concentration|neutral_diversity_context|sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0858,4,typology_gap_fill,east_north,water,TP_0542,TP_0115,0.9831528279181708,0.1674909203307317,0.1674909203307317,0.1674909203307317,0.0619243207969295,0.0619243207965149,0.0,0.0,water,WATERBODY,exclude,True,False,False,False,False,False,True,p95_or_higher,True,False,False,pure_water_or_river_risk|neutral_diversity_context|sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_replacement_required,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0564,5,typology_gap_fill,west_north,commercial,TP_0141,TP_0960,0.9783393501805054,0.0,0.0,0.0,0.0557005644427719,0.0557005644427031,0.2474620111541663,0.2474620111541663,commercial,BUSINESS 1,not_reviewed,False,False,False,False,True,False,False,p95_or_higher,True,False,False,park_commercial_undercoverage_context|sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0650,6,typology_gap_fill,west_north,civic_institutional,TP_0141,TP_0565,0.9771359807460892,0.0,0.0,0.0,0.0575209559752478,0.0575209559746472,0.1703258200436379,0.1703258200436379,civic_institutional,EDUCATIONAL INSTITUTION,not_reviewed,False,False,False,False,False,False,False,p95_or_higher,True,False,False,sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0410,7,typology_gap_fill,west_south,residential,TP_0141,TP_0676,0.9759326113116726,0.0,0.0,0.0,0.0710203576796568,0.0710203576794462,0.3834884404877308,0.3834884404877308,residential,RESIDENTIAL,not_reviewed,False,False,True,True,False,False,True,p95_or_higher,True,False,False,west_south_review|residential_transport_concentration|neutral_diversity_context|sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0674,8,typology_gap_fill,west_north,civic_institutional,TP_0141,TP_0366,0.9747292418772564,0.0,0.0,0.0,0.0511733186631795,0.0511733186631162,0.0,0.0,civic_institutional,EDUCATIONAL INSTITUTION,not_reviewed,False,False,False,False,False,False,False,p95_or_higher,True,False,False,sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0851,9,typology_gap_fill,west_north,transport,TP_0542,TP_0676,0.9711191335740073,0.0,0.0,0.0,0.032731317549129,0.032731317549129,0.4199079155693768,0.4199079155693768,transport,ROAD,not_reviewed,False,False,False,True,False,False,True,p95_or_higher,True,False,False,residential_transport_concentration|neutral_diversity_context|sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0168,10,typology_gap_fill,east_south,transport,TP_0542,TP_0676,0.9699157641395908,0.0,0.0,0.0,0.0604355181236098,0.0604355181230723,0.4378284781205736,0.4378284781205736,transport,ROAD,not_reviewed,False,False,False,True,False,False,True,p95_or_higher,True,False,False,residential_transport_concentration|neutral_diversity_context|sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0212,11,typology_gap_fill,west_south,commercial,TP_0857,TP_0301,0.9663056558363418,0.0,0.0,0.0,0.0205369606456771,0.0205369606456771,0.0,0.0,commercial,COMMERCIAL,not_reviewed,False,False,True,False,True,False,True,p95_or_higher,True,False,False,west_south_review|park_commercial_undercoverage_context|neutral_diversity_context|sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0460,12,typology_gap_fill,east_south,transport,TP_0542,TP_0366,0.9638989169675092,0.0060539780494473,0.0060539780494473,0.0060539780494473,0.0,0.0,0.926890696861436,0.926890696861436,transport,ROAD,not_reviewed,False,False,False,True,False,False,False,p95_or_higher,True,False,False,residential_transport_concentration|sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0623,13,typology_gap_fill,west_north,residential,TP_0857,TP_0565,0.9614921780986764,0.0,0.0,0.0,0.0247905511151559,0.024790551115053,0.1426583475383901,0.1426583475383901,residential,RESIDENTIAL,not_reviewed,False,False,False,True,False,False,False,p95_or_higher,True,False,False,residential_transport_concentration|sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0969,14,typology_gap_fill,west_north,transport,TP_0542,TP_0676,0.96028880866426,0.0,0.0,0.0,0.0180393932928998,0.0180393932928998,0.2335830978970533,0.2335830978970533,transport,TRANSPORT FACILITIES,not_reviewed,False,False,False,True,False,False,True,p95_or_higher,True,False,False,residential_transport_concentration|neutral_diversity_context|sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0651,15,typology_gap_fill,west_north,residential,TP_0141,TP_0326,0.9578820697954272,0.0,0.0,0.0,0.033349368925728,0.033349368925728,0.0125178706145524,0.0125178706145524,residential,RESIDENTIAL,not_reviewed,False,False,False,True,False,False,True,p95_or_higher,True,False,False,residential_transport_concentration|neutral_diversity_context|sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0127,16,typology_gap_fill,west_south,transport,TP_0542,TP_0676,0.9566787003610108,0.0361747011485272,0.0361747011485272,0.0361747011485272,0.0683000847766213,0.0683000847760585,0.3195587583187114,0.3195587583187114,transport,ROAD,not_reviewed,False,False,True,True,False,False,True,p95_or_higher,True,False,False,west_south_review|residential_transport_concentration|neutral_diversity_context|sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0622,17,typology_gap_fill,west_north,civic_institutional,TP_0857,TP_0565,0.954271961492178,0.0,0.0,0.0,0.0234633106524432,0.0234633106524432,0.1309669496538482,0.1309669496538482,civic_institutional,EDUCATIONAL INSTITUTION,not_reviewed,False,False,False,False,False,False,False,p95_or_higher,True,False,False,sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0677,18,typology_gap_fill,west_north,residential,TP_0857,TP_0565,0.9530685920577616,0.0,0.0,0.0,0.0248036994833332,0.024803699483095,0.0,0.0,residential,RESIDENTIAL,not_reviewed,False,False,False,True,False,False,False,p95_or_higher,True,False,False,residential_transport_concentration|sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0673,19,typology_gap_fill,west_north,civic_institutional,TP_0857,TP_0986,0.9518652226233454,0.0,0.0,0.0,0.0116736883235821,0.0116736883235821,0.0,0.0,civic_institutional,EDUCATIONAL INSTITUTION,not_reviewed,False,False,False,False,False,False,False,p95_or_higher,True,False,False,sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
TP_0680,20,typology_gap_fill,west_north,residential,TP_0857,TP_0326,0.950661853188929,0.0,0.0,0.0,0.0237065562370347,0.0237065562369842,0.0,0.0,residential,RESIDENTIAL,not_reviewed,False,False,False,True,False,False,True,p95_or_higher,True,False,False,residential_transport_concentration|neutral_diversity_context|sparse_ood_risk_p95_or_higher|connected_shade_corridor_source_missing,REVIEW,manual_review,candidate_design_only_not_N300_run_ready,"B8.7a N300 design QA patch only; not B9, not AOI-wide prediction, not local WBGT, not hazard_score or risk_score, not exposure/vulnerability score, not observed truth, not causal feature importance, no raster, no QGIS/SOLWEIG, no N300 execution manifest, no Tmrt-to-WBGT conversion, and no System A/B coupling."
