cell_id,suggested_asset_folder,user_selected_asset_folder,user_decision,notes
TP_0972,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0015,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0431,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0016,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0564,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0650,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0410,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0674,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0851,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0168,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0212,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0460,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0623,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0969,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0651,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0127,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0622,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0677,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0673,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0680,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0968,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0793,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0122,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0601,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0153,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0083,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0704,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0581,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0344,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0855,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0612,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0090,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
TP_0681,,,unknown,auto_status=UNRESOLVED_NOT_FOUND; valid decisions: use|missing|ambiguous|exclude|unknown
