input_group,input_key,configured_value,resolved_path,path_kind,exists,is_file,is_dir,size_bytes,metadata_error,read_status,row_count,column_count,columns,read_error,guardrail_status,notes,claim_boundary
inputs,b87b3_status,outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/B8_7B3_STATUS.md,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/B8_7B3_STATUS.md,absolute,yes,yes,no,4042,,READABLE_TEXT,56,,,,PASS,Configured compact evidence path; rasters/svfs.zip metadata-only if present.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
inputs,b87b3_report,outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/b87b3_report.md,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/b87b3_report.md,absolute,yes,yes,no,7560,,READABLE_TEXT,123,,,,PASS,Configured compact evidence path; rasters/svfs.zip metadata-only if present.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
inputs,b87b3_version_lock_decision,outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/b87b3_version_lock_decision.csv,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/b87b3_version_lock_decision.csv,absolute,yes,yes,no,4076,,READABLE_CSV,7,11,source_kind|scenario|canonical_path|user_decision|version_status|exists_by_metadata|lock_status|required_for|lock_reason|metadata_only|claim_boundary,,PASS,Configured compact evidence path; rasters/svfs.zip metadata-only if present.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
inputs,b87b3_svf_scenario_model,outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/b87b3_svf_scenario_model.csv,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/b87b3_svf_scenario_model.csv,absolute,yes,yes,no,2551,,READABLE_CSV,3,11,scenario_id|geometry_definition|building_dsm_source|vegetation_or_canopy_source|full_svf_source|full_svf_source_status|materialization_required|svf_reuse_rule|supports_future_materialization|notes|claim_boundary,,PASS,Configured compact evidence path; rasters/svfs.zip metadata-only if present.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
inputs,b87b3_canonical_source_set,outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/b87b3_canonical_source_set.csv,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/b87b3_canonical_source_set.csv,absolute,yes,yes,no,3138,,READABLE_CSV,5,11,source_kind|scenario|canonical_path|user_decision|version_status|exists_by_metadata|lock_status|required_for|lock_reason|metadata_only|claim_boundary,,PASS,Configured compact evidence path; rasters/svfs.zip metadata-only if present.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
inputs,b87b3_overhead_source_inventory,outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/b87b3_overhead_source_inventory.csv,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/b87b3_overhead_source_inventory.csv,absolute,yes,yes,no,2050,,READABLE_CSV,3,8,source_reference_path|match_key|overhead_source_path|exists_by_metadata|version_status|supports_overhead_scenario|notes|claim_boundary,,PASS,Configured compact evidence path; rasters/svfs.zip metadata-only if present.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
inputs,b87b3_header_metadata,outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/b87b3_header_metadata.csv,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/b87b3_header_metadata.csv,absolute,yes,yes,no,2107,,READABLE_CSV,3,21,source_kind|scenario|source_path|user_decision|lock_status|header_status|metadata_method|crs|bounds|transform|width|height|resolution_x|resolution_y|dtype|nodata|band_count|header_error|no_pixel_read|no_raster_write|claim_boundary,,PASS,Configured compact evidence path; rasters/svfs.zip metadata-only if present.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
inputs,b87b3_grid_source_audit,outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/b87b3_grid_source_audit.csv,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/outputs/v12_surrogate/b8_7b3_full_raster_source_preplan/b87b3_grid_source_audit.csv,absolute,yes,yes,no,865,,READABLE_CSV,1,19,grid_source_kind|grid_path|exists_by_metadata|is_file|candidate_count_expected|candidate_count_observed|b86g3_design_row_count|supports_150_new_n300_cells|grid_status|vector_inspection_status|feature_count|unique_cell_id_count|candidate_cell_id_coverage_count|contains_all_150_new_candidates|missing_candidate_cell_ids|crs|inspection_error|metadata_only|claim_boundary,,PASS,Configured compact evidence path; rasters/svfs.zip metadata-only if present.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
inputs,f5_pairwise_label,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_pairwise_delta_by_cell_hour.csv,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/outputs/v12_surrogate/b8_5_f5_n150_multiforcing/b85_f5_pairwise_delta_by_cell_hour.csv,absolute,yes,yes,no,405931,,READABLE_CSV,1500,14,cell_id|forcing_day_id|hour_sgt|base_tmrt_p90_c|overhead_tmrt_p90_c|delta_tmrt_mean_c|delta_tmrt_p50_c|delta_tmrt_p90_c|delta_tmrt_p95_c|within_slice_rank|rank_direction|label_source|legacy_single_forcing_comparison_source|notes,,PASS,Configured compact evidence path; rasters/svfs.zip metadata-only if present.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
inputs,f5_status,outputs/v12_surrogate/b8_5_f5_n150_multiforcing/B8_5_F5_STATUS.md,C:/Users/CloudStar/Documents/GitHub/Urban-Analytics-Portfolio/06-openheat_grid_b8/06-openheat_grid/outputs/v12_surrogate/b8_5_f5_n150_multiforcing/B8_5_F5_STATUS.md,absolute,yes,yes,no,4042,,READABLE_TEXT,77,,,,PASS,Configured compact evidence path; rasters/svfs.zip metadata-only if present.,B8.7b.3p protocol/source parity audit only; no QGIS/SOLWEIG; no raster pixel read; no raster write/copy/move; no svfs.zip open; no run-ready manifest/runner; no AOI/B9/WBGT/risk/hazard/exposure/vulnerability/System A-B coupling.
