column_name,dtype,non_null_count,missing_fraction,unique_non_null_count,is_all_nan,is_constant,missing_gt_20pct,missing_gt_50pct,missing_gt_80pct
dsm_building_height_max_m_v10,float64,1340,0.10666666666666669,42,False,False,False,False,False
dsm_building_height_mean_m_v10,float64,1340,0.10666666666666669,105,False,False,False,False,False
dsm_building_height_p50_m_v10,float64,1340,0.10666666666666669,32,False,False,False,False,False
dsm_building_height_p90_m_v10,float64,1340,0.10666666666666669,36,False,False,False,False,False
building_area_m2_v10,float64,1500,0.0,129,False,False,False,False,False
building_density,float64,1500,0.0,135,False,False,False,False,False
building_density_v08,float64,1500,0.0,54,False,False,False,False,False
building_pixel_fraction,float64,1500,0.0,55,False,False,False,False,False
building_pixel_fraction_v10,float64,1500,0.0,133,False,False,False,False,False
built_up_fraction,float64,1500,0.0,67,False,False,False,False,False
delta_shade_overhead_sens_minus_base,float64,1500,0.0,83,False,False,False,False,False
delta_shade_v08_minus_proxy,float64,1500,0.0,150,False,False,False,False,False
delta_shade_v10_minus_v08,float64,1500,0.0,150,False,False,False,False,False
delta_svf_v08_minus_proxy,float64,1500,0.0,150,False,False,False,False,False
delta_svf_v10_minus_v08,float64,1500,0.0,150,False,False,False,False,False
dsm_max_height,float64,1500,0.0,22,False,False,False,False,False
dsm_mean_height_all,float64,1500,0.0,56,False,False,False,False,False
dsm_mean_height_buildings_only,float64,1500,0.0,52,False,False,False,False,False
dynamic_world_built_up_fraction,float64,1500,0.0,67,False,False,False,False,False
dynamic_world_grass_fraction,float64,1500,0.0,15,False,False,False,False,False
dynamic_world_tree_fraction,float64,1500,0.0,39,False,False,False,False,False
dynamic_world_water_fraction,float64,1500,0.0,29,False,False,False,False,False
grass_fraction,float64,1500,0.0,15,False,False,False,False,False
impervious_fraction,float64,1500,0.0,140,False,False,False,False,False
impervious_fraction_dw_component,float64,1500,0.0,67,False,False,False,False,False
impervious_fraction_green_component,float64,1500,0.0,141,False,False,False,False,False
impervious_fraction_old_beta,float64,1500,0.0,141,False,False,False,False,False
impervious_fraction_vector_component,float64,1500,0.0,130,False,False,False,False,False
large_park_distance_m,float64,1500,0.0,150,False,False,False,False,False
max_building_height_m,float64,1500,0.0,42,False,False,False,False,False
max_building_height_m_v08,float64,1500,0.0,55,False,False,False,False,False
mean_building_height_m,float64,1500,0.0,106,False,False,False,False,False
mean_building_height_m_v08,float64,1500,0.0,150,False,False,False,False,False
n_building_pixels_v10,int64,1500,0.0,129,False,False,False,False,False
n_elevated_road,float64,1500,0.0,6,False,False,False,False,False
n_open_pixels,int64,1500,0.0,55,False,False,False,False,False
n_open_pixels_v10,int64,1500,0.0,130,False,False,False,False,False
n_overhead_features,float64,1500,0.0,15,False,False,False,False,False
ndvi_mean,float64,1500,0.0,150,False,False,False,False,False
ndvi_norm_for_greenery_proxy,float64,1500,0.0,139,False,False,False,False,False
open_pixel_fraction,float64,1500,0.0,55,False,False,False,False,False
open_pixel_fraction_v10,float64,1500,0.0,133,False,False,False,False,False
overhead_area_covered_walkway_m2,float64,1500,0.0,53,False,False,False,False,False
overhead_area_elevated_rail_m2,float64,1500,0.0,8,False,False,False,False,False
overhead_area_elevated_road_m2,float64,1500,0.0,30,False,False,False,False,False
overhead_area_pedestrian_bridge_m2,float64,1500,0.0,21,False,False,False,False,False
overhead_area_total_m2,float64,1500,0.0,78,False,False,False,False,False
overhead_area_viaduct_m2,float64,1500,0.0,10,False,False,False,False,False
overhead_confounding_flag,object,1500,0.0,3,False,False,False,False,False
overhead_fraction_covered_walkway,float64,1500,0.0,53,False,False,False,False,False
overhead_fraction_elevated_rail,float64,1500,0.0,8,False,False,False,False,False
overhead_fraction_elevated_road,float64,1500,0.0,30,False,False,False,False,False
overhead_fraction_pedestrian_bridge,float64,1500,0.0,21,False,False,False,False,False
overhead_fraction_total,float64,1500,0.0,78,False,False,False,False,False
overhead_fraction_viaduct,float64,1500,0.0,10,False,False,False,False,False
overhead_shade_proxy,float64,1500,0.0,78,False,False,False,False,False
overhead_shade_proxy_cell_scope,float64,1500,0.0,78,False,False,False,False,False
overhead_shade_proxy_open_scope,float64,1500,0.0,78,False,False,False,False,False
overhead_weighted_shade_area_m2,float64,1500,0.0,78,False,False,False,False,False
park_distance_m,float64,1500,0.0,149,False,False,False,False,False
road_fraction,float64,1500,0.0,116,False,False,False,False,False
shade_fraction,float64,1500,0.0,150,False,False,False,False,False
shade_fraction_base_v10,float64,1500,0.0,150,False,False,False,False,False
shade_fraction_overhead_sens,float64,1500,0.0,150,False,False,False,False,False
shade_fraction_proxy_v07,float64,1500,0.0,147,False,False,False,False,False
shade_fraction_umep_0800_open_v10,float64,1500,0.0,149,False,False,False,False,False
shade_fraction_umep_0900_open_v10,float64,1500,0.0,148,False,False,False,False,False
shade_fraction_umep_1000_open_v10,float64,1500,0.0,150,False,False,False,False,False
shade_fraction_umep_1000_open_with_veg,float64,1500,0.0,142,False,False,False,False,False
shade_fraction_umep_10_16_open_v10,float64,1500,0.0,150,False,False,False,False,False
shade_fraction_umep_10_16_open_with_veg,float64,1500,0.0,146,False,False,False,False,False
shade_fraction_umep_1100_open_v10,float64,1500,0.0,149,False,False,False,False,False
shade_fraction_umep_1100_open_with_veg,float64,1500,0.0,145,False,False,False,False,False
shade_fraction_umep_1200_open_v10,float64,1500,0.0,149,False,False,False,False,False
shade_fraction_umep_1200_open_with_veg,float64,1500,0.0,143,False,False,False,False,False
shade_fraction_umep_1300_open_v10,float64,1500,0.0,145,False,False,False,False,False
shade_fraction_umep_1300_open_with_veg,float64,1500,0.0,141,False,False,False,False,False
shade_fraction_umep_13_15_open_v10,float64,1500,0.0,150,False,False,False,False,False
shade_fraction_umep_13_15_open_with_veg,float64,1500,0.0,146,False,False,False,False,False
shade_fraction_umep_1400_open_v10,float64,1500,0.0,149,False,False,False,False,False
shade_fraction_umep_1400_open_with_veg,float64,1500,0.0,145,False,False,False,False,False
shade_fraction_umep_1500_open_v10,float64,1500,0.0,150,False,False,False,False,False
shade_fraction_umep_1500_open_with_veg,float64,1500,0.0,146,False,False,False,False,False
shade_fraction_umep_1600_open_v10,float64,1500,0.0,150,False,False,False,False,False
shade_fraction_umep_1600_open_with_veg,float64,1500,0.0,144,False,False,False,False,False
shade_fraction_umep_1700_open_v10,float64,1500,0.0,150,False,False,False,False,False
shade_fraction_umep_1800_open_v10,float64,1500,0.0,150,False,False,False,False,False
shade_fraction_umep_1900_open_v10,float64,1500,0.0,143,False,False,False,False,False
shade_fraction_umep_peak_open_v10,float64,1500,0.0,142,False,False,False,False,False
shade_fraction_umep_peak_open_with_veg,float64,1500,0.0,145,False,False,False,False,False
shade_fraction_umep_selected,float64,1500,0.0,146,False,False,False,False,False
shade_fraction_v08_umep_veg,float64,1500,0.0,146,False,False,False,False,False
shade_fraction_without_overhead_sens,float64,1500,0.0,150,False,False,False,False,False
svf,float64,1500,0.0,150,False,False,False,False,False
svf_proxy_v07,float64,1500,0.0,127,False,False,False,False,False
svf_umep_mean_all_v10,float64,1500,0.0,150,False,False,False,False,False
svf_umep_mean_all_with_veg,float64,1500,0.0,150,False,False,False,False,False
svf_umep_mean_open_v10,float64,1500,0.0,150,False,False,False,False,False
svf_umep_mean_open_with_veg,float64,1500,0.0,150,False,False,False,False,False
svf_umep_p10_open_v10,float64,1500,0.0,149,False,False,False,False,False
svf_umep_p10_open_with_veg,float64,1500,0.0,128,False,False,False,False,False
svf_umep_p90_open_v10,float64,1500,0.0,149,False,False,False,False,False
svf_umep_p90_open_with_veg,float64,1500,0.0,147,False,False,False,False,False
svf_umep_selected,float64,1500,0.0,150,False,False,False,False,False
svf_v08_umep_veg,float64,1500,0.0,150,False,False,False,False,False
tree_canopy_fraction,float64,1500,0.0,39,False,False,False,False,False
v10_building_area_m2,float64,1500,0.0,129,False,False,False,False,False
v10_building_density,float64,1500,0.0,135,False,False,False,False,False
v10_building_height_max_m,float64,1500,0.0,42,False,False,False,False,False
v10_building_height_mean_m,float64,1500,0.0,106,False,False,False,False,False
v10_building_height_p50_m,float64,1500,0.0,32,False,False,False,False,False
v10_building_height_p90_m,float64,1500,0.0,37,False,False,False,False,False
v10_open_pixel_fraction,float64,1500,0.0,129,False,False,False,False,False
water_distance_m,float64,1500,0.0,150,False,False,False,False,False
water_fraction,float64,1500,0.0,29,False,False,False,False,False
