column_name,role,predictor_tier,dtype,non_null_count,missing_fraction,source_file_guess,notes
run_id,non_predictor_metadata,excluded_metadata,object,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,metadata retained for audit/splits; excluded from B8.2 predictors
source_run_id,non_predictor_metadata,excluded_metadata,object,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,metadata retained for audit/splits; excluded from B8.2 predictors
cell_id,id,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,row/cell identity; not a model feature
scenario,non_predictor_metadata,excluded_metadata,object,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,metadata retained for audit/splits; excluded from B8.2 predictors
hour_sgt,non_predictor_metadata,excluded_metadata,Int64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,metadata retained for audit/splits; excluded from B8.2 predictors
source,non_predictor_metadata,excluded_metadata,object,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,metadata retained for audit/splits; excluded from B8.2 predictors
target_version,non_predictor_metadata,excluded_metadata,object,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,target-contract/modifier column excluded from B8.2 predictors
reference_domain_version,non_predictor_metadata,excluded_metadata,object,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,target-contract/modifier column excluded from B8.2 predictors
tmrt_p90_c,target,excluded_metadata,float64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,secondary physical surrogate target
tmrt_ref_p90_c,forbidden_leakage,excluded_metadata,float64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,"target-, rank-, reference-, or SOLWEIG-like column excluded from selected features"
delta_tmrt_p90_c,target,excluded_metadata,float64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,primary physical surrogate target
rank_average_delta_tmrt_p90_c,forbidden_leakage,excluded_metadata,float64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,"target-, rank-, reference-, or SOLWEIG-like column excluded from selected features"
n_reference_cells,forbidden_leakage,excluded_metadata,int64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,"target-, rank-, reference-, or SOLWEIG-like column excluded from selected features"
m_rad_pct01,companion_label,excluded_metadata,float64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,retained label/diagnostic; not a model feature
primary_modifier_delta,non_predictor_metadata,excluded_metadata,object,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,target-contract/modifier column excluded from B8.2 predictors
normalized_modifier,non_predictor_metadata,excluded_metadata,object,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,target-contract/modifier column excluded from B8.2 predictors
reference_rule,forbidden_leakage,excluded_metadata,object,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,"target-, rank-, reference-, or SOLWEIG-like column excluded from selected features"
rank_rule,forbidden_leakage,excluded_metadata,object,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,"target-, rank-, reference-, or SOLWEIG-like column excluded from selected features"
hour,non_predictor_metadata,excluded_metadata,int64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,metadata retained for audit/splits; excluded from B8.2 predictors
tmrt_output_path,forbidden_leakage,excluded_metadata,object,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,"target-, rank-, reference-, or SOLWEIG-like column excluded from selected features"
n_pixels,non_predictor_metadata,excluded_metadata,int64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,metadata retained for audit/splits; excluded from B8.2 predictors
valid_pixel_count,non_predictor_metadata,excluded_metadata,int64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,metadata retained for audit/splits; excluded from B8.2 predictors
tmrt_mean_c,companion_label,excluded_metadata,float64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,retained label/diagnostic; not a model feature
tmrt_p50_c,forbidden_leakage,excluded_metadata,float64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,"target-, rank-, reference-, or SOLWEIG-like column excluded from selected features"
tmrt_p75_c,companion_label,excluded_metadata,float64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,retained label/diagnostic; not a model feature
tmrt_p95_c,companion_label,excluded_metadata,float64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,retained label/diagnostic; not a model feature
tmrt_max_c,companion_label,excluded_metadata,float64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,retained label/diagnostic; not a model feature
pct_pixels_tmrt_ge_40,companion_label,excluded_metadata,float64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,retained label/diagnostic; not a model feature
pct_pixels_tmrt_ge_45,companion_label,excluded_metadata,float64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,retained label/diagnostic; not a model feature
pct_pixels_tmrt_ge_50,companion_label,excluded_metadata,float64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,retained label/diagnostic; not a model feature
pct_pixels_tmrt_ge_55,companion_label,excluded_metadata,float64,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,retained label/diagnostic; not a model feature
selection_status,non_predictor_metadata,excluded_metadata,object,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,metadata retained for audit/splits; excluded from B8.2 predictors
reuse_existing_n24_label,non_predictor_metadata,excluded_metadata,bool,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,metadata retained for audit/splits; excluded from B8.2 predictors
row_id,id,excluded_metadata,object,1500,0.0,outputs/v12_solweig_n150_execution/n150_modifier_targets_b5.csv,row/cell identity; not a model feature
lat,non_predictor_metadata,spatial_diagnostic,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,spatial diagnostic coordinate; may be used only outside headline physical surrogate
lon,non_predictor_metadata,spatial_diagnostic,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,spatial diagnostic coordinate; may be used only outside headline physical surrogate
building_density,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
road_fraction,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
park_distance_m,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
elderly_proxy,non_predictor_metadata,excluded_nonphysical,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exposure/vulnerability/risk/social field excluded from physical surrogate predictors
outdoor_exposure_proxy,non_predictor_metadata,excluded_nonphysical,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exposure/vulnerability/risk/social field excluded from physical surrogate predictors
land_use_hint,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
centroid_x_svy21,non_predictor_metadata,spatial_diagnostic,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,spatial diagnostic coordinate; may be used only outside headline physical surrogate
centroid_y_svy21,non_predictor_metadata,spatial_diagnostic,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,spatial diagnostic coordinate; may be used only outside headline physical surrogate
cell_area_m2,non_predictor_metadata,excluded_metadata,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,constant or all-NaN column excluded from B8.2 predictors
land_use_raw,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/version/note/name/method/interpretation or high-cardinality text metadata excluded
land_use_fraction,non_predictor_metadata,excluded_metadata,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
gpr_area_weighted,non_predictor_metadata,excluded_metadata,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
nearest_park_name,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/version/note/name/method/interpretation or high-cardinality text metadata excluded
large_park_distance_m,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
nearest_large_park_name,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/version/note/name/method/interpretation or high-cardinality text metadata excluded
water_distance_m,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
nearest_water_name,non_predictor_metadata,excluded_metadata,object,120,0.92,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/version/note/name/method/interpretation or high-cardinality text metadata excluded
max_building_height_m,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
elderly_proxy_source,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/version/note/name/method/interpretation or high-cardinality text metadata excluded
outdoor_exposure_source,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/version/note/name/method/interpretation or high-cardinality text metadata excluded
forecast_spatial_note,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/version/note/name/method/interpretation or high-cardinality text metadata excluded
mean_building_height_m,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
tree_canopy_fraction,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
grass_fraction,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
water_fraction,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
built_up_fraction,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
ndvi_mean,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
dynamic_world_tree_fraction,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
dynamic_world_grass_fraction,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
dynamic_world_water_fraction,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
dynamic_world_built_up_fraction,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
ndvi_norm_for_greenery_proxy,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
greenery_fraction_beta,non_predictor_metadata,excluded_metadata,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
gvi_percent,non_predictor_metadata,excluded_metadata,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
gvi_source,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/version/note/name/method/interpretation or high-cardinality text metadata excluded
height_source,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/version/note/name/method/interpretation or high-cardinality text metadata excluded
tree_canopy_source,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/version/note/name/method/interpretation or high-cardinality text metadata excluded
ndvi_source,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/version/note/name/method/interpretation or high-cardinality text metadata excluded
svf,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
shade_fraction,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
impervious_fraction,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
svf_source,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/version/note/name/method/interpretation or high-cardinality text metadata excluded
shade_fraction_source,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/version/note/name/method/interpretation or high-cardinality text metadata excluded
impervious_source,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,source/version/note/name/method/interpretation or high-cardinality text metadata excluded
impervious_fraction_old_beta,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
impervious_fraction_vector_component,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
impervious_fraction_dw_component,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
impervious_fraction_green_component,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
elderly_pct_65plus,non_predictor_metadata,excluded_metadata,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
children_pct_under5,non_predictor_metadata,excluded_metadata,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
subzone_area_weighted,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
dominant_subzone,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
dominant_planning_area,non_predictor_metadata,excluded_metadata,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
demographic_vulnerability_raw,non_predictor_metadata,excluded_nonphysical,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exposure/vulnerability/risk/social field excluded from physical surrogate predictors
demographic_vulnerability_score,non_predictor_metadata,excluded_nonphysical,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exposure/vulnerability/risk/social field excluded from physical surrogate predictors
bus_stop_score_raw,non_predictor_metadata,excluded_nonphysical,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exposure/vulnerability/risk/social field excluded from physical surrogate predictors
bus_stop_count,non_predictor_metadata,excluded_metadata,int64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
mrt_exit_score_raw,non_predictor_metadata,excluded_nonphysical,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exposure/vulnerability/risk/social field excluded from physical surrogate predictors
mrt_exit_count,non_predictor_metadata,excluded_metadata,int64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
sport_facility_score_raw,non_predictor_metadata,excluded_nonphysical,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exposure/vulnerability/risk/social field excluded from physical surrogate predictors
sport_facility_count,non_predictor_metadata,excluded_metadata,int64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
hawker_centre_score_raw,non_predictor_metadata,excluded_nonphysical,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exposure/vulnerability/risk/social field excluded from physical surrogate predictors
hawker_centre_count,non_predictor_metadata,excluded_metadata,int64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
eldercare_score_raw,non_predictor_metadata,excluded_nonphysical,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exposure/vulnerability/risk/social field excluded from physical surrogate predictors
eldercare_count,non_predictor_metadata,excluded_metadata,int64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
preschool_score_raw,non_predictor_metadata,excluded_nonphysical,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exposure/vulnerability/risk/social field excluded from physical surrogate predictors
preschool_count,non_predictor_metadata,excluded_metadata,int64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,not in B8.2 physical-core predictor tier; excluded from headline predictors
outdoor_exposure_raw,non_predictor_metadata,excluded_nonphysical,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exposure/vulnerability/risk/social field excluded from physical surrogate predictors
node_vulnerability_raw,non_predictor_metadata,excluded_nonphysical,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exposure/vulnerability/risk/social field excluded from physical surrogate predictors
outdoor_exposure_score_v071,non_predictor_metadata,excluded_nonphysical,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exposure/vulnerability/risk/social field excluded from physical surrogate predictors
node_vulnerability_score,non_predictor_metadata,excluded_nonphysical,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exposure/vulnerability/risk/social field excluded from physical surrogate predictors
vulnerability_score_v071,non_predictor_metadata,excluded_nonphysical,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exposure/vulnerability/risk/social field excluded from physical surrogate predictors
risk_exposure_note_v071,non_predictor_metadata,excluded_nonphysical,object,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,exposure/vulnerability/risk/social field excluded from physical surrogate predictors
svf_proxy_v07,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
shade_fraction_proxy_v07,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
open_pixel_fraction,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
building_pixel_fraction,feature,physical_core,float64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,eligible B8.2 physical-core predictor
n_total_pixels,non_predictor_metadata,excluded_metadata,int64,1500,0.0,data\grid\v10\toa_payoh_grid_v10_features_overhead_sensitivity.csv,constant or all-NaN column excluded from B8.2 predictors
