cell_id,in_n24_completed,typology_label,primary_role,secondary_roles,source_feature_completeness,sampling_feature_completeness,centroid_x,centroid_y,svf_or_open_sky,shade_fraction,building_density,building_height_or_canyon_proxy,road_or_hardscape_fraction,tree_or_gvi_fraction,grass_fraction,water_edge_or_water_fraction,overhead_fraction,impervious_or_built_fraction,centroid_x_normalized,centroid_y_normalized,svf_or_open_sky_missing,shade_fraction_missing,building_density_missing,building_height_or_canyon_proxy_missing,road_or_hardscape_fraction_missing,tree_or_gvi_fraction_missing,grass_fraction_missing,water_edge_or_water_fraction_missing,overhead_fraction_missing,impervious_or_built_fraction_missing,centroid_x_normalized_missing,centroid_y_normalized_missing,svf_or_open_sky_q01,shade_fraction_q01,building_density_q01,building_height_or_canyon_proxy_q01,road_or_hardscape_fraction_q01,tree_or_gvi_fraction_q01,grass_fraction_q01,water_edge_or_water_fraction_q01,overhead_fraction_q01,impervious_or_built_fraction_q01,centroid_x_normalized_q01,centroid_y_normalized_q01,eligible,geometry_available,candidate_source_files,overhead_confounding_flag,overhead_interpretation,secondary_sampling_strata,primary_sampling_stratum,alternate_rank,selection_status,selection_tier,existing_solweig_label_status,replacement_of_cell_id,alternate_reason,manual_review_required
TP_0080,False,civic_institutional,,,1.0,1.0,30850.0,34450.0,0.0288988734520223,0.9312381717038484,0.064399999999761,62.900001525878906,0.0798004732770798,0.5734637630526764,0.0,0.0,0.0,0.0067218436591239,0.7692307692307693,0.03225806451612903,False,False,False,False,False,False,False,False,False,False,False,False,0.0163265306122449,0.9755102040816327,0.20918367346938777,0.8433673469387755,0.37551020408163266,0.9734693877551021,0.475,0.4357142857142857,0.2943877551020408,0.06836734693877551,0.7413265306122448,0.07244897959183673,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,clean_or_minor,minor_or_none,shaded_canopy_low_svf|street_canyon_or_wall_adjacent,shaded_canopy_low_svf,1,alternate,alternate,pending_if_promoted,TP_0647,nearest feature-space replacement candidate with maximin diversity,False
TP_0228,False,transport,,,1.0,1.0,31150.0,34950.0,0.1092006156578684,0.8160374846919759,0.0084000000000119,24.0,0.4526669655741556,0.2018699532511686,0.104354209326585,0.0,0.2515480022662948,0.4143102533286853,0.8846153846153846,0.1935483870967742,False,False,False,False,False,False,False,False,False,False,False,False,0.11836734693877551,0.8928571428571429,0.12244897959183673,0.5714285714285714,0.9,0.9275510204081633,0.9683673469387755,0.4357142857142857,0.9551020408163265,0.20408163265306123,0.8454081632653061,0.22040816326530613,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,major_confounding,transport_deck_or_viaduct,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|grass_or_open_park|road_edge_or_high_road_fraction,shaded_canopy_low_svf,2,alternate,alternate,pending_if_promoted,TP_0257,nearest feature-space replacement candidate with maximin diversity,False
TP_0158,False,civic_institutional,,,1.0,1.0,29950.0,34750.0,0.7734524455875158,0.1600560224089636,0.0,0.0,0.0445336131140803,0.0,0.0,0.7413833075734159,0.0,0.0,0.4230769230769231,0.12903225806451613,False,False,False,False,False,False,False,False,False,False,False,False,0.9540816326530612,0.11734693877551021,0.04387755102040816,0.04387755102040816,0.3489795918367347,0.4142857142857143,0.475,0.9989795918367347,0.2943877551020408,0.03316326530612245,0.43214285714285716,0.16122448979591836,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,clean_or_minor,minor_or_none,open_hardscape_high_svf|water_edge_or_blue_green_mixed,open_hardscape_high_svf,3,alternate,alternate,pending_if_promoted,TP_0543,nearest feature-space replacement candidate with maximin diversity,False
TP_0090,False,residential,,,1.0,1.0,28950.0,34550.0,0.2983152377651109,0.6121566204145834,0.0644000000000585,108.0,0.2182616110469369,0.2497266052179347,0.0,0.0305811591938759,0.0748490867202946,0.2305827559873666,0.038461538461538464,0.06451612903225806,False,False,False,False,False,False,False,False,False,False,False,False,0.39081632653061227,0.7071428571428572,0.21020408163265306,0.9505102040816327,0.5979591836734693,0.936734693877551,0.475,0.9030612244897959,0.8683673469387755,0.10816326530612246,0.08622448979591837,0.10204081632653061,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,moderate_confounding,transport_deck_or_viaduct,shaded_canopy_low_svf|street_canyon_or_wall_adjacent|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|water_edge_or_blue_green_mixed|mixed_upper_tail_probe_proxy,shaded_canopy_low_svf,4,alternate,alternate,pending_if_promoted,TP_0098,nearest feature-space replacement candidate with maximin diversity,False
TP_0352,False,residential,,,1.0,1.0,29050.0,35450.0,0.0851921496370842,0.7779736358062539,0.2947999999992493,20.89999961853028,0.0,0.4762241331919739,0.0096595594298503,0.0868967683669061,0.0,0.0674325749726793,0.07692307692307693,0.3548387096774194,False,False,False,False,False,False,False,False,False,False,False,False,0.09387755102040816,0.8642857142857143,0.7081632653061225,0.5510204081632653,0.13418367346938775,0.9653061224489796,0.9520408163265306,0.9255102040816326,0.2943877551020408,0.07857142857142857,0.12091836734693878,0.3683673469387755,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,clean_or_minor,minor_or_none,shaded_canopy_low_svf|water_edge_or_blue_green_mixed,shaded_canopy_low_svf,5,alternate,alternate,pending_if_promoted,TP_0554,nearest feature-space replacement candidate with maximin diversity,False
TP_0131,False,civic_institutional,,,1.0,1.0,30150.0,34650.0,0.379353068832308,0.5382999353587589,0.0,0.0,0.3406380958304331,0.1778975741239892,0.0,0.2615727176842845,0.0801485378942356,0.0,0.5,0.0967741935483871,False,False,False,False,False,False,False,False,False,False,False,False,0.5275510204081633,0.6020408163265306,0.04387755102040816,0.04387755102040816,0.8081632653061225,0.9214285714285714,0.475,0.9561224489795919,0.8744897959183674,0.03316326530612245,0.5015306122448979,0.13163265306122449,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,moderate_confounding,transport_deck_or_viaduct,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|water_edge_or_blue_green_mixed|road_edge_or_high_road_fraction|mixed_upper_tail_probe_proxy,shaded_canopy_low_svf,6,alternate,alternate,pending_if_promoted,TP_0126,nearest feature-space replacement candidate with maximin diversity,False
TP_0431,False,transport,,,1.0,1.0,31150.0,35650.0,0.7297307080261409,0.2102176669484361,0.0,0.0,0.6462787834026795,0.0,0.0668723877973516,0.1186672395609546,0.5922185700106997,0.5905945830571789,0.8846153846153846,0.41935483870967744,False,False,False,False,False,False,False,False,False,False,False,False,0.9326530612244898,0.17755102040816326,0.04387755102040816,0.04387755102040816,0.9551020408163265,0.4142857142857143,0.9663265306122449,0.9346938775510204,0.9836734693877551,0.6673469387755102,0.8454081632653061,0.4275510204081633,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,major_confounding,transport_deck_or_viaduct,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|water_edge_or_blue_green_mixed|grass_or_open_park|road_edge_or_high_road_fraction|max_extreme_probe_proxy,open_hardscape_high_svf,7,alternate,alternate,pending_if_promoted,TP_0575,nearest feature-space replacement candidate with maximin diversity,False
TP_0157,False,civic_institutional,,,1.0,1.0,29850.0,34750.0,0.7724235161304474,0.1410989010989011,0.0,0.0,0.0563753671121477,0.005785733700928,0.0,0.0029899429192715,0.1135652045220579,0.5186645212060564,0.38461538461538464,0.12903225806451613,False,False,False,False,False,False,False,False,False,False,False,False,0.9530612244897959,0.09693877551020408,0.04387755102040816,0.04387755102040816,0.35714285714285715,0.8428571428571429,0.475,0.8795918367346939,0.9040816326530612,0.4530612244897959,0.3974489795918367,0.16122448979591836,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,major_confounding,mixed_pedestrian_and_transport_overhead,open_hardscape_high_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead,open_hardscape_high_svf,8,alternate,alternate,pending_if_promoted,TP_0543,nearest feature-space replacement candidate with maximin diversity,False
TP_0881,False,commercial,,,1.0,1.0,29750.0,37250.0,0.1921398858107626,0.7646509584225847,0.0,0.0,0.2901374720598521,0.0,0.2840793687993125,0.0,0.0841517371094822,0.367200539367304,0.34615384615384615,0.9354838709677419,False,False,False,False,False,False,False,False,False,False,False,False,0.20714285714285716,0.8591836734693877,0.04387755102040816,0.04387755102040816,0.7275510204081632,0.4142857142857143,0.9806122448979592,0.4357142857142857,0.8795918367346939,0.15714285714285714,0.36275510204081635,0.8979591836734694,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,moderate_confounding,transport_deck_or_viaduct,shaded_canopy_low_svf|overhead_or_transport_structure|covered_walkway_or_pedestrian_overhead|grass_or_open_park,shaded_canopy_low_svf,9,alternate,alternate,pending_if_promoted,TP_0669,nearest feature-space replacement candidate with maximin diversity,False
TP_0826,False,commercial,,,1.0,1.0,30050.0,37050.0,0.1105606119558215,0.7954104718810601,0.0,0.0,0.3424735234779579,0.0,0.3119305686459315,0.1538642789820923,0.0,0.162512021295334,0.46153846153846156,0.8709677419354839,False,False,False,False,False,False,False,False,False,False,False,False,0.12142857142857143,0.8795918367346939,0.04387755102040816,0.04387755102040816,0.810204081632653,0.4142857142857143,0.9826530612244898,0.9387755102040817,0.2943877551020408,0.09795918367346938,0.46683673469387754,0.8392857142857143,True,True,data/grid/v10/toa_payoh_grid_v10_features_overhead_sensitivity.csv|data/grid/v10/toa_payoh_grid_v10_features_umep_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_umep_morphology_with_veg.csv|data/grid/v10/toa_payoh_grid_v10_basic_morphology.csv,clean_or_minor,minor_or_none,shaded_canopy_low_svf|water_edge_or_blue_green_mixed|grass_or_open_park|road_edge_or_high_road_fraction,shaded_canopy_low_svf,10,alternate,alternate,pending_if_promoted,TP_0835,nearest feature-space replacement candidate with maximin diversity,False
