feature,eligible_min,eligible_max,selected_min,selected_max,feature_range_coverage_ratio,standardized_mean_difference_selected_vs_eligible
svf_or_open_sky,0.0118137965115803,0.9859961867332458,0.0275770681095674,0.9485701544046402,0.9454010825277903,0.04210503878526561
shade_fraction,0.0,0.978518144595883,0.0025770308123249,0.9583426777304328,0.9767480063569269,0.0114191473972097
building_density,0.0,1.0000000000011824,0.0,0.6900000000015564,0.6900000000007405,-0.048814605421276
building_height_or_canyon_proxy,0.0,133.0,0.0,120.0,0.9022556390977443,-0.048155070524097614
road_or_hardscape_fraction,0.0,1.0,0.0,1.0,1.0,-0.026688394027560007
tree_or_gvi_fraction,0.0,1.0,0.0,1.0,1.0,0.07529344675600752
grass_fraction,0.0,0.9880436056734264,0.0,0.9880436056734264,1.0,0.12815193889833257
water_edge_or_water_fraction,0.0,0.9608932038834952,0.0,0.4733660451422963,0.492631276013989,0.015349533148811604
overhead_fraction,0.0,1.0,0.0,1.0,1.0,0.0031296050267995866
impervious_or_built_fraction,0.0,0.9935381267077634,0.0,0.9935381267077634,1.0,-0.11197612912933243
centroid_x_normalized,0.0,1.0,0.0,1.0,1.0,-0.04437338233003097
centroid_y_normalized,0.0,1.0,0.0,1.0,1.0,-0.10701633909941147
