x_bin,y_bin,selected_count,nn_min,nn_median,nn_p95,clustering_warning
"(-0.001, 0.25]","(-0.001, 0.25]",11,,,,
"(-0.001, 0.25]","(0.25, 0.5]",13,,,,
"(-0.001, 0.25]","(0.5, 0.75]",10,,,,
"(-0.001, 0.25]","(0.75, 1.0]",8,,,,
"(0.25, 0.5]","(-0.001, 0.25]",10,,,,
"(0.25, 0.5]","(0.25, 0.5]",5,,,,
"(0.25, 0.5]","(0.5, 0.75]",7,,,,
"(0.25, 0.5]","(0.75, 1.0]",6,,,,
"(0.5, 0.75]","(-0.001, 0.25]",10,,,,
"(0.5, 0.75]","(0.25, 0.5]",5,,,,
"(0.5, 0.75]","(0.5, 0.75]",8,,,,
"(0.5, 0.75]","(0.75, 1.0]",11,,,,
"(0.75, 1.0]","(-0.001, 0.25]",16,,,,
"(0.75, 1.0]","(0.25, 0.5]",12,,,,
"(0.75, 1.0]","(0.5, 0.75]",9,,,,
"(0.75, 1.0]","(0.75, 1.0]",9,,,,
nearest_neighbor_summary,selected,150,0.0,0.03469387755102038,0.07710594476079922,False
