stratum,group,primary_count,secondary_count,missing_stratum_warning
open_hardscape_high_svf,eligible_universe,156,156,False
open_hardscape_high_svf,n24_retained,7,7,False
open_hardscape_high_svf,n150_selected,17,22,False
open_hardscape_high_svf,added126,10,15,False
shaded_canopy_low_svf,eligible_universe,785,785,False
shaded_canopy_low_svf,n24_retained,16,16,False
shaded_canopy_low_svf,n150_selected,114,123,False
shaded_canopy_low_svf,added126,98,107,False
street_canyon_or_wall_adjacent,eligible_universe,0,317,False
street_canyon_or_wall_adjacent,n24_retained,0,11,False
street_canyon_or_wall_adjacent,n150_selected,0,50,False
street_canyon_or_wall_adjacent,added126,0,39,False
overhead_or_transport_structure,eligible_universe,21,197,False
overhead_or_transport_structure,n24_retained,0,8,False
overhead_or_transport_structure,n150_selected,1,37,False
overhead_or_transport_structure,added126,1,29,False
covered_walkway_or_pedestrian_overhead,eligible_universe,0,202,False
covered_walkway_or_pedestrian_overhead,n24_retained,0,13,False
covered_walkway_or_pedestrian_overhead,n150_selected,0,42,False
covered_walkway_or_pedestrian_overhead,added126,0,29,False
water_edge_or_blue_green_mixed,eligible_universe,2,96,False
water_edge_or_blue_green_mixed,n24_retained,1,5,False
water_edge_or_blue_green_mixed,n150_selected,3,20,False
water_edge_or_blue_green_mixed,added126,2,15,False
grass_or_open_park,eligible_universe,0,37,False
grass_or_open_park,n24_retained,0,1,False
grass_or_open_park,n150_selected,7,10,False
grass_or_open_park,added126,7,9,False
road_edge_or_high_road_fraction,eligible_universe,8,197,False
road_edge_or_high_road_fraction,n24_retained,0,4,False
road_edge_or_high_road_fraction,n150_selected,2,25,False
road_edge_or_high_road_fraction,added126,2,21,False
dense_built_or_low_open_pixel,eligible_universe,0,257,False
dense_built_or_low_open_pixel,n24_retained,0,6,False
dense_built_or_low_open_pixel,n150_selected,1,39,False
dense_built_or_low_open_pixel,added126,1,33,False
mixed_upper_tail_probe_proxy,eligible_universe,0,374,False
mixed_upper_tail_probe_proxy,n24_retained,0,4,False
mixed_upper_tail_probe_proxy,n150_selected,0,69,False
mixed_upper_tail_probe_proxy,added126,0,65,False
max_extreme_probe_proxy,eligible_universe,0,47,False
max_extreme_probe_proxy,n24_retained,0,4,False
max_extreme_probe_proxy,n150_selected,4,9,False
max_extreme_probe_proxy,added126,4,5,False
background_feature_space_fill,eligible_universe,9,9,False
background_feature_space_fill,n24_retained,0,0,False
background_feature_space_fill,n150_selected,1,1,False
background_feature_space_fill,added126,1,1,False
