cell_id,selection_status,primary_sampling_stratum,advisory_split_labels,note
TP_0037,retained_n24,shaded_canopy_low_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0059,retained_n24,open_hardscape_high_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0088,retained_n24,open_hardscape_high_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0098,retained_n24,shaded_canopy_low_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0115,retained_n24,water_edge_or_blue_green_mixed,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0141,retained_n24,shaded_canopy_low_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0154,retained_n24,shaded_canopy_low_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0254,retained_n24,shaded_canopy_low_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0301,retained_n24,shaded_canopy_low_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0326,retained_n24,shaded_canopy_low_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0366,retained_n24,open_hardscape_high_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0409,retained_n24,shaded_canopy_low_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0433,retained_n24,shaded_canopy_low_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0492,retained_n24,shaded_canopy_low_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0542,retained_n24,shaded_canopy_low_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0565,retained_n24,open_hardscape_high_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0575,retained_n24,open_hardscape_high_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0627,retained_n24,shaded_canopy_low_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0676,retained_n24,shaded_canopy_low_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0773,retained_n24,shaded_canopy_low_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0835,retained_n24,shaded_canopy_low_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0857,retained_n24,shaded_canopy_low_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0960,retained_n24,open_hardscape_high_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0986,retained_n24,open_hardscape_high_svf,continuity_anchor,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0555,selected_new,open_hardscape_high_svf,train_candidate,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0890,selected_new,water_edge_or_blue_green_mixed,train_candidate,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0745,selected_new,water_edge_or_blue_green_mixed,validation_candidate|typology_holdout_candidate,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0248,selected_new,grass_or_open_park,validation_candidate,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0882,selected_new,grass_or_open_park,train_candidate,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0349,selected_new,grass_or_open_park,train_candidate,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0864,selected_new,grass_or_open_park,train_candidate,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0380,selected_new,grass_or_open_park,train_candidate,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0257,selected_new,grass_or_open_park,train_candidate,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0379,selected_new,grass_or_open_park,train_candidate,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0126,selected_new,road_edge_or_high_road_fraction,train_candidate,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0889,selected_new,dense_built_or_low_open_pixel,validation_candidate,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0060,selected_new,max_extreme_probe_proxy,validation_candidate,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
TP_0569,selected_new,max_extreme_probe_proxy,validation_candidate,Advisory only; B8 must finalize surrogate CV/holdout design after labels exist.
