cell_id,in_core8,in_v10_epsilon,in_existing_wave1,typology_label,typology_group,selection_source,existing_solweig_base_available,existing_solweig_overhead_available,tmrt_p90_base_mean_or_h13,tmrt_p95_base_mean_or_h13,tmrt_max_base_mean_or_h13,m_rad_pct_mean_or_h13,overhead_delta_p90_available,overhead_delta_p90_mean_or_h13,svf,shade_fraction,building_density,tree_canopy_or_gvi,grass_fraction,water_fraction,overhead_fraction,road_fraction,pedestrian_relevance_proxy,land_use_hint,notes
TP_0001,False,False,False,residential,mixed_urban_context,v10_non_raster_features,False,False,,,,,False,,0.5199236192099895,0.1809918988342224,0.3452000000055696,0.0,0.0,0.0,0.0,0.3220820220423007,0.0,residential,Overhead shade sensitivity: adjusts ground-level shade proxy only (open-pixel scope). Elevated transport-deck heat is not modelled as pedestrian heat exposure.
TP_0002,False,False,False,residential,mixed_urban_context,v10_non_raster_features,False,False,,,,,False,,0.1887882888257335,0.5583333333333333,0.4047999999968043,0.0,0.0,0.0,0.0,0.2408424982856742,0.0,residential,Overhead shade sensitivity: adjusts ground-level shade proxy only (open-pixel scope). Elevated transport-deck heat is not modelled as pedestrian heat exposure.
TP_0003,False,False,False,transport,transport_overhead_or_viaduct,v10_non_raster_features,False,False,,,,,False,,0.800437113483012,0.020344980097302,0.1563999999993513,0.0,0.0,0.0,0.007029872247982,0.4535387896289363,0.007029872247982,transport,Overhead shade sensitivity: adjusts ground-level shade proxy only (open-pixel scope). Elevated transport-deck heat is not modelled as pedestrian heat exposure.
TP_0004,False,False,False,residential,covered_walkway_or_pedestrian_overhead,v10_non_raster_features,False,False,,,,,False,,0.4903740205175064,0.2125761531766753,0.4688,0.0,0.0,0.0,0.0304292696158633,0.1089573062999985,0.0304292696158633,residential,Overhead shade sensitivity: adjusts ground-level shade proxy only (open-pixel scope). Elevated transport-deck heat is not modelled as pedestrian heat exposure.
TP_0005,False,False,False,residential,mixed_urban_context,v10_non_raster_features,False,False,,,,,False,,0.1764425019737542,0.662060070020269,0.337199999999313,0.0,0.0,0.0,0.013718399839647,0.0233886337246692,0.013718399839647,residential,Overhead shade sensitivity: adjusts ground-level shade proxy only (open-pixel scope). Elevated transport-deck heat is not modelled as pedestrian heat exposure.
TP_0006,False,False,False,civic_institutional,mixed_urban_context,v10_non_raster_features,False,False,,,,,False,,0.2886610292482274,0.4294525828835775,0.5216000000052088,0.0,0.0,0.0,0.0,0.0052474822666447,0.0,civic_institutional,Overhead shade sensitivity: adjusts ground-level shade proxy only (open-pixel scope). Elevated transport-deck heat is not modelled as pedestrian heat exposure.
TP_0007,False,False,False,residential,mixed_urban_context,v10_non_raster_features,False,False,,,,,False,,0.2557202017605917,0.4900419287211739,0.3184,0.0,0.0,0.0,0.0,0.2143815181744911,0.0,residential,Overhead shade sensitivity: adjusts ground-level shade proxy only (open-pixel scope). Elevated transport-deck heat is not modelled as pedestrian heat exposure.
TP_0008,False,False,False,residential,mixed_urban_context,v10_non_raster_features,False,False,,,,,False,,0.2914304816469996,0.3844907407407407,0.5055999999987401,0.0,0.0,0.0,0.0,0.1237017666895889,0.0,residential,Overhead shade sensitivity: adjusts ground-level shade proxy only (open-pixel scope). Elevated transport-deck heat is not modelled as pedestrian heat exposure.
TP_0009,False,False,False,residential,mixed_urban_context,v10_non_raster_features,False,False,,,,,False,,0.229885039338617,0.5927092709270926,0.1720000000003942,0.0,0.0,0.0,0.0,0.2606039905906929,0.0,residential,Overhead shade sensitivity: adjusts ground-level shade proxy only (open-pixel scope). Elevated transport-deck heat is not modelled as pedestrian heat exposure.
TP_0010,False,False,False,residential,mixed_urban_context,v10_non_raster_features,False,False,,,,,False,,0.2828039991788285,0.4560185185185185,0.3327999999998547,0.0,0.0,0.0,0.0,0.2905641335598114,0.0,residential,Overhead shade sensitivity: adjusts ground-level shade proxy only (open-pixel scope). Elevated transport-deck heat is not modelled as pedestrian heat exposure.
TP_0011,False,False,False,residential,mixed_urban_context,v10_non_raster_features,False,False,,,,,False,,0.5999486753098413,0.0936888888888888,0.3315999999991434,0.0,0.0,0.0,0.0,0.3948733843621772,0.0,residential,Overhead shade sensitivity: adjusts ground-level shade proxy only (open-pixel scope). Elevated transport-deck heat is not modelled as pedestrian heat exposure.
TP_0012,False,False,False,residential,mixed_urban_context,v10_non_raster_features,False,False,,,,,False,,0.6466099853765699,0.0930280528052805,0.3940000000010463,0.0,0.0,0.0,0.0,0.3005538286123534,0.0,residential,Overhead shade sensitivity: adjusts ground-level shade proxy only (open-pixel scope). Elevated transport-deck heat is not modelled as pedestrian heat exposure.
TP_0013,False,False,False,residential,mixed_urban_context,v10_non_raster_features,False,False,,,,,False,,0.3552070634767648,0.4057090239410681,0.3164000000022848,0.0,0.0,0.0,0.0102359872595563,0.1062399866381305,0.0102359872595563,residential,Overhead shade sensitivity: adjusts ground-level shade proxy only (open-pixel scope). Elevated transport-deck heat is not modelled as pedestrian heat exposure.
TP_0014,False,False,False,residential,mixed_urban_context,v10_non_raster_features,False,False,,,,,False,,0.3143446604709433,0.475826972010178,0.2747999999935918,0.0,0.0,0.0,0.0,0.0806039086542701,0.0,residential,Overhead shade sensitivity: adjusts ground-level shade proxy only (open-pixel scope). Elevated transport-deck heat is not modelled as pedestrian heat exposure.
TP_0015,False,False,False,commercial,mixed_urban_context,v10_non_raster_features,False,False,,,,,False,,0.4935314013176193,0.1760925449871465,0.3776000000091213,0.0,0.0,0.0,0.0,0.1070215626908324,0.0,commercial,Overhead shade sensitivity: adjusts ground-level shade proxy only (open-pixel scope). Elevated transport-deck heat is not modelled as pedestrian heat exposure.
TP_0016,False,False,False,commercial,mixed_urban_context,v10_non_raster_features,False,False,,,,,False,,0.4631148492307762,0.2214397496087637,0.358399999997653,0.0,0.0,0.0,0.0,0.1482765295787187,0.0,commercial,Overhead shade sensitivity: adjusts ground-level shade proxy only (open-pixel scope). Elevated transport-deck heat is not modelled as pedestrian heat exposure.
