diagnostic_role,required_minimum,selected_cell_count,required_role_missing,coverage_warning,selection_freeze_version
core_continuity,8,8,False,,b2_2_human_qa_freeze
confident_hot_anchor_continuity,2,2,False,,b2_2_human_qa_freeze
overhead_confounded_legacy_diagnostic,1,1,False,,b2_2_human_qa_freeze
shaded_or_canopy_reference,2,5,False,,b2_2_human_qa_freeze
open_paved_hardscape,2,5,False,,b2_2_human_qa_freeze
street_canyon_wall_adjacent,2,15,False,,b2_2_human_qa_freeze
covered_walkway_or_pedestrian_overhead,2,14,False,,b2_2_human_qa_freeze
transport_overhead_or_viaduct,2,4,False,,b2_2_human_qa_freeze
water_edge_or_blue_green,2,7,False,,b2_2_human_qa_freeze
grass_or_open_park,2,6,False,,b2_2_human_qa_freeze
school_gate_bus_stop_waiting_node,2,2,False,,b2_2_human_qa_freeze
p90_p95_disagreement_probe,3,6,False,,b2_2_human_qa_freeze
max_extreme_probe,1,6,False,,b2_2_human_qa_freeze
threshold_area_probe,3,10,False,,b2_2_human_qa_freeze
overhead_sensitivity_probe,1,15,False,,b2_2_human_qa_freeze
pedestrian_relevance_probe,2,2,False,,b2_2_human_qa_freeze
