check,passed,observed,expected,notes
selected_cell_count,True,24,24,
base_manifest_rows,True,120,24*5=120,
overhead_manifest_rows,True,120,24*5=120,
total_manifest_rows,True,240,24*2*5=240,
each_selected_cell_has_base,True,24,24,
each_selected_cell_has_overhead,True,24,24,
each_selected_cell_has_required_hours,True,checked,"10,12,13,15,16",
replaced_out_cells_absent,True,,none,
replacement_in_cells_present,True,TP_0141|TP_0301|TP_0575|TP_0676|TP_0773,TP_0141|TP_0301|TP_0575|TP_0676|TP_0773,
no_duplicate_run_id,True,0,0,
no_tif_files_created,True,manifest text checked,no .tif/.tiff,
no_data_solweig_files_created,True,manifest text checked,no data/solweig,
template_paths_only,True,checked,future_template_*,
raw_outputs_do_not_commit,True,checked,all true,
no_local_wbgt_c,True,checked,no local_wbgt_c,
no_hazard_score,True,checked,no hazard_score,
no_risk_score,True,checked,no risk_score,
no_system_a,True,checked,no system_a,
