scenario,hour,metric,metric_present,n_rows,n_cells,non_missing_count,missing_count,availability_status
base,10,tmrt_mean_c,True,24,24,24,0,available
base,10,tmrt_p50_c,True,24,24,24,0,available
base,10,tmrt_p75_c,True,24,24,24,0,available
base,10,tmrt_p90_c,True,24,24,24,0,available
base,10,tmrt_p95_c,True,24,24,24,0,available
base,10,tmrt_max_c,True,24,24,24,0,available
base,10,pct_pixels_tmrt_ge_40,True,24,24,24,0,available
base,10,pct_pixels_tmrt_ge_45,True,24,24,24,0,available
base,10,pct_pixels_tmrt_ge_50,True,24,24,24,0,available
base,10,pct_pixels_tmrt_ge_55,True,24,24,24,0,available
base,12,tmrt_mean_c,True,24,24,24,0,available
base,12,tmrt_p50_c,True,24,24,24,0,available
base,12,tmrt_p75_c,True,24,24,24,0,available
base,12,tmrt_p90_c,True,24,24,24,0,available
base,12,tmrt_p95_c,True,24,24,24,0,available
base,12,tmrt_max_c,True,24,24,24,0,available
base,12,pct_pixels_tmrt_ge_40,True,24,24,24,0,available
base,12,pct_pixels_tmrt_ge_45,True,24,24,24,0,available
base,12,pct_pixels_tmrt_ge_50,True,24,24,24,0,available
base,12,pct_pixels_tmrt_ge_55,True,24,24,24,0,available
base,13,tmrt_mean_c,True,24,24,24,0,available
base,13,tmrt_p50_c,True,24,24,24,0,available
base,13,tmrt_p75_c,True,24,24,24,0,available
base,13,tmrt_p90_c,True,24,24,24,0,available
base,13,tmrt_p95_c,True,24,24,24,0,available
base,13,tmrt_max_c,True,24,24,24,0,available
base,13,pct_pixels_tmrt_ge_40,True,24,24,24,0,available
base,13,pct_pixels_tmrt_ge_45,True,24,24,24,0,available
base,13,pct_pixels_tmrt_ge_50,True,24,24,24,0,available
base,13,pct_pixels_tmrt_ge_55,True,24,24,24,0,available
base,15,tmrt_mean_c,True,24,24,24,0,available
base,15,tmrt_p50_c,True,24,24,24,0,available
base,15,tmrt_p75_c,True,24,24,24,0,available
base,15,tmrt_p90_c,True,24,24,24,0,available
base,15,tmrt_p95_c,True,24,24,24,0,available
base,15,tmrt_max_c,True,24,24,24,0,available
base,15,pct_pixels_tmrt_ge_40,True,24,24,24,0,available
base,15,pct_pixels_tmrt_ge_45,True,24,24,24,0,available
base,15,pct_pixels_tmrt_ge_50,True,24,24,24,0,available
base,15,pct_pixels_tmrt_ge_55,True,24,24,24,0,available
base,16,tmrt_mean_c,True,24,24,24,0,available
base,16,tmrt_p50_c,True,24,24,24,0,available
base,16,tmrt_p75_c,True,24,24,24,0,available
base,16,tmrt_p90_c,True,24,24,24,0,available
base,16,tmrt_p95_c,True,24,24,24,0,available
