cell_id,delta_tmrt_mean_c_mean_delta,delta_tmrt_mean_c_min_delta,delta_tmrt_mean_c_max_delta,delta_tmrt_mean_c_hours_cooled,delta_tmrt_mean_c_hours_unchanged,delta_tmrt_mean_c_hours_warmed,delta_tmrt_p75_c_mean_delta,delta_tmrt_p75_c_min_delta,delta_tmrt_p75_c_max_delta,delta_tmrt_p75_c_hours_cooled,delta_tmrt_p75_c_hours_unchanged,delta_tmrt_p75_c_hours_warmed,delta_tmrt_p90_c_mean_delta,delta_tmrt_p90_c_min_delta,delta_tmrt_p90_c_max_delta,delta_tmrt_p90_c_hours_cooled,delta_tmrt_p90_c_hours_unchanged,delta_tmrt_p90_c_hours_warmed,delta_tmrt_p95_c_mean_delta,delta_tmrt_p95_c_min_delta,delta_tmrt_p95_c_max_delta,delta_tmrt_p95_c_hours_cooled,delta_tmrt_p95_c_hours_unchanged,delta_tmrt_p95_c_hours_warmed,delta_tmrt_max_c_mean_delta,delta_tmrt_max_c_min_delta,delta_tmrt_max_c_max_delta,delta_tmrt_max_c_hours_cooled,delta_tmrt_max_c_hours_unchanged,delta_tmrt_max_c_hours_warmed,delta_pct_pixels_ge_40_mean_delta,delta_pct_pixels_ge_40_min_delta,delta_pct_pixels_ge_40_max_delta,delta_pct_pixels_ge_40_hours_cooled,delta_pct_pixels_ge_40_hours_unchanged,delta_pct_pixels_ge_40_hours_warmed,delta_pct_pixels_ge_45_mean_delta,delta_pct_pixels_ge_45_min_delta,delta_pct_pixels_ge_45_max_delta,delta_pct_pixels_ge_45_hours_cooled,delta_pct_pixels_ge_45_hours_unchanged,delta_pct_pixels_ge_45_hours_warmed,delta_pct_pixels_ge_50_mean_delta,delta_pct_pixels_ge_50_min_delta,delta_pct_pixels_ge_50_max_delta,delta_pct_pixels_ge_50_hours_cooled,delta_pct_pixels_ge_50_hours_unchanged,delta_pct_pixels_ge_50_hours_warmed,delta_pct_pixels_ge_55_mean_delta,delta_pct_pixels_ge_55_min_delta,delta_pct_pixels_ge_55_max_delta,delta_pct_pixels_ge_55_hours_cooled,delta_pct_pixels_ge_55_hours_unchanged,delta_pct_pixels_ge_55_hours_warmed,strongest_cooling_hour_by_p90,strongest_p90_cooling_delta,overhead_affects_mean_more_than_p90,overhead_reduces_threshold_area_substantially,scenario_boundary
TP_0575,-10.629582977294922,-12.696372985839844,-7.401748657226562,5,0,0,-4.64849624633789,-5.765861511230469,-3.77581787109375,5,0,0,-2.9030906677246096,-3.574405670166016,-2.2117233276367188,5,0,0,-1.8069610595703125,-2.1926727294921875,-1.311443328857422,5,0,0,-0.7794921875,-0.9921417236328124,-0.4625282287597656,5,0,0,-44.312,-55.8,-27.83999999999999,5,0,0,-54.664,-67.28,-45.71999999999999,5,0,0,-43.064,-68.24,0.0,4,1,0,-34.04,-73.44,0.0,3,2,0,15,-3.574405670166016,True,True,"overhead_as_canopy is sensitivity, not absolute truth"
TP_0037,-4.522489929199219,-5.696437835693359,-2.846527099609375,5,0,0,-4.121392059326172,-11.648841857910156,-0.6862373352050781,5,0,0,-2.695923614501953,-4.435234069824219,-0.6899833679199219,5,0,0,-2.0876731872558594,-3.084705352783203,-0.5150909423828125,5,0,0,-0.8702537536621093,-1.1203880310058594,-0.1313514709472656,5,0,0,-21.047999999999995,-22.319999999999997,-19.32,5,0,0,-21.232,-22.44,-19.32,5,0,0,-17.232,-22.440000000000005,0.0,4,1,0,-13.032000000000002,-22.440000000000005,0.0,3,2,0,16,-4.435234069824219,True,True,"overhead_as_canopy is sensitivity, not absolute truth"
TP_0542,-0.33156890869140626,-0.5482978820800781,-0.0308151245117187,5,0,0,-0.34228973388671874,-0.5072784423828125,-0.1021575927734375,5,0,0,-2.544556427001953,-11.533084869384766,-0.1042366027832031,5,0,0,-0.08420791625976556,-0.1146163940429687,-0.0485343933105468,5,0,0,0.0,0.0,0.0,0,5,0,-1.5919999999999994,-2.28,-0.08,5,0,0,-1.248,-2.28,0.0,3,2,0,-1.248,-2.28,0.0,3,2,0,-0.5439999999999999,-2.08,0.0,3,2,0,15,-11.533084869384766,False,False,"overhead_as_canopy is sensitivity, not absolute truth"
TP_0088,-14.478656768798828,-17.265151977539062,-8.970268249511719,5,0,0,-5.193889617919922,-7.087383270263672,-3.480186462402344,5,0,0,-1.9307968139648437,-2.347084045410156,-1.514373779296875,5,0,0,-1.2424446105957032,-1.4790496826171875,-0.926860809326172,5,0,0,-0.5513839721679688,-0.6779327392578125,-0.3981399536132812,5,0,0,-64.12,-74.52000000000001,-56.16,5,0,0,-74.34400000000001,-94.8,-64.80000000000001,5,0,0,-59.34400000000001,-95.08,0.0,4,1,0,-42.760000000000005,-77.6,0.0,3,2,0,15,-2.347084045410156,True,True,"overhead_as_canopy is sensitivity, not absolute truth"
TP_0141,-0.11740646362304683,-0.1305923461914062,-0.0909080505371093,5,0,0,-0.04771957397460934,-0.1199760437011718,-0.0041961669921875,4,1,0,-0.27980880737304686,-0.5709915161132812,-0.0531654357910156,5,0,0,-0.7702201843261719,-1.0876083374023438,-0.5762062072753906,5,0,0,-0.5543899536132812,-1.215179443359375,0.0,4,1,0,-0.19199999999999978,-0.3599999999999994,-0.0400000000000027,5,0,0,-0.04,-0.2,0.0,1,4,0,0.0,0.0,0.0,0,5,0,-0.21599999999999966,-1.0799999999999983,0.0,1,4,0,10,-0.5709915161132812,False,False,"overhead_as_canopy is sensitivity, not absolute truth"
TP_0059,-2.4491554260253907,-3.213024139404297,-1.3810348510742188,5,0,0,-0.12132568359374998,-0.1594314575195312,-0.068389892578125,5,0,0,-0.1207870483398437,-0.1410942077636718,-0.0821571350097656,5,0,0,-0.12041397094726561,-0.144622802734375,-0.0861434936523437,5,0,0,-0.044889831542968696,-0.0729446411132812,0.0,4,1,0,-8.599999999999998,-13.28,-6.200000000000003,5,0,0,-13.039999999999997,-20.599999999999994,-8.760000000000005,5,0,0,-10.76,-22.480000000000004,0.0,4,1,0,-6.2799999999999985,-12.519999999999996,0.0,3,2,0,16,-0.1410942077636718,True,True,"overhead_as_canopy is sensitivity, not absolute truth"
TP_0773,-0.02857666015624998,-0.0473785400390625,-0.0150299072265625,5,0,0,-0.04539108276367186,-0.0972099304199218,0.0031661987304687,4,1,0,-0.11792526245117183,-0.2515106201171875,0.0,4,1,0,0.0,0.0,0.0,0,5,0,0.0,0.0,0.0,0,5,0,-0.14400000000000118,-0.3200000000000038,0.0,3,2,0,-0.00800000000000054,-0.0400000000000027,0.0,1,4,0,0.0,0.0,0.0,0,5,0,-0.039999999999999855,-0.1999999999999993,0.0,1,4,0,12,-0.2515106201171875,False,False,"overhead_as_canopy is sensitivity, not absolute truth"
TP_0960,-0.2704627990722656,-0.363800048828125,-0.1629219055175781,5,0,0,-0.12318191528320308,-0.1342048645019531,-0.1102256774902343,5,0,0,-0.10850143432617185,-0.1280097961425781,-0.0864944458007812,5,0,0,-0.10136108398437496,-0.133697509765625,-0.0883407592773437,5,0,0,0.0,0.0,0.0,0,5,0,-0.4079999999999956,-1.2399999999999949,0.0,3,2,0,-1.8640000000000043,-5.840000000000003,-0.5600000000000165,5,0,0,-1.7840000000000047,-6.719999999999992,0.0,4,1,0,-0.5040000000000049,-1.2800000000000011,0.0,3,2,0,16,-0.1280097961425781,True,False,"overhead_as_canopy is sensitivity, not absolute truth"
TP_0409,-0.08276596069335931,-0.1437492370605468,-0.0402107238769531,5,0,0,-0.09244918823242185,-0.2263107299804687,-0.0221099853515625,5,0,0,-0.059658813476562454,-0.1047134399414062,-0.0061378479003906,4,1,0,-0.06033706665039058,-0.1412887573242187,-0.0082054138183593,4,1,0,0.0,0.0,0.0,0,5,0,-0.34400000000000086,-0.5200000000000031,-0.120000000000001,5,0,0,-0.2639999999999997,-0.5600000000000023,0.0,4,1,0,-0.2479999999999997,-0.5600000000000023,0.0,3,2,0,-0.2479999999999997,-0.5600000000000023,0.0,3,2,0,13,-0.1047134399414062,True,False,"overhead_as_canopy is sensitivity, not absolute truth"
TP_0366,-0.3080024719238281,-0.5017852783203125,-0.138275146484375,5,0,0,-0.07432556152343747,-0.1005058288574218,-0.0587387084960937,5,0,0,-0.05018615722656246,-0.068084716796875,-0.0374336242675781,5,0,0,-0.02446212768554686,-0.0535163879394531,-0.0131301879882812,5,0,0,-0.02977142333984372,-0.0943260192871093,0.0,2,3,0,-0.7680000000000007,-2.5999999999999943,0.0,3,2,0,-2.287999999999998,-5.32,-0.480000000000004,5,0,0,-1.9920000000000002,-6.399999999999999,0.0,4,1,0,-0.7120000000000033,-2.1200000000000045,0.0,3,2,0,16,-0.068084716796875,True,False,"overhead_as_canopy is sensitivity, not absolute truth"
