hour,metric,cell_id,base_value,overhead_value,base_rank,overhead_rank,rank_delta,abs_rank_delta,cell_metric_mean_abs_rank_delta,cell_metric_max_abs_rank_delta
10,pct_pixels_tmrt_ge_50,TP_0037,0.0,0.0,1,1,0.0,0.0,2.0,6.0
10,pct_pixels_tmrt_ge_50,TP_0059,0.0,0.0,1,1,0.0,0.0,2.6,5.0
10,pct_pixels_tmrt_ge_50,TP_0088,0.0,0.0,1,1,0.0,0.0,9.6,13.0
10,pct_pixels_tmrt_ge_50,TP_0098,0.0,0.0,1,1,0.0,0.0,2.2,3.0
10,pct_pixels_tmrt_ge_50,TP_0115,0.0,0.0,1,1,0.0,0.0,2.0,3.0
10,pct_pixels_tmrt_ge_50,TP_0141,0.0,0.0,1,1,0.0,0.0,0.0,0.0
10,pct_pixels_tmrt_ge_50,TP_0154,0.0,0.0,1,1,0.0,0.0,0.0,0.0
10,pct_pixels_tmrt_ge_50,TP_0254,0.0,0.0,1,1,0.0,0.0,0.0,0.0
10,pct_pixels_tmrt_ge_50,TP_0301,0.0,0.0,1,1,0.0,0.0,2.2,3.0
10,pct_pixels_tmrt_ge_50,TP_0326,0.0,0.0,1,1,0.0,0.0,2.4,4.0
10,pct_pixels_tmrt_ge_50,TP_0366,0.0,0.0,1,1,0.0,0.0,1.2,2.0
10,pct_pixels_tmrt_ge_50,TP_0409,0.0,0.0,1,1,0.0,0.0,0.2,1.0
10,pct_pixels_tmrt_ge_50,TP_0433,0.0,0.0,1,1,0.0,0.0,0.0,0.0
10,pct_pixels_tmrt_ge_50,TP_0492,0.0,0.0,1,1,0.0,0.0,0.0,0.0
10,pct_pixels_tmrt_ge_50,TP_0542,0.0,0.0,1,1,0.0,0.0,0.6,3.0
10,pct_pixels_tmrt_ge_50,TP_0565,0.0,0.0,1,1,0.0,0.0,1.6,2.0
10,pct_pixels_tmrt_ge_50,TP_0575,0.0,0.0,1,1,0.0,0.0,5.8,13.0
10,pct_pixels_tmrt_ge_50,TP_0627,0.0,0.0,1,1,0.0,0.0,1.8,3.0
10,pct_pixels_tmrt_ge_50,TP_0676,0.0,0.0,1,1,0.0,0.0,1.8,3.0
10,pct_pixels_tmrt_ge_50,TP_0773,0.0,0.0,1,1,0.0,0.0,0.8,3.0
