cell_id,scenario,mean_p90_minus_mean,max_p90_minus_mean,mean_p95_minus_p90,mean_max_minus_p95,mean_pct_ge_50,mean_pct_ge_55,tail_class,tail_class_rule
TP_0037,base,9.433280944824219,13.15570068359375,0.03174285888671875,0.037732696533203124,41.976,36.392,threshold_area_hot,"uniform_hot: pct_ge_50>=60 and p90-mean<=4; threshold_area_hot: pct_ge_50>=35 or pct_ge_55>=10; mixed_cell_upper_tail: p90-mean>=5 and max-p95<4; max_only_extreme: max-p95>=4 and pct_ge_55<5; mostly_shaded_low_tail: pct_ge_50<5, pct_ge_55<1, p90-mean<4; otherwise uncertain"
TP_0059,base,0.2760490417480483,0.9194869995117188,0.03695220947265625,0.13474197387695314,80.0,60.0,uniform_hot,"uniform_hot: pct_ge_50>=60 and p90-mean<=4; threshold_area_hot: pct_ge_50>=35 or pct_ge_55>=10; mixed_cell_upper_tail: p90-mean>=5 and max-p95<4; max_only_extreme: max-p95>=4 and pct_ge_55<5; mostly_shaded_low_tail: pct_ge_50<5, pct_ge_55<1, p90-mean<4; otherwise uncertain"
TP_0088,base,0.18332824707030965,0.2319793701171804,0.017298126220703126,0.06675262451172159,79.824,59.967999999999996,uniform_hot,"uniform_hot: pct_ge_50>=60 and p90-mean<=4; threshold_area_hot: pct_ge_50>=35 or pct_ge_55>=10; mixed_cell_upper_tail: p90-mean>=5 and max-p95<4; max_only_extreme: max-p95>=4 and pct_ge_55<5; mostly_shaded_low_tail: pct_ge_50<5, pct_ge_55<1, p90-mean<4; otherwise uncertain"
TP_0098,base,8.893070220947267,10.894733428955078,0.21077728271484517,0.8382812499999985,39.016000000000005,34.544,threshold_area_hot,"uniform_hot: pct_ge_50>=60 and p90-mean<=4; threshold_area_hot: pct_ge_50>=35 or pct_ge_55>=10; mixed_cell_upper_tail: p90-mean>=5 and max-p95<4; max_only_extreme: max-p95>=4 and pct_ge_55<5; mostly_shaded_low_tail: pct_ge_50<5, pct_ge_55<1, p90-mean<4; otherwise uncertain"
TP_0115,base,6.841619873046874,7.916950225830078,0.507321929931642,0.4711891174316435,45.76,41.391999999999996,threshold_area_hot,"uniform_hot: pct_ge_50>=60 and p90-mean<=4; threshold_area_hot: pct_ge_50>=35 or pct_ge_55>=10; mixed_cell_upper_tail: p90-mean>=5 and max-p95<4; max_only_extreme: max-p95>=4 and pct_ge_55<5; mostly_shaded_low_tail: pct_ge_50<5, pct_ge_55<1, p90-mean<4; otherwise uncertain"
TP_0141,base,13.910630798339843,18.581100463867188,1.6900260925292983,1.6971641540527345,8.712,7.56,mixed_cell_upper_tail,"uniform_hot: pct_ge_50>=60 and p90-mean<=4; threshold_area_hot: pct_ge_50>=35 or pct_ge_55>=10; mixed_cell_upper_tail: p90-mean>=5 and max-p95<4; max_only_extreme: max-p95>=4 and pct_ge_55<5; mostly_shaded_low_tail: pct_ge_50<5, pct_ge_55<1, p90-mean<4; otherwise uncertain"
TP_0154,base,-0.15264663696289063,-0.008968353271484375,0.142364501953125,14.164757537841798,0.6,0.528,max_only_extreme,"uniform_hot: pct_ge_50>=60 and p90-mean<=4; threshold_area_hot: pct_ge_50>=35 or pct_ge_55>=10; mixed_cell_upper_tail: p90-mean>=5 and max-p95<4; max_only_extreme: max-p95>=4 and pct_ge_55<5; mostly_shaded_low_tail: pct_ge_50<5, pct_ge_55<1, p90-mean<4; otherwise uncertain"
TP_0254,base,13.968068695068359,18.97420501708985,1.1290618896484375,1.32884979248047,10.192,8.976,mixed_cell_upper_tail,"uniform_hot: pct_ge_50>=60 and p90-mean<=4; threshold_area_hot: pct_ge_50>=35 or pct_ge_55>=10; mixed_cell_upper_tail: p90-mean>=5 and max-p95<4; max_only_extreme: max-p95>=4 and pct_ge_55<5; mostly_shaded_low_tail: pct_ge_50<5, pct_ge_55<1, p90-mean<4; otherwise uncertain"
TP_0301,base,10.93934097290039,13.334518432617188,0.0,0.0,36.304,31.552,threshold_area_hot,"uniform_hot: pct_ge_50>=60 and p90-mean<=4; threshold_area_hot: pct_ge_50>=35 or pct_ge_55>=10; mixed_cell_upper_tail: p90-mean>=5 and max-p95<4; max_only_extreme: max-p95>=4 and pct_ge_55<5; mostly_shaded_low_tail: pct_ge_50<5, pct_ge_55<1, p90-mean<4; otherwise uncertain"
TP_0326,base,9.762162017822266,11.210552215576179,2.0565986633300755,0.131402587890625,33.768,29.688,threshold_area_hot,"uniform_hot: pct_ge_50>=60 and p90-mean<=4; threshold_area_hot: pct_ge_50>=35 or pct_ge_55>=10; mixed_cell_upper_tail: p90-mean>=5 and max-p95<4; max_only_extreme: max-p95>=4 and pct_ge_55<5; mostly_shaded_low_tail: pct_ge_50<5, pct_ge_55<1, p90-mean<4; otherwise uncertain"
