scenario,hour,metric_a,metric_b,top_k,top_cells_metric_a,top_cells_metric_b,overlap_count,jaccard_overlap,emphasis_pair
base,10,tmrt_mean_c,tmrt_p50_c,6,TP_0088;TP_0059;TP_0366;TP_0575;TP_0986;TP_0565,TP_0059;TP_0088;TP_0575;TP_0960;TP_0366;TP_0565,5,0.7142857142857143,False
base,10,tmrt_mean_c,tmrt_p50_c,3,TP_0088;TP_0059;TP_0366,TP_0059;TP_0088;TP_0575,2,0.5,False
base,10,tmrt_mean_c,tmrt_p75_c,6,TP_0088;TP_0059;TP_0366;TP_0575;TP_0986;TP_0565,TP_0565;TP_0986;TP_0059;TP_0088;TP_0575;TP_0960,5,0.7142857142857143,False
base,10,tmrt_mean_c,tmrt_p75_c,3,TP_0088;TP_0059;TP_0366,TP_0565;TP_0986;TP_0059,1,0.2,False
base,10,tmrt_mean_c,tmrt_p90_c,6,TP_0088;TP_0059;TP_0366;TP_0575;TP_0986;TP_0565,TP_0301;TP_0037;TP_0986;TP_0565;TP_0059;TP_0088,4,0.5,True
base,10,tmrt_mean_c,tmrt_p90_c,3,TP_0088;TP_0059;TP_0366,TP_0301;TP_0037;TP_0986,0,0.0,True
base,10,tmrt_mean_c,tmrt_p95_c,6,TP_0088;TP_0059;TP_0366;TP_0575;TP_0986;TP_0565,TP_0301;TP_0773;TP_0037;TP_0986;TP_0326;TP_0565,2,0.2,False
base,10,tmrt_mean_c,tmrt_p95_c,3,TP_0088;TP_0059;TP_0366,TP_0301;TP_0773;TP_0037,0,0.0,False
base,10,tmrt_mean_c,tmrt_max_c,6,TP_0088;TP_0059;TP_0366;TP_0575;TP_0986;TP_0565,TP_0326;TP_0301;TP_0773;TP_0542;TP_0986;TP_0676,1,0.09090909090909091,False
base,10,tmrt_mean_c,tmrt_max_c,3,TP_0088;TP_0059;TP_0366,TP_0326;TP_0301;TP_0773,0,0.0,False
base,10,tmrt_mean_c,pct_pixels_tmrt_ge_40,6,TP_0088;TP_0059;TP_0366;TP_0575;TP_0986;TP_0565,TP_0088;TP_0366;TP_0059;TP_0986;TP_0575;TP_0565,6,1.0,False
base,10,tmrt_mean_c,pct_pixels_tmrt_ge_40,3,TP_0088;TP_0059;TP_0366,TP_0088;TP_0366;TP_0059,3,1.0,False
base,10,tmrt_mean_c,pct_pixels_tmrt_ge_45,6,TP_0088;TP_0059;TP_0366;TP_0575;TP_0986;TP_0565,TP_0088;TP_0059;TP_0575;TP_0960;TP_0366;TP_0565,5,0.7142857142857143,False
base,10,tmrt_mean_c,pct_pixels_tmrt_ge_45,3,TP_0088;TP_0059;TP_0366,TP_0088;TP_0059;TP_0575,2,0.5,False
base,10,tmrt_mean_c,pct_pixels_tmrt_ge_50,6,TP_0088;TP_0059;TP_0366;TP_0575;TP_0986;TP_0565,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,2,0.2,False
base,10,tmrt_mean_c,pct_pixels_tmrt_ge_50,3,TP_0088;TP_0059;TP_0366,TP_0037;TP_0059;TP_0088,2,0.5,False
base,10,tmrt_mean_c,pct_pixels_tmrt_ge_55,6,TP_0088;TP_0059;TP_0366;TP_0575;TP_0986;TP_0565,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,2,0.2,False
base,10,tmrt_mean_c,pct_pixels_tmrt_ge_55,3,TP_0088;TP_0059;TP_0366,TP_0037;TP_0059;TP_0088,2,0.5,False
base,10,tmrt_p50_c,tmrt_p75_c,6,TP_0059;TP_0088;TP_0575;TP_0960;TP_0366;TP_0565,TP_0565;TP_0986;TP_0059;TP_0088;TP_0575;TP_0960,5,0.7142857142857143,False
base,10,tmrt_p50_c,tmrt_p75_c,3,TP_0059;TP_0088;TP_0575,TP_0565;TP_0986;TP_0059,1,0.2,False
base,10,tmrt_p50_c,tmrt_p90_c,6,TP_0059;TP_0088;TP_0575;TP_0960;TP_0366;TP_0565,TP_0301;TP_0037;TP_0986;TP_0565;TP_0059;TP_0088,3,0.3333333333333333,False
base,10,tmrt_p50_c,tmrt_p90_c,3,TP_0059;TP_0088;TP_0575,TP_0301;TP_0037;TP_0986,0,0.0,False
base,10,tmrt_p50_c,tmrt_p95_c,6,TP_0059;TP_0088;TP_0575;TP_0960;TP_0366;TP_0565,TP_0301;TP_0773;TP_0037;TP_0986;TP_0326;TP_0565,1,0.09090909090909091,False
base,10,tmrt_p50_c,tmrt_p95_c,3,TP_0059;TP_0088;TP_0575,TP_0301;TP_0773;TP_0037,0,0.0,False
base,10,tmrt_p50_c,tmrt_max_c,6,TP_0059;TP_0088;TP_0575;TP_0960;TP_0366;TP_0565,TP_0326;TP_0301;TP_0773;TP_0542;TP_0986;TP_0676,0,0.0,False
base,10,tmrt_p50_c,tmrt_max_c,3,TP_0059;TP_0088;TP_0575,TP_0326;TP_0301;TP_0773,0,0.0,False
base,10,tmrt_p50_c,pct_pixels_tmrt_ge_40,6,TP_0059;TP_0088;TP_0575;TP_0960;TP_0366;TP_0565,TP_0088;TP_0366;TP_0059;TP_0986;TP_0575;TP_0565,5,0.7142857142857143,False
base,10,tmrt_p50_c,pct_pixels_tmrt_ge_40,3,TP_0059;TP_0088;TP_0575,TP_0088;TP_0366;TP_0059,2,0.5,False
base,10,tmrt_p50_c,pct_pixels_tmrt_ge_45,6,TP_0059;TP_0088;TP_0575;TP_0960;TP_0366;TP_0565,TP_0088;TP_0059;TP_0575;TP_0960;TP_0366;TP_0565,6,1.0,False
base,10,tmrt_p50_c,pct_pixels_tmrt_ge_45,3,TP_0059;TP_0088;TP_0575,TP_0088;TP_0059;TP_0575,3,1.0,False
base,10,tmrt_p50_c,pct_pixels_tmrt_ge_50,6,TP_0059;TP_0088;TP_0575;TP_0960;TP_0366;TP_0565,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,2,0.2,False
base,10,tmrt_p50_c,pct_pixels_tmrt_ge_50,3,TP_0059;TP_0088;TP_0575,TP_0037;TP_0059;TP_0088,2,0.5,False
base,10,tmrt_p50_c,pct_pixels_tmrt_ge_55,6,TP_0059;TP_0088;TP_0575;TP_0960;TP_0366;TP_0565,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,2,0.2,False
base,10,tmrt_p50_c,pct_pixels_tmrt_ge_55,3,TP_0059;TP_0088;TP_0575,TP_0037;TP_0059;TP_0088,2,0.5,False
base,10,tmrt_p75_c,tmrt_p90_c,6,TP_0565;TP_0986;TP_0059;TP_0088;TP_0575;TP_0960,TP_0301;TP_0037;TP_0986;TP_0565;TP_0059;TP_0088,4,0.5,True
base,10,tmrt_p75_c,tmrt_p90_c,3,TP_0565;TP_0986;TP_0059,TP_0301;TP_0037;TP_0986,1,0.2,True
base,10,tmrt_p75_c,tmrt_p95_c,6,TP_0565;TP_0986;TP_0059;TP_0088;TP_0575;TP_0960,TP_0301;TP_0773;TP_0037;TP_0986;TP_0326;TP_0565,2,0.2,False
base,10,tmrt_p75_c,tmrt_p95_c,3,TP_0565;TP_0986;TP_0059,TP_0301;TP_0773;TP_0037,0,0.0,False
base,10,tmrt_p75_c,tmrt_max_c,6,TP_0565;TP_0986;TP_0059;TP_0088;TP_0575;TP_0960,TP_0326;TP_0301;TP_0773;TP_0542;TP_0986;TP_0676,1,0.09090909090909091,False
base,10,tmrt_p75_c,tmrt_max_c,3,TP_0565;TP_0986;TP_0059,TP_0326;TP_0301;TP_0773,0,0.0,False
base,10,tmrt_p75_c,pct_pixels_tmrt_ge_40,6,TP_0565;TP_0986;TP_0059;TP_0088;TP_0575;TP_0960,TP_0088;TP_0366;TP_0059;TP_0986;TP_0575;TP_0565,5,0.7142857142857143,False
base,10,tmrt_p75_c,pct_pixels_tmrt_ge_40,3,TP_0565;TP_0986;TP_0059,TP_0088;TP_0366;TP_0059,1,0.2,False
base,10,tmrt_p75_c,pct_pixels_tmrt_ge_45,6,TP_0565;TP_0986;TP_0059;TP_0088;TP_0575;TP_0960,TP_0088;TP_0059;TP_0575;TP_0960;TP_0366;TP_0565,5,0.7142857142857143,False
base,10,tmrt_p75_c,pct_pixels_tmrt_ge_45,3,TP_0565;TP_0986;TP_0059,TP_0088;TP_0059;TP_0575,1,0.2,False
base,10,tmrt_p75_c,pct_pixels_tmrt_ge_50,6,TP_0565;TP_0986;TP_0059;TP_0088;TP_0575;TP_0960,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,2,0.2,False
base,10,tmrt_p75_c,pct_pixels_tmrt_ge_50,3,TP_0565;TP_0986;TP_0059,TP_0037;TP_0059;TP_0088,1,0.2,False
base,10,tmrt_p75_c,pct_pixels_tmrt_ge_55,6,TP_0565;TP_0986;TP_0059;TP_0088;TP_0575;TP_0960,TP_0037;TP_0059;TP_0088;TP_0098;TP_0115;TP_0141,2,0.2,False
base,10,tmrt_p75_c,pct_pixels_tmrt_ge_55,3,TP_0565;TP_0986;TP_0059,TP_0037;TP_0059;TP_0088,1,0.2,False
base,10,tmrt_p90_c,tmrt_p95_c,6,TP_0301;TP_0037;TP_0986;TP_0565;TP_0059;TP_0088,TP_0301;TP_0773;TP_0037;TP_0986;TP_0326;TP_0565,4,0.5,True
base,10,tmrt_p90_c,tmrt_p95_c,3,TP_0301;TP_0037;TP_0986,TP_0301;TP_0773;TP_0037,2,0.5,True
base,10,tmrt_p90_c,tmrt_max_c,6,TP_0301;TP_0037;TP_0986;TP_0565;TP_0059;TP_0088,TP_0326;TP_0301;TP_0773;TP_0542;TP_0986;TP_0676,2,0.2,True
