metric,hour,n_pairs,mean_delta,median_delta,min_delta,max_delta,count_cells_cooled,count_cells_warmed,largest_cooling_cells,largest_warming_cells
tmrt_mean_c,all,40,-0.4162407875061035,-0.0262298583984375,-3.220161437988274,0.0,30,0,TP_0059|TP_0059|TP_0059,
tmrt_mean_c,10,8,-0.2115044593811044,-0.04798126220703125,-1.3566780090332031,0.0,6,0,TP_0059|TP_0366|TP_0326,
tmrt_mean_c,12,8,-0.42687654495239347,-0.10470962524414062,-2.404804229736328,0.0,6,0,TP_0059|TP_0542|TP_0326,
tmrt_mean_c,13,8,-0.4745182991027823,-0.1326084136962855,-2.7671051025390625,0.0,6,0,TP_0059|TP_0542|TP_0366,
tmrt_mean_c,15,8,-0.5579600334167463,-0.1261138916015625,-3.220161437988274,0.0,6,0,TP_0059|TP_0366|TP_0542,
tmrt_mean_c,16,8,-0.4103446006774911,-0.025974273681640625,-2.5503501892089915,0.0,6,0,TP_0059|TP_0366|TP_0326,
tmrt_p75_c,all,40,-0.1040695190429691,-0.030399322509762072,-0.5161972045898438,0.0,23,0,TP_0542|TP_0542|TP_0542,
tmrt_p75_c,10,8,-0.07710790634155185,-0.05349349975585582,-0.23974609375,0.0,5,0,TP_0059|TP_0542|TP_0326,
tmrt_p75_c,12,8,-0.10830450057983398,-0.037872314453125,-0.5152931213378906,0.0,5,0,TP_0542|TP_0059|TP_0326,
tmrt_p75_c,13,8,-0.10804080963134854,-0.0301666259765625,-0.5161972045898438,0.0,5,0,TP_0542|TP_0059|TP_0366,
tmrt_p75_c,15,8,-0.13048458099365234,-0.04342079162597656,-0.407276153564446,0.0,4,0,TP_0542|TP_0326|TP_0059,
tmrt_p75_c,16,8,-0.09640979766845881,-0.04146385192871804,-0.3101921081542969,0.0,4,0,TP_0326|TP_0059|TP_0542,
tmrt_p90_c,all,40,-0.33171319961547885,0.0,-11.58084487915039,0.24370574951171875,17,1,TP_0542|TP_0542|TP_0059,TP_0542
tmrt_p90_c,10,8,0.0006070137023925781,0.0,-0.1869659423828125,0.24370574951171875,2,1,TP_0059|TP_0366,TP_0542
tmrt_p90_c,12,8,-0.03456163406372248,-5.722045901990214e-06,-0.1224822998046875,0.0,4,0,TP_0059|TP_0542|TP_0366,
tmrt_p90_c,13,8,-0.08603954315185547,0.0,-0.4752311706542969,0.0,3,0,TP_0542|TP_0059|TP_0366,
tmrt_p90_c,15,8,-1.4814019203186035,-0.00118255615234375,-11.58084487915039,0.0,4,0,TP_0542|TP_0059|TP_0366,
tmrt_p90_c,16,8,-0.05716991424560547,-9.5367431640625e-06,-0.21762466430664062,0.0,4,0,TP_0059|TP_0542|TP_0366,
tmrt_p95_c,all,40,-0.036425018310546876,0.0,-0.179168701171875,0.0,18,0,TP_0059|TP_0059|TP_0059,
tmrt_p95_c,10,8,-0.03330564498901456,-9.536743164417771e-05,-0.16740036010742188,0.0,4,0,TP_0059|TP_0542|TP_0366,
tmrt_p95_c,12,8,-0.027128696441649502,-0.0008602142333984375,-0.10326004028319602,0.0,4,0,TP_0542|TP_0059|TP_0366,
tmrt_p95_c,13,8,-0.03671884536743164,0.0,-0.13633346557616477,0.0,3,0,TP_0059|TP_0542|TP_0366,
tmrt_p95_c,15,8,-0.044786930084229404,0.0,-0.17131805419921875,0.0,3,0,TP_0059|TP_0542|TP_0366,
tmrt_p95_c,16,8,-0.04018497467040927,-0.000225067138671875,-0.179168701171875,0.0,4,0,TP_0059|TP_0542|TP_0366,
tmrt_max_c,all,40,-0.027721309661865055,0.0,-0.21604537963867188,0.0,12,0,TP_0366|TP_0059|TP_0059,
tmrt_max_c,10,8,-0.038407325744629794,0.0,-0.16066360473632812,0.0,3,0,TP_0059|TP_0366|TP_0565,
tmrt_max_c,12,8,-0.03876352310180664,0.0,-0.21604537963867188,0.0,3,0,TP_0366|TP_0059|TP_0565,
tmrt_max_c,13,8,-0.016149044036864346,0.0,-0.11144256591796875,0.0,2,0,TP_0059|TP_0565,
tmrt_max_c,15,8,-0.021906375885008877,0.0,-0.16271591186522727,0.0,2,0,TP_0059|TP_0565,
tmrt_max_c,16,8,-0.023380279541015625,0.0,-0.17658615112303977,0.0,2,0,TP_0059|TP_0565,
delta_tmrt_p90_c,all,40,-0.29624872207641595,0.025941848754882806,-11.55178642272949,0.26964759826660156,13,27,TP_0542|TP_0542|TP_0059,TP_0542|TP_0986|TP_0565
delta_tmrt_p90_c,10,8,0.026548862457275613,0.025941848754882812,-0.1610240936279297,0.26964759826660156,2,6,TP_0059|TP_0366,TP_0542|TP_0835|TP_0986
delta_tmrt_p90_c,12,8,0.03135061264038088,0.06590652465820312,-0.05657005310058591,0.06591224670410162,2,6,TP_0059|TP_0542,TP_0565|TP_0986|TP_0835
delta_tmrt_p90_c,13,8,-0.06769466400146482,0.01834487915039061,-0.45688629150390625,0.018344879150390847,3,5,TP_0542|TP_0059|TP_0366,TP_0326|TP_0565|TP_0986
delta_tmrt_p90_c,15,8,-1.4523434638977049,0.027875900268554715,-11.55178642272949,0.029058456420898438,3,5,TP_0542|TP_0059|TP_0366,TP_0565|TP_0986|TP_0326
delta_tmrt_p90_c,16,8,-0.019104957580566427,0.038055419921874875,-0.1795597076416015,0.03806495666503906,3,5,TP_0059|TP_0542|TP_0366,TP_0565|TP_0986|TP_0835
m_rad_pct,all,40,0.0,0.0,-0.125,0.125,1,1,TP_0059,TP_0627
m_rad_pct,10,8,0.0,0.0,0.0,0.0,0,0,,
m_rad_pct,12,8,0.0,0.0,-0.125,0.125,1,1,TP_0059,TP_0627
m_rad_pct,13,8,0.0,0.0,0.0,0.0,0,0,,
m_rad_pct,15,8,0.0,0.0,0.0,0.0,0,0,,
m_rad_pct,16,8,0.0,0.0,0.0,0.0,0,0,,
