source_dataset,source_file,run_id,cell_id,typology_label,hour,hour_label,scenario,tmrt_mean_c,tmrt_p50_c,tmrt_p75_c,tmrt_p90_c,tmrt_p95_c,tmrt_max_c,delta_tmrt_p90_c,m_rad_pct,m_rad_robust01,valid_pixel_count,valid_pixel_fraction,qa_status,qa_notes
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0565_h10,TP_0565,school_gate_road_edge_hot_anchor,10,h10,base,43.72013854980469,44.86097717285156,46.18529891967773,46.27227020263672,46.31975936889648,46.40394973754883,0.7377433776855469,0.875,0.9946471018229236,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0986_h10,TP_0986,low_rise_residential_null_control,10,h10,base,43.92170333862305,44.407562255859375,46.22195053100586,46.358978271484375,46.38434219360352,46.4929084777832,0.8244514465332031,1.0,1.0,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0366_h10,TP_0366,school_gate_bus_stop_waiting_node,10,h10,base,44.12714385986328,44.90060424804688,45.20793151855469,45.43788528442383,45.549564361572266,45.888816833496094,-0.0966415405273437,0.5,0.9154001516470311,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0542_h10,TP_0542,river_edge_shaded_walkway,10,h10,base,34.1285285949707,32.762393951416016,33.25111770629883,41.4174690246582,43.83330154418945,46.56342697143555,-4.117057800292969,0.25,0.5335551301593541,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0627_h10,TP_0627,street_canyon_wall_adjacent_low_svf,10,h10,base,40.64068603515625,44.233848571777344,45.22010040283203,45.63116836547852,45.83673477172852,46.09939193725586,0.0966415405273437,0.625,0.9337575001079672,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0326_h10,TP_0326,stable_high_rise_residential_estate,10,h10,base,37.99396133422852,34.152320861816406,43.217041015625,43.96406173706055,46.464874267578125,46.63214111328125,-1.570465087890625,0.375,0.7754215654135788,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0059_h10,TP_0059,open_paved_hardscape_parking_lot,10,h10,base,44.780792236328125,45.6522216796875,45.78042602539063,45.90140914916992,45.95795440673828,46.10767364501953,0.36688232421875,0.75,0.9594240209824768,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0835_h10,TP_0835,grass_park_green_mixed,10,h10,base,32.770137786865234,32.772003173828125,32.773468017578125,32.77476119995117,32.776031494140625,32.77632522583008,-12.759765625,0.125,0.0,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0565_h12,TP_0565,school_gate_road_edge_hot_anchor,12,h12,base,60.030982971191406,61.491546630859375,62.14275741577149,62.20014572143555,62.22365951538086,62.28049087524414,0.416086196899414,0.875,0.9983234520461668,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0986_h12,TP_0986,low_rise_residential_null_control,12,h12,base,60.95865631103516,61.102684020996094,62.11238861083984,62.24909591674805,62.26665496826172,62.29424285888672,0.465036392211914,1.0,1.0,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0366_h12,TP_0366,school_gate_bus_stop_waiting_node,12,h12,base,60.67147445678711,61.40554428100586,61.59588623046875,61.70037460327149,61.791141510009766,62.15629959106445,-0.0836849212646484,0.5,0.9719892993836392,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0542_h12,TP_0542,river_edge_shaded_walkway,12,h12,base,39.16592025756836,35.7598876953125,37.2093620300293,57.674591064453125,59.54159164428711,62.345829010009766,-4.109468460083008,0.25,0.7598609981584968,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0627_h12,TP_0627,street_canyon_wall_adjacent_low_svf,12,h12,base,58.82143783569336,61.379520416259766,61.62828063964844,61.86774444580078,61.97962951660156,62.1049690246582,0.0836849212646484,0.625,0.9808084224263254,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0326_h12,TP_0326,stable_high_rise_residential_estate,12,h12,base,50.22164916992188,57.82603454589844,60.87112045288086,61.313114166259766,62.24023818969727,62.34726333618164,-0.4709453582763672,0.375,0.951583607462331,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0059_h12,TP_0059,open_paved_hardscape_parking_lot,12,h12,base,61.75139236450195,61.771121978759766,61.841529846191406,61.90553283691406,61.946720123291016,62.02458572387695,0.1214733123779296,0.75,0.9827995844288518,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0835_h12,TP_0835,grass_park_green_mixed,12,h12,base,35.48406219482422,35.48614883422852,35.48863220214844,35.48891830444336,35.491180419921875,35.49151992797852,-26.295141220092773,0.125,0.0,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0565_h13,TP_0565,school_gate_road_edge_hot_anchor,13,h13,base,60.05531692504883,61.25765609741211,62.27723693847656,62.352760314941406,62.38680648803711,62.46635437011719,0.6277103424072266,0.875,0.9963734129475038,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0986_h13,TP_0986,low_rise_residential_null_control,13,h13,base,60.67300033569336,60.67012023925781,62.29727554321289,62.46359634399414,62.47942733764648,62.52816390991211,0.7385463714599609,1.0,1.0,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0366_h13,TP_0366,school_gate_bus_stop_waiting_node,13,h13,base,60.56077575683594,61.188995361328125,61.44468688964844,61.63256072998047,61.75043487548828,62.00486755371094,-0.0924892425537109,0.5,0.9601193521258228,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0542_h13,TP_0542,river_edge_shaded_walkway,13,h13,base,39.11557388305664,35.882511138916016,37.28846740722656,55.485008239746094,58.99871444702149,62.57847595214844,-6.240041732788086,0.25,0.6506582714206439,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0627_h13,TP_0627,street_canyon_wall_adjacent_low_svf,13,h13,base,59.235313415527344,60.995361328125,61.51791763305664,61.81753921508789,61.9975700378418,62.20769119262695,0.0924892425537109,0.625,0.96943096711398,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0326_h13,TP_0326,stable_high_rise_residential_estate,13,h13,base,49.46807861328125,56.5767822265625,59.84464645385742,60.512786865234375,62.47014236450195,62.62369155883789,-1.212263107299805,0.375,0.9037511582990584,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0059_h13,TP_0059,open_paved_hardscape_parking_lot,13,h13,base,61.81303787231445,61.838375091552734,61.93120574951172,62.02654266357422,62.08107376098633,62.18977737426758,0.301492691040039,0.75,0.9799519725291324,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0835_h13,TP_0835,grass_park_green_mixed,13,h13,base,35.593780517578125,35.59617614746094,35.599178314208984,35.59954071044922,35.602176666259766,35.63462829589844,-26.12550926208496,0.125,0.0,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0565_h15,TP_0565,school_gate_road_edge_hot_anchor,15,h15,base,57.52208709716797,58.849876403808594,60.40672302246094,60.50284576416016,60.53951644897461,60.61445236206055,0.7406063079833984,0.875,0.9954653497064896,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0986_h15,TP_0986,low_rise_residential_null_control,15,h15,base,57.42228698730469,58.23607635498047,60.53705978393555,60.6406135559082,60.66032409667969,60.73504257202149,0.8783740997314453,1.0,1.0,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0366_h15,TP_0366,school_gate_bus_stop_waiting_node,15,h15,base,58.29876708984375,58.96929931640625,59.30849838256836,59.585975646972656,59.74245834350586,60.13865661621094,-0.1762638092041015,0.5,0.949036217666923,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0542_h15,TP_0542,river_edge_shaded_walkway,15,h15,base,37.96016693115234,35.494266510009766,36.38128280639648,50.729095458984375,56.38058853149414,60.7609977722168,-9.033143997192385,0.25,0.5005351137503303,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0627_h15,TP_0627,street_canyon_wall_adjacent_low_svf,15,h15,base,54.898536682128906,58.80548095703125,59.588260650634766,59.93850326538086,60.11610794067383,60.35102844238281,0.1762638092041015,0.625,0.9668877661423776,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0326_h15,TP_0326,stable_high_rise_residential_estate,15,h15,base,46.957332611083984,52.617801666259766,56.22281646728516,57.98851776123047,60.7007064819336,60.86220932006836,-1.773721694946289,0.375,0.8681429900282219,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0059_h15,TP_0059,open_paved_hardscape_parking_lot,15,h15,base,59.99581146240234,60.02230072021485,60.13153839111328,60.21817779541016,60.265323638916016,60.4014892578125,0.4559383392333984,0.75,0.981050127243932,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0835_h15,TP_0835,grass_park_green_mixed,15,h15,base,35.5153923034668,35.51815414428711,35.520511627197266,35.522274017333984,35.52436447143555,35.524810791015625,-24.239965438842773,0.125,0.0,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0565_h16,TP_0565,school_gate_road_edge_hot_anchor,16,h16,base,48.52577972412109,49.705177307128906,51.37728118896485,51.47970199584961,51.52318954467773,51.60087203979492,0.7850875854492188,0.875,0.9946664082263452,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0986_h16,TP_0986,low_rise_residential_null_control,16,h16,base,48.35227584838867,49.10833740234375,51.519752502441406,51.617000579833984,51.64312362670898,51.73898315429688,0.9223861694335938,1.0,1.0,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0366_h16,TP_0366,school_gate_bus_stop_waiting_node,16,h16,base,49.14167022705078,49.84072494506836,50.21564102172852,50.52740478515625,50.69112396240234,51.05937576293945,-0.1672096252441406,0.5,0.9377532259472304,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0542_h16,TP_0542,river_edge_shaded_walkway,16,h16,base,35.2979850769043,34.21461486816406,34.45002746582031,35.83605194091797,47.38528823852539,51.76914978027344,-14.858562469482422,0.25,0.059737798660467,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0627_h16,TP_0627,street_canyon_wall_adjacent_low_svf,16,h16,base,45.90528106689453,49.62859344482422,50.48138046264648,50.86182403564453,51.05247116088867,51.31413650512695,0.1672096252441406,0.625,0.9577394902636268,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0326_h16,TP_0326,stable_high_rise_residential_estate,16,h16,base,39.777225494384766,36.23825073242188,46.13737869262695,48.77465057373047,51.70894241333008,51.87575912475586,-1.9199638366699217,0.375,0.8330014543309608,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0059_h16,TP_0059,open_paved_hardscape_parking_lot,16,h16,base,50.93610000610352,50.96826934814453,51.08073425292969,51.179500579833984,51.2299690246582,51.38248062133789,0.4848861694335937,0.75,0.9767251418671736,2500,1.0,ok,
core8_base,outputs/v12_solweig_typology_pilot/core8_base_summary/modifier_targets_long.csv,v12_core8_base_TP_0835_h16,TP_0835,grass_park_green_mixed,16,h16,base,34.29240036010742,34.29470443725586,34.296504974365234,34.29826736450195,34.29981231689453,34.30018615722656,-16.396347045898438,0.125,0.0,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0565_h10,TP_0565,school_gate_road_edge_hot_anchor,10,h10,overhead_as_canopy,43.71132278442383,44.8453369140625,46.184715270996094,46.27227020263672,46.31975936889648,46.39608001708984,0.7636852264404297,0.875,0.9946033826886364,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0986_h10,TP_0986,low_rise_residential_null_control,10,h10,overhead_as_canopy,43.92170333862305,44.407562255859375,46.22195053100586,46.358978271484375,46.38434219360352,46.4929084777832,0.8503932952880859,1.0,1.0,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0366_h10,TP_0366,school_gate_bus_stop_waiting_node,10,h10,overhead_as_canopy,44.0047492980957,44.781837463378906,45.10152816772461,45.38600158691406,45.52678298950195,45.750091552734375,-0.1225833892822265,0.5,0.909741214767617,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0542_h10,TP_0542,river_edge_shaded_walkway,10,h10,overhead_as_canopy,34.0413818359375,32.736167907714844,33.11180114746094,41.66117477416992,43.75722885131836,46.56342697143555,-3.847410202026367,0.25,0.5530808605001181,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0627_h10,TP_0627,street_canyon_wall_adjacent_low_svf,10,h10,overhead_as_canopy,40.64063262939453,44.233848571777344,45.22010040283203,45.63116836547852,45.836544036865234,46.09939193725586,0.1225833892822265,0.625,0.933216472677125,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0326_h10,TP_0326,stable_high_rise_residential_estate,10,h10,overhead_as_canopy,37.87701416015625,34.03963088989258,43.08622741699219,43.96406173706055,46.464874267578125,46.63214111328125,-1.5445232391357422,0.375,0.7735873488051339,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0059_h10,TP_0059,open_paved_hardscape_parking_lot,10,h10,overhead_as_canopy,43.42411422729492,45.20716857910156,45.54067993164063,45.71444320678711,45.79055404663086,45.9470100402832,0.2058582305908203,0.75,0.941190221765559,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0835_h10,TP_0835,grass_park_green_mixed,10,h10,overhead_as_canopy,32.770137786865234,32.772003173828125,32.773468017578125,32.77476119995117,32.776031494140625,32.77632522583008,-12.733823776245115,0.125,0.0,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0565_h12,TP_0565,school_gate_road_edge_hot_anchor,12,h12,overhead_as_canopy,60.0234489440918,61.4720458984375,62.14266586303711,62.20014572143555,62.22365951538086,62.27033996582031,0.4819984436035156,0.875,0.998326749872718,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0986_h12,TP_0986,low_rise_residential_null_control,12,h12,overhead_as_canopy,60.95865631103516,61.102684020996094,62.11238861083984,62.24909591674805,62.26665496826172,62.29424285888672,0.5309486389160156,1.0,1.0,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0366_h12,TP_0366,school_gate_bus_stop_waiting_node,12,h12,overhead_as_canopy,60.46958923339844,61.31367874145508,61.52023315429688,61.65324401855469,61.77958297729492,61.94025421142578,-0.0649032592773437,0.5,0.9695658575125046,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0542_h12,TP_0542,river_edge_shaded_walkway,12,h12,overhead_as_canopy,38.62727355957031,35.50090026855469,36.694068908691406,57.56772232055664,59.43833160400391,62.345829010009766,-4.150424957275391,0.25,0.7547132630289298,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0627_h12,TP_0627,street_canyon_wall_adjacent_low_svf,12,h12,overhead_as_canopy,58.8213996887207,61.379520416259766,61.62828063964844,61.86773300170898,61.977909088134766,62.1049690246582,0.1495857238769531,0.75,0.9808455710779534,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0326_h12,TP_0326,stable_high_rise_residential_estate,12,h12,overhead_as_canopy,49.95954513549805,57.59903717041016,60.75183868408203,61.313114166259766,62.24023818969727,62.34726333618164,-0.4050331115722656,0.375,0.9516788441446186,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0059_h12,TP_0059,open_paved_hardscape_parking_lot,12,h12,overhead_as_canopy,59.346588134765625,61.553489685058594,61.6854133605957,61.783050537109375,61.846229553222656,61.940673828125,0.0649032592773437,0.625,0.9763922237281144,2500,1.0,ok,
core8_overhead,outputs/v12_solweig_typology_pilot/core8_overhead_summary/modifier_targets_long.csv,v12_core8_overhead_TP_0835_h12,TP_0835,grass_park_green_mixed,12,h12,overhead_as_canopy,35.48406219482422,35.48614883422852,35.48863220214844,35.48891830444336,35.491180419921875,35.49151992797852,-26.229228973388672,0.125,0.0,2500,1.0,ok,
