path,exists,row_count,columns,scenario_inferred,contains_cell_id,contains_hour,contains_tmrt_mean,contains_tmrt_p50,contains_tmrt_p75,contains_tmrt_p90,contains_tmrt_p95,contains_tmrt_max,contains_delta_tmrt_p90,contains_m_rad_pct,contains_threshold_area_fields,contains_typology_label_fields,notes
configs/v12/OpenHeat_v12_SOLWEIG_typology_core8_run_matrix.csv,True,80,run_id|cell_id|typology_label|typology_label_cn|pilot_tier|hour_sgt|scenario_id|forcing_id|run_status|qa_expected|notes,,True,True,False,False,False,False,False,False,False,False,False,True,
configs/v12/v12_formal_hotday_forcing_config.example.json,True,,,,False,False,False,False,False,False,False,False,False,False,False,False,exists; non-CSV/MD metadata not parsed
configs/v12/v12_modifier_target_config.example.json,True,,,,False,False,False,False,False,False,False,False,False,False,False,False,exists; non-CSV/MD metadata not parsed
configs/v12/v12_solweig_core8_base_manifest.csv,True,40,run_id|cell_id|typology_label|hour_sgt|scenario_id|tile_dir|forcing_file|output_dir,base,True,True,False,False,False,False,False,False,False,False,False,True,
configs/v12/v12_solweig_core8_overhead_manifest.csv,True,40,run_id|cell_id|typology_label|hour_sgt|scenario_id|tile_dir|forcing_file|output_dir,overhead_as_canopy,True,True,False,False,False,False,False,False,False,False,False,True,
configs/v12/v12_solweig_core8_run_matrix_planned.csv,True,80,run_id|cell_id|typology_label|typology_label_cn|pilot_tier|hour_sgt|scenario_id|forcing_file|planned_tile_dir|run_status,,True,True,False,False,False,False,False,False,False,False,False,True,
configs/v12/v12_solweig_formal_hotday_core8_plan_optional.csv,True,80,qa_run_id|cell_id|typology_label|hour_sgt|scenario_id|forcing_id|forcing_file|qa_role|expected_direction|notes,,True,True,False,False,False,False,False,False,False,False,False,True,
configs/v12/v12_solweig_formal_hotday_smoke_manifest.csv,True,20,run_id|cell_id|typology_label|hour_sgt|scenario_id|tile_dir|forcing_file|output_dir|qa_role|expected_direction|notes,,True,True,False,False,False,False,False,False,False,False,False,True,
configs/v12/v12_solweig_formal_hotday_smoke_plan.csv,True,20,qa_run_id|cell_id|typology_label|hour_sgt|scenario_id|forcing_id|forcing_file|qa_role|expected_direction|notes,,True,True,False,False,False,False,False,False,False,False,False,True,
configs/v12/v12_solweig_overhead_smoke_h13_manifest.csv,True,3,run_id|cell_id|typology_label|hour_sgt|scenario_id|tile_dir|forcing_file|output_dir|purpose,overhead_smoke,True,True,False,False,False,False,False,False,False,False,False,True,
configs/v12/v12_solweig_preprocess_core8_base_manifest.csv,True,8,preprocess_id|tile_id|cell_id|typology_label|scenario_id|tile_dir|input_dsm|input_cdsm|wall_height|wall_aspect|svf_output_dir|svf_output_file|svf_zip_expected|run_wall_height_aspect|run_svf|status|notes,base,True,False,False,False,False,False,False,False,False,False,False,True,
