scenario,hour,metric_a,metric_b,spearman_r,n_cells,caveat
base,10,tmrt_mean_c,tmrt_p75_c,0.7380952380952381,8,Core 8 diagnostic sample
base,10,tmrt_mean_c,tmrt_p90_c,0.7380952380952381,8,Core 8 diagnostic sample
base,10,tmrt_mean_c,tmrt_p95_c,0.38095238095238104,8,Core 8 diagnostic sample
base,10,tmrt_mean_c,tmrt_max_c,-0.09523809523809526,8,Core 8 diagnostic sample
base,10,tmrt_mean_c,delta_tmrt_p90_c,0.7380952380952381,8,Core 8 diagnostic sample
base,10,tmrt_mean_c,m_rad_pct,0.7380952380952381,8,Core 8 diagnostic sample
base,10,tmrt_p75_c,tmrt_p90_c,1.0,8,Core 8 diagnostic sample
base,10,tmrt_p75_c,tmrt_p95_c,0.6428571428571429,8,Core 8 diagnostic sample
base,10,tmrt_p75_c,tmrt_max_c,0.1666666666666667,8,Core 8 diagnostic sample
base,10,tmrt_p75_c,delta_tmrt_p90_c,1.0,8,Core 8 diagnostic sample
base,10,tmrt_p75_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
base,10,tmrt_p90_c,tmrt_p95_c,0.6428571428571429,8,Core 8 diagnostic sample
base,10,tmrt_p90_c,tmrt_max_c,0.1666666666666667,8,Core 8 diagnostic sample
base,10,tmrt_p90_c,delta_tmrt_p90_c,1.0,8,Core 8 diagnostic sample
base,10,tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
base,10,tmrt_p95_c,tmrt_max_c,0.6428571428571429,8,Core 8 diagnostic sample
base,10,tmrt_p95_c,delta_tmrt_p90_c,0.6428571428571429,8,Core 8 diagnostic sample
base,10,tmrt_p95_c,m_rad_pct,0.6428571428571429,8,Core 8 diagnostic sample
base,10,tmrt_max_c,delta_tmrt_p90_c,0.1666666666666667,8,Core 8 diagnostic sample
base,10,tmrt_max_c,m_rad_pct,0.1666666666666667,8,Core 8 diagnostic sample
base,10,delta_tmrt_p90_c,m_rad_pct,1.0,8,Core 8 diagnostic sample
base,12,tmrt_mean_c,tmrt_p75_c,0.7857142857142858,8,Core 8 diagnostic sample
base,12,tmrt_mean_c,tmrt_p90_c,0.8333333333333335,8,Core 8 diagnostic sample
base,12,tmrt_mean_c,tmrt_p95_c,0.4761904761904762,8,Core 8 diagnostic sample
base,12,tmrt_mean_c,tmrt_max_c,-0.09523809523809526,8,Core 8 diagnostic sample
base,12,tmrt_mean_c,delta_tmrt_p90_c,0.8333333333333335,8,Core 8 diagnostic sample
